short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,181500000.0,230000.0,24,Paris Saint Germain,Ligue 1
G. Donnarumma,Gianluigi Donnarumma,GK,87,85000000.0,90000.0,24,Paris Saint Germain,Ligue 1
Marquinhos,Marcos Aoás Corrêa,CB,87,73500000.0,140000.0,29,Paris Saint Germain,Ligue 1
O. Dembélé,Ousmane Dembélé,"RW, LW",86,80000000.0,150000.0,26,Paris Saint Germain,Ligue 1
K. Navas,Keylor Navas Gamboa,GK,85,6000000.0,60000.0,36,Paris Saint Germain,Ligue 1
R. Kolo Muani,Randal Kolo Muani,"ST, RM",84,58500000.0,110000.0,24,Paris Saint Germain,Ligue 1
A. Hakimi,Achraf Hakimi Mouh,"RB, RWB",84,50500000.0,90000.0,24,Paris Saint Germain,Ligue 1
L. Hernández,Lucas François Bernard Hernández Pi,"CB, LB",84,42500000.0,105000.0,27,Paris Saint Germain,Ligue 1
M. Škriniar,Milan Škriniar,CB,84,36500000.0,110000.0,28,Paris Saint Germain,Ligue 1
Marco Asensio,Marco Asensio Willemsen,RW,83,38500000.0,115000.0,27,Paris Saint Germain,Ligue 1
Nuno Mendes,Nuno Alexandre Tavares Mendes,"LB, LWB",82,43500000.0,63000.0,21,Paris Saint Germain,Ligue 1
P. Kimpembe,Presnel Kimpembe,CB,82,32500000.0,88000.0,27,Paris Saint Germain,Ligue 1
M. Ugarte,Manuel Ugarte Ribeiro,"CDM, CM",81,36500000.0,69000.0,22,Paris Saint Germain,Ligue 1
Danilo Pereira,Danilo Luís Hélio Pereira,"CDM, CB",81,18000000.0,81000.0,31,Paris Saint Germain,Ligue 1
Fabián Ruiz,Fabián Ruiz Peña,"CM, CDM",81,27500000.0,89000.0,27,Paris Saint Germain,Ligue 1
Gonçalo Ramos,Gonçalo Matias Ramos,ST,80,43000000.0,17000.0,22,Paris Saint Germain,Ligue 1
Vitinha,Vítor Machado Ferreira,CM,80,30000000.0,72000.0,23,Paris Saint Germain,Ligue 1
N. Mukiele,Nordi Mukiele Mulere,"RB, RWB, CB",79,20000000.0,68000.0,25,Paris Saint Germain,Ligue 1
Carlos Soler,Carlos Soler Barragán,CM,79,20500000.0,78000.0,26,Paris Saint Germain,Ligue 1
Lee Kang In,이강인 Kang In Lee,"LW, ST",78,28500000.0,68000.0,22,Paris Saint Germain,Ligue 1
J. Draxler,Julian Draxler,"LW, CM",77,10500000.0,75000.0,29,Paris Saint Germain,Ligue 1
B. Barcola,Bradley Barcola,"RW, ST, RM",76,16500000.0,51000.0,20,Paris Saint Germain,Ligue 1
W. Zaïre-Emery,Warren Zaïre-Emery,"CM, CDM",75,13000000.0,8000.0,17,Paris Saint Germain,Ligue 1
H. Ekitike,Hugo Ekitike,ST,75,9000000.0,49000.0,21,Paris Saint Germain,Ligue 1
Sergio Rico,Sergio Rico González,GK,74,3200000.0,43000.0,29,Paris Saint Germain,Ligue 1
L. Kurzawa,Layvin Kurzawa,LB,73,2600000.0,46000.0,30,Paris Saint Germain,Ligue 1
Arnau Tenas,Arnau Tenas Ureña,GK,70,3400000.0,21000.0,22,Paris Saint Germain,Ligue 1
C. Ndour,Cher Ndour,"CM, CAM",68,3000000.0,9000.0,18,Paris Saint Germain,Ligue 1
É. Michut,Édouard Michut,"CDM, CM",68,2800000.0,16000.0,20,Paris Saint Germain,Ligue 1
A. Letellier,Alexandre Letellier,GK,68,600000.0,18000.0,32,Paris Saint Germain,Ligue 1
I. Housni,Ilyes Housni,ST,67,2400000.0,9000.0,18,Paris Saint Germain,Ligue 1
S. Nhaga,Serif Nhaga,"LB, LWB",65,1700000.0,650.0,17,Paris Saint Germain,Ligue 1
