short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. Kebbal,Ilan Kais Kebbal,"RM, CAM",72,3200000.0,6000.0,24,Paris,Ligue 2
J. Lopez,Julien Yves Rémi López Baila,"LM, CAM, ST",70,1300000.0,5000.0,31,Paris,Ligue 2
L. Gueye,Mamadou Lamine Gueye,RM,69,1800000.0,4000.0,25,Paris,Ligue 2
T. Kolodziejczak,Timothée Kolodziejczak,"CB, LB",69,950000.0,4000.0,31,Paris,Ligue 2
P. Lasne,Paul Lasne,"CDM, CM",69,475000.0,4000.0,34,Paris,Ligue 2
C. Mandouki,Cyril Paul Mandouki,"CDM, CM",69,975000.0,4000.0,31,Paris,Ligue 2
K. Dabila,Kouadio-Yves Dabila,CB,68,1500000.0,3000.0,26,Paris,Ligue 2
A. Gory,Alimami Gory,"LM, RM, ST",68,1300000.0,4000.0,26,Paris,Ligue 2
M. Mbow,Moustapha Mbow,CB,67,1400000.0,2000.0,23,Paris,Ligue 2
S. Chergui,Samir Sophian Chergui,"CB, RB",67,1400000.0,2000.0,24,Paris,Ligue 2
S. Alakouch,Sofiane Alakouch,"RB, RWB",67,1400000.0,5000.0,24,Paris,Ligue 2
I. Filipović,Ivan Filipović,GK,67,950000.0,2000.0,28,Paris,Ligue 2
P. Hamel,Pierre-Yves Hamel,ST,67,1000000.0,3000.0,29,Paris,Ligue 2
Y. Demoncy,Yohan Demoncy,"CM, CDM",66,975000.0,3000.0,27,Paris,Ligue 2
L. Doucet,Lohann Doucet,"CDM, CM",65,1500000.0,4000.0,20,Paris,Ligue 2
J. Gaudin,Jules Gaudin,"LB, LWB",65,1100000.0,2000.0,23,Paris,Ligue 2
Y. Koré,Yoan Koré,"RB, CB",64,1200000.0,500.0,18,Paris,Ligue 2
M. Touré,Mohamed Touré,"ST, LM",64,1300000.0,4000.0,19,Paris,Ligue 2
A. Pembélé,Andy Pembélé,RM,64,950000.0,2000.0,22,Paris,Ligue 2
A. Camara,Adama Camara,CM,64,750000.0,2000.0,26,Paris,Ligue 2
L. Diaby Fadiga,Mohamed Lamine Diaby-Fadiga,ST,62,900000.0,2000.0,22,Paris,Ligue 2
O. Nkambadio,Obed Nkambadio,GK,61,625000.0,700.0,20,Paris,Ligue 2
J. Lukembila,Josias Tusevo Lukembila,"LW, LM, ST",61,525000.0,1000.0,23,Paris,Ligue 2
G. Oualengbe,Gabriel Oualengbe,CM,60,575000.0,750.0,19,Paris,Ligue 2
D. Diagouraga,Djibril Diagouraga,ST,58,475000.0,600.0,18,Paris,Ligue 2
T. Gardies,Téva Gardies,GK,58,400000.0,850.0,22,Paris,Ligue 2
D. Colau,Dimitri Colau,CB,57,350000.0,500.0,17,Paris,Ligue 2
