short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Domingo,Nicolás Mario Domingo,"CDM, CM, CB",71,375000.0,7000.0,38,Patronato,Liga Profesional
L. Kruspzky,Lucas Nahuel Kruspzky,LB,66,625000.0,4000.0,31,Patronato,Liga Profesional
F. Cobos,Facundo Cobos,LB,66,725000.0,4000.0,30,Patronato,Liga Profesional
N. Solís,Nazareno Damián Solís,"LM, RM",66,850000.0,5000.0,29,Patronato,Liga Profesional
J. Valdez Chamorro,Jorge Vidal Valdez Chamorro,"CM, CAM",65,700000.0,4000.0,29,Patronato,Liga Profesional
D. Arce,Gerardo Damián Arce,"CAM, LM",65,600000.0,4000.0,31,Patronato,Liga Profesional
F. Vázquez,Fabio Francisco Vázquez,"CM, CDM",64,575000.0,4000.0,29,Patronato,Liga Profesional
S. Ojeda,Sergio Maximiliano Ojeda,CB,64,400000.0,3000.0,31,Patronato,Liga Profesional
L. Geminiani,Lautaro Dante Geminiani,"RB, LB",64,400000.0,3000.0,32,Patronato,Liga Profesional
M. Levato,Mateo Levato,ST,63,525000.0,4000.0,27,Patronato,Liga Profesional
J. Salvá,Julio César Salvá,GK,62,45000.0,1000.0,36,Patronato,Liga Profesional
C. González,Cristian Leandro González,CB,62,190000.0,3000.0,33,Patronato,Liga Profesional
A. Sosa,Alexander Sebastián Sosa,ST,61,750000.0,3000.0,22,Patronato,Liga Profesional
J. Barinaga,Juan Pablo Barinaga,"CM, CAM",61,650000.0,2000.0,23,Patronato,Liga Profesional
M. Aruga,Jorge Martín Aruga Torales,LB,61,475000.0,2000.0,24,Patronato,Liga Profesional
T. Cáceres,Tomás Cáceres,RM,61,525000.0,2000.0,23,Patronato,Liga Profesional
G. Novero,Gastón Novero,ST,61,500000.0,3000.0,24,Patronato,Liga Profesional
J. Ghirardello,Joel Gonzalo Ghirardello,CB,61,325000.0,2000.0,27,Patronato,Liga Profesional
I. Russo,Ignacio Russo Cordero,"ST, RM",60,550000.0,2000.0,22,Patronato,Liga Profesional
V. Pereyra,Valentín Pereyra,LM,60,500000.0,2000.0,21,Patronato,Liga Profesional
F. Rivasseau,Franco Daniel Rivasseau,GK,60,325000.0,2000.0,24,Patronato,Liga Profesional
M. Ruiz Díaz,Matías Lautaro Ruiz Díaz,RB,60,275000.0,2000.0,26,Patronato,Liga Profesional
E. Díaz,Enzo Roberto Díaz Morales,ST,60,210000.0,3000.0,31,Patronato,Liga Profesional
M. Budiño,Matías Alexis Budiño,GK,59,210000.0,2000.0,27,Patronato,Liga Profesional
K. González,Kevin Damián González,RM,58,220000.0,2000.0,27,Patronato,Liga Profesional
S. Malimberni,Sebastián Malimberni,ST,56,210000.0,2000.0,24,Patronato,Liga Profesional
