short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Kamara,Bingourou Kamara,GK,70,1600000.0,3000.0,26,Pau,Ligue 2
J. Ruiz,Jean Ruiz,CB,69,1700000.0,3000.0,25,Pau,Ligue 2
O. Kanté,Ousmane Kanté,CB,69,675000.0,3000.0,33,Pau,Ligue 2
M. Chahiri,Mehdi Chahiri,"LM, CAM, ST",69,1500000.0,4000.0,26,Pau,Ligue 2
M. Sylla,Moussa Sylla,"RM, ST",68,1900000.0,3000.0,23,Pau,Ligue 2
H. Saivet,Henri Saivet,"ST, CDM, CM",68,975000.0,3000.0,32,Pau,Ligue 2
X. Kouassi,Xavier Laglais Kouassi,CB,68,575000.0,3000.0,33,Pau,Ligue 2
A. Batisse,Antoine Batisse,"CB, CDM",67,1000000.0,2000.0,28,Pau,Ligue 2
K. Boutaïb,Khalid Boutaïb,"ST, CAM",67,350000.0,2000.0,36,Pau,Ligue 2
M. Bassouamina,Mons Bassouamina,"ST, LM",66,1300000.0,2000.0,25,Pau,Ligue 2
K. Boto,Kenji-Van Boto,"LB, LWB, RWB",66,900000.0,2000.0,27,Pau,Ligue 2
J. Obiang,Johann Serge Obiang,"LWB, LB, RWB",66,750000.0,2000.0,29,Pau,Ligue 2
S. Beusnard,Steeve Beusnard,"CM, CDM, RM",66,700000.0,2000.0,31,Pau,Ligue 2
J. Evan's,Jean Lambert Evan's,"LWB, LB, LM",65,1100000.0,1000.0,24,Pau,Ligue 2
S. D'Almeida,Sessi Octave Emile D'Almeida,"CM, CDM",65,825000.0,2000.0,27,Pau,Ligue 2
N. Sow,Noé Sow,CB,64,1100000.0,1000.0,24,Pau,Ligue 2
M. Jeannin,Mehdi Jeannin,GK,64,300000.0,1000.0,32,Pau,Ligue 2
C. Boli,Charles Boli,"RM, LWB, CM",63,650000.0,1000.0,24,Pau,Ligue 2
A. Ahoussou,Kouadio Ange Ahoussou,CB,62,875000.0,650.0,19,Pau,Ligue 2
L. Pirringuel,Lenny Pirringuel,CM,62,950000.0,1000.0,19,Pau,Ligue 2
I. Mohamed,Iyad Mohamed,CDM,62,925000.0,1000.0,22,Pau,Ligue 2
L. Mouton,Louis Mouton,"CM, CDM",61,725000.0,1000.0,21,Pau,Ligue 2
S. Degert,Sonny Degert,"ST, LM",61,750000.0,1000.0,22,Pau,Ligue 2
L. Lespinasse,Loïck Lespinasse,ST,61,675000.0,1000.0,22,Pau,Ligue 2
O. Ngom,Oumar Ngom,CM,60,575000.0,650.0,19,Pau,Ligue 2
Y. Njoh,Yonis Njoh,"ST, RW, LW",60,600000.0,750.0,19,Pau,Ligue 2
Q. Galvez-Diarra,Quentin Galvez-Diarra,GK,60,475000.0,550.0,21,Pau,Ligue 2
N. Delpech,Nicolas Delpech,CDM,60,525000.0,750.0,21,Pau,Ligue 2
M. Ros,Marius Ros,RWB,60,475000.0,750.0,21,Pau,Ligue 2
T. Koudou,Thérence Koudou,RB,59,550000.0,950.0,18,Pau,Ligue 2
