short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Sequeira,Nuno Miguel Ribeiro Cruz Jerónimo Sequeira,"LB, CB",77,7500000.0,15000.0,32,Pendikspor,Super Lig
Ó. Romero,Óscar David Romero Villamayor,"CM, CAM, RW",76,7000000.0,16000.0,30,Pendikspor,Super Lig
F. Midtsjø,Fredrik Midtsjø,"CM, CDM",74,4100000.0,14000.0,29,Pendikspor,Super Lig
H. Akbunar,Halil Akbunar,"RM, LM",72,2300000.0,12000.0,29,Pendikspor,Super Lig
A. Lusamba,Arnaud Lusamba,"CM, CDM",71,2400000.0,10000.0,26,Pendikspor,Super Lig
E. Eze,Emeka Friday Eze,ST,71,2400000.0,11000.0,26,Pendikspor,Super Lig
E. Çekiçi,Endri Çekiçi,"CAM, CM",70,2100000.0,9000.0,26,Pendikspor,Super Lig
A. Diaby,Abdoulay Diaby,"RM, LM, ST",70,1300000.0,9000.0,32,Pendikspor,Super Lig
L. Kappel,Leandro Deyrinio Kappel,"RW, LW",69,875000.0,8000.0,33,Pendikspor,Super Lig
J. Rassoul,Joher Khadim Rassoul,"CB, LB",68,1200000.0,6000.0,27,Pendikspor,Super Lig
J. Vuković,Josip Vuković,"CDM, CM",67,725000.0,5000.0,31,Pendikspor,Super Lig
S. Asan,Serkan Asan,"RB, RM",66,1300000.0,10000.0,24,Pendikspor,Super Lig
A. Öztürk,Alpaslan Öztürk,"CB, CDM",66,725000.0,4000.0,29,Pendikspor,Super Lig
E. Canpolat,Erdem Canpolat,GK,65,1200000.0,2000.0,22,Pendikspor,Super Lig
A. Aosman,Aias Aosman,"CF, CM, CAM",65,725000.0,5000.0,28,Pendikspor,Super Lig
E. Yardımcı,Erencan Yardımcı,ST,64,1300000.0,3000.0,21,Pendikspor,Super Lig
M. Akça,Murat Akça,CB,64,375000.0,3000.0,32,Pendikspor,Super Lig
Thuram,Rogério Conceição Rosário,"ST, RM",64,475000.0,4000.0,32,Pendikspor,Super Lig
E. Özgenç,Erdem Özgenç,RB,63,110000.0,2000.0,38,Pendikspor,Super Lig
E. Taşdemir,Emre Taşdemir,"LB, LM",63,475000.0,3000.0,27,Pendikspor,Super Lig
İ. Akdağ,İbrahim Akdağ,"CDM, CM",63,325000.0,3000.0,31,Pendikspor,Super Lig
G. Bitin,Görkem Bitin,ST,62,550000.0,3000.0,25,Pendikspor,Super Lig
B. Sülüngöz,Berkay Sülüngöz,CB,62,400000.0,3000.0,27,Pendikspor,Super Lig
G. Kaya,Gökcan Kaya,CAM,62,425000.0,3000.0,27,Pendikspor,Super Lig
S. Asatekin,Samet Asatekin,RM,61,275000.0,3000.0,31,Pendikspor,Super Lig
B. Öğür,Burak Öğür,GK,60,80000.0,2000.0,33,Pendikspor,Super Lig
U. Keçeci,Umut Yaşar Keçeci,ST,58,475000.0,2000.0,19,Pendikspor,Super Lig
M. Akşit,Murat Akşit,GK,51,110000.0,1000.0,21,Pendikspor,Super Lig
