short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Blake,Andre Jason Blake,GK,78,7000000.0,8000.0,32,Philadelphia Union,Major League Soccer
K. Wagner,Kai Wagner,"LB, LWB",76,9000000.0,9000.0,26,Philadelphia Union,Major League Soccer
D. Gazdag,Dániel Gazdag,"CAM, CM",76,8500000.0,9000.0,27,Philadelphia Union,Major League Soccer
M. Uhre,Mikael Uhre,ST,74,4300000.0,9000.0,28,Philadelphia Union,Major League Soccer
J. Martínez,José Andrés Martínez Torres,CDM,74,3700000.0,8000.0,28,Philadelphia Union,Major League Soccer
J. Glesnes,Jakob Glesnes,CB,73,2800000.0,7000.0,29,Philadelphia Union,Major League Soccer
J. Elliott,Jack Elliott,"CB, CDM",73,3100000.0,7000.0,27,Philadelphia Union,Major League Soccer
J. Carranza,Julián Simón Carranza,ST,72,3600000.0,6000.0,23,Philadelphia Union,Major League Soccer
A. Bedoya,Alejandro Bedoya,"CM, CDM",71,600000.0,4000.0,36,Philadelphia Union,Major League Soccer
T. Baribo,Thai Baribo,ST,70,2100000.0,5000.0,25,Philadelphia Union,Major League Soccer
J. McGlynn,Jack McGlynn,CM,68,2900000.0,2000.0,19,Philadelphia Union,Major League Soccer
L. Flach,Leon Maximilian Flach,"CM, CDM, LB",68,2400000.0,3000.0,22,Philadelphia Union,Major League Soccer
J. Torres,Joaquín Torres,CF,68,1600000.0,4000.0,26,Philadelphia Union,Major League Soccer
O. Mbaizo,Olivier Mbaissidara Mbaizo,RB,68,1500000.0,3000.0,25,Philadelphia Union,Major League Soccer
D. Lowe,Damion Onandi Lowe,CB,68,1000000.0,3000.0,30,Philadelphia Union,Major League Soccer
N. Harriel,Nathan Harriel,RB,66,1800000.0,2000.0,22,Philadelphia Union,Major League Soccer
Jesús Bueno,Jesús Daniel Bueno Áñez,"CDM, CM",65,1000000.0,2000.0,24,Philadelphia Union,Major League Soccer
M. Real,Matthew Real,"LB, CDM",64,1100000.0,2000.0,23,Philadelphia Union,Major League Soccer
J. Bendik,Joe Bendik,GK,63,80000.0,1000.0,34,Philadelphia Union,Major League Soccer
Q. Sullivan,Quinn Sullivan,"CAM, CM",62,950000.0,900.0,19,Philadelphia Union,Major League Soccer
C. Donovan,Chris Donovan,ST,56,300000.0,1000.0,22,Philadelphia Union,Major League Soccer
N. Pierre,Nelson Pierre,ST,54,275000.0,550.0,18,Philadelphia Union,Major League Soccer
J. Rafanello,Jeremy Rafanello,"ST, LW, CAM",54,220000.0,1000.0,23,Philadelphia Union,Major League Soccer
H. Trent,Holden Trent,GK,54,180000.0,800.0,23,Philadelphia Union,Major League Soccer
A. Sorenson,Anthony Sorenson,LB,53,220000.0,850.0,20,Philadelphia Union,Major League Soccer
