short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Kądzior,Damian Kądzior,"RM, LM, CF",71,1600000.0,7000.0,31,Piast Gliwice,Ekstraklasa
F. Plach,František Plach,GK,69,750000.0,4000.0,31,Piast Gliwice,Ekstraklasa
J. Czerwiński,Jakub Czerwiński,CB,68,825000.0,4000.0,31,Piast Gliwice,Ekstraklasa
P. Dziczek,Patryk Dziczek,CDM,67,1200000.0,3000.0,25,Piast Gliwice,Ekstraklasa
Jorge Félix,Jorge Félix Muñoz García,"LM, CAM, ST",67,850000.0,3000.0,31,Piast Gliwice,Ekstraklasa
A. Mosór,Ariel Mosór,CB,66,1800000.0,2000.0,20,Piast Gliwice,Ekstraklasa
A. Katránis,Aléxandros Katránis,"LB, LM",66,975000.0,2000.0,25,Piast Gliwice,Ekstraklasa
G. Tomasiewicz,Grzegorz Tomasiewicz,"CDM, CM",66,875000.0,3000.0,27,Piast Gliwice,Ekstraklasa
T. Hateley,Tom Hateley,"CDM, CM",66,425000.0,3000.0,33,Piast Gliwice,Ekstraklasa
K. Wilczek,Kamil Antoni Wilczek,ST,66,375000.0,2000.0,35,Piast Gliwice,Ekstraklasa
A. Pyrka,Arkadiusz Pyrka,"RB, RM",65,1500000.0,2000.0,20,Piast Gliwice,Ekstraklasa
M. Chrapek,Michał Łukasz Chrapek,"CAM, CDM, CM",65,600000.0,3000.0,31,Piast Gliwice,Ekstraklasa
M. Szczepański,Miłosz Szczepański,"CF, ST",64,875000.0,2000.0,25,Piast Gliwice,Ekstraklasa
J. Holúbek,Jakub Holúbek,"LB, LM",64,400000.0,2000.0,32,Piast Gliwice,Ekstraklasa
T. Huk,Tomáš Huk,CB,64,500000.0,2000.0,28,Piast Gliwice,Ekstraklasa
S. Krykun,Sergiy Krykun,"LM, RM",63,575000.0,2000.0,26,Piast Gliwice,Ekstraklasa
T. Kostadinov,Tihomir Kostadinov,"CAM, ST",63,550000.0,2000.0,27,Piast Gliwice,Ekstraklasa
M. Ameyaw,Michael Ameyaw,"RM, LM",62,800000.0,2000.0,22,Piast Gliwice,Ekstraklasa
F. Karbowy,Filip Karbowy,CAM,61,425000.0,2000.0,25,Piast Gliwice,Ekstraklasa
T. Mokwa,Tomasz Mokwa,"RB, LB",60,210000.0,1000.0,30,Piast Gliwice,Ekstraklasa
G. Kirejczyk,Gabriel Kirejczyk,ST,58,500000.0,1000.0,20,Piast Gliwice,Ekstraklasa
M. Bykowski,Marcel Bykowski,"LM, RM",58,475000.0,550.0,18,Piast Gliwice,Ekstraklasa
K. Szymański,Karol Szymański,GK,58,140000.0,1000.0,30,Piast Gliwice,Ekstraklasa
Miguel Muñoz,Miguel Muñoz Fernández,CB,57,190000.0,1000.0,26,Piast Gliwice,Ekstraklasa
S. Mucha,Szczepan Mucha,"ST, RM",55,300000.0,950.0,19,Piast Gliwice,Ekstraklasa
P. Liszewski,Piotr Liszewski,"RB, RM",53,190000.0,500.0,18,Piast Gliwice,Ekstraklasa
B. Jelonek,Bartłomiej Jelonek,GK,53,160000.0,700.0,21,Piast Gliwice,Ekstraklasa
O. Leśniak,Oskar Leśniak,CAM,50,110000.0,500.0,18,Piast Gliwice,Ekstraklasa
