short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
P. Beruatto,Pietro Beruatto,LB,74,6000000.0,5000.0,24,Pisa,Serie B
E. Vignato,Emanuel Vignato,"CAM, CM, LW",72,5500000.0,4000.0,22,Pisa,Serie B
Á. Nagy,Ádám Nagy,"CDM, CM",72,2300000.0,5000.0,28,Pisa,Serie B
Miguel Veloso,Miguel Luís Pinto Veloso,CM,72,750000.0,3000.0,37,Pisa,Serie B
M. Valoti,Mattia Valoti,"CM, CF, ST",71,1800000.0,29000.0,29,Pisa,Serie B
A. Barberis,Andrea Barberis,"CDM, CM",71,1600000.0,4000.0,29,Pisa,Serie B
E. Torregrossa,Ernesto Torregrossa,ST,71,1600000.0,5000.0,31,Pisa,Serie B
S. Moreo,Stefano Moreo,"ST, LW",71,1800000.0,5000.0,30,Pisa,Serie B
M. Tramoni,Mattéo Tramoni,"CF, CAM",70,3600000.0,3000.0,23,Pisa,Serie B
A. Caracciolo,Antonio Aldo Caracciolo,CB,70,750000.0,3000.0,33,Pisa,Serie B
J. Mlakar,Jan Mlakar,"ST, LM",69,2100000.0,3000.0,24,Pisa,Serie B
M. Leverbe,Maxime Jean Roberto Leverbe,CB,69,1600000.0,3000.0,26,Pisa,Serie B
E. Gliozzi,Ettore Gliozzi,ST,69,1600000.0,3000.0,27,Pisa,Serie B
A. Calabresi,Arturo Calabresi,"RB, CB",69,1500000.0,3000.0,27,Pisa,Serie B
M. D'Alessandro,Marco D'Alessandro,"LW, LM, RW",69,1100000.0,22000.0,32,Pisa,Serie B
Nicolas,David Nicolás Andrade,GK,69,150000.0,1000.0,35,Pisa,Serie B
H. Hermannsson,Hjörtur Hermannsson,"CB, RB",68,1200000.0,2000.0,28,Pisa,Serie B
Tomás Esteves,Tomás do Lago Pontes Esteves,RB,67,2200000.0,1000.0,21,Pisa,Serie B
I. Touré,Idrissa Touré,"CM, CDM",67,1500000.0,2000.0,25,Pisa,Serie B
M. Marin,Marius Mihai Marin,"CM, CDM",67,1500000.0,2000.0,24,Pisa,Serie B
A. Beghetto,Andrea Beghetto,"LB, LWB, LM",67,925000.0,2000.0,28,Pisa,Serie B
G. Masucci,Gaetano Vittorio Masucci,"ST, LW, RW",66,300000.0,2000.0,38,Pisa,Serie B
R. Jureškin,Roko Jureškin,"LB, LM",65,1500000.0,1000.0,22,Pisa,Serie B
A. De Vitis,Alessandro De Vitis,"CM, CDM, CB",65,575000.0,2000.0,31,Pisa,Serie B
S. Canestrelli,Simone Canestrelli,CB,63,1000000.0,1000.0,22,Pisa,Serie B
T. Barbieri,Tommaso Barbieri,"RB, RM",62,925000.0,9000.0,20,Pisa,Serie B
L. Tramoni,Lisandru Tramoni,"CAM, RM, CF",62,875000.0,850.0,20,Pisa,Serie B
G. Piccinini,Gabriele Piccinini,"CDM, CM",60,475000.0,750.0,22,Pisa,Serie B
L. Loria,Leonardo Loria,GK,59,375000.0,600.0,24,Pisa,Serie B
A. Arena,Alessandro Arena,"CAM, LW",53,190000.0,800.0,22,Pisa,Serie B
