short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Ripley,Connor Ripley,GK,66,575000.0,2000.0,30,Port Vale,League One
A. Iacovitti,Alexander Iacovitti,CB,65,850000.0,2000.0,25,Port Vale,League One
M. Clark,Mitchell Reece Clark,"RWB, RB",65,900000.0,2000.0,24,Port Vale,League One
E. Chislett,Ethan Chislett,"RM, CM, LM",65,975000.0,2000.0,24,Port Vale,League One
B. Garrity,Benjamin Matthew Garrity,"CM, CAM",65,825000.0,3000.0,26,Port Vale,League One
C. Grant,Conor James Grant,LWB,65,650000.0,2000.0,28,Port Vale,League One
N. Smith,Nathan James Smith,CB,65,650000.0,2000.0,27,Port Vale,League One
A. Devine,Alfie Devine,"CAM, CM",64,1600000.0,5000.0,18,Port Vale,League One
F. Ojo,Funso-King Ojo,CM,64,475000.0,2000.0,31,Port Vale,League One
J. Wilson,James Anthony Wilson,ST,63,525000.0,2000.0,27,Port Vale,League One
D. Jones,Daniel John Jones,CB,63,425000.0,2000.0,28,Port Vale,League One
T. Conlon,Tom George Sawyer Conlon,CM,63,500000.0,2000.0,27,Port Vale,League One
G. Massey,Gavin Alexander Massey,"ST, RWB",62,400000.0,2000.0,30,Port Vale,League One
O. Arblaster,Oliver Arblaster,CM,61,850000.0,3000.0,19,Port Vale,League One
L. Cass,Lewis Graham Cass,CB,61,450000.0,1000.0,23,Port Vale,League One
J. Lowe,Jason John Lowe,"RWB, RB",61,240000.0,2000.0,31,Port Vale,League One
R. Loft,Ryan George Henson Loft,ST,61,375000.0,2000.0,25,Port Vale,League One
T. Sang,Thomas Sang,"RWB, RB",60,325000.0,1000.0,24,Port Vale,League One
J. Leutwiler,Jayson Leutwiler,GK,60,40000.0,1000.0,34,Port Vale,League One
J. Plant,James Plant,"RWB, CM",56,325000.0,750.0,19,Port Vale,League One
J. Thomas,Josh Thomas,ST,55,300000.0,3000.0,20,Port Vale,League One
K. Balmer,Kofi Balmer,CB,55,275000.0,4000.0,22,Port Vale,League One
R. Walters,Rhys Walters,CM,51,130000.0,500.0,17,Port Vale,League One
