short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Nakamura,中村 航輔,GK,76,7000000.0,8000.0,28,Portimonense,Liga Portugal
Filipe Relvas,Filipe Bem Relvas Vito Oliveira,"CB, LB, CM",75,11500000.0,7000.0,23,Portimonense,Liga Portugal
Maurício,Maurício José da Silveira Júnior,"CDM, CM, CAM",75,1900000.0,9000.0,34,Portimonense,Liga Portugal
Luquinha,Lucas Queiroz Canteiro,"CAM, CM, RM",72,4800000.0,6000.0,22,Portimonense,Liga Portugal
Carlinhos,Carlos Vinícius Santos de Jesús,"CM, CAM",72,2300000.0,7000.0,29,Portimonense,Liga Portugal
Paulo Estrela,Paulo Estrela Moreira Alves,"CM, CDM",70,2500000.0,5000.0,24,Portimonense,Liga Portugal
Pedrão,Pedro Henrique de Oliveira Correia,"CB, RB",70,2100000.0,5000.0,26,Portimonense,Liga Portugal
Dener,Dener Gomes Clemente,"CM, CDM",70,1300000.0,5000.0,31,Portimonense,Liga Portugal
Rildo,Rildo Gonçalves de Amorim Filho,"LM, RM, LW",69,3100000.0,4000.0,23,Portimonense,Liga Portugal
R. Carrillo,Ronie Edmundo Carrillo Morales,ST,69,1700000.0,5000.0,26,Portimonense,Liga Portugal
M. Seck,Moustapha Seck,"LB, LM, LWB",68,1300000.0,4000.0,27,Portimonense,Liga Portugal
S. Jasper,Sylvester Jasper,"RM, LM, LW",66,1900000.0,2000.0,22,Portimonense,Liga Portugal
Igor Formiga,Igor Formiga,"RB, RWB, RM",66,1300000.0,2000.0,24,Portimonense,Liga Portugal
Alemão,João Victor Tornich,CB,65,1500000.0,2000.0,20,Portimonense,Liga Portugal
Lucas Ventura,Lucas de Souza Ventura,"CDM, CM",65,1300000.0,2000.0,25,Portimonense,Liga Portugal
Vinicius Silvestre,Vinicius Silvestre da Costa,GK,65,600000.0,2000.0,29,Portimonense,Liga Portugal
Paulinho,Paulo Rafael Pereira Araújo,ST,64,1300000.0,3000.0,23,Portimonense,Liga Portugal
Gonçalo Costa,Gonçalo Faria Costa,LB,64,1200000.0,2000.0,23,Portimonense,Liga Portugal
Ângelo Taveira,Ângelo Rafael Oliveira Sousa Taveira,"LM, RM",64,925000.0,2000.0,23,Portimonense,Liga Portugal
Guga,Gonçalo Moura Oliveira,"RB, RWB, LB",63,1100000.0,950.0,19,Portimonense,Liga Portugal
Luan Campos,Luan Silva,"RM, RW, LW",63,775000.0,1000.0,21,Portimonense,Liga Portugal
Kim Yong Hak,Yong Hak Kim,"RM, RW, LW",62,950000.0,1000.0,20,Portimonense,Liga Portugal
D. Adeniran,Dennis Emmanuel Abiodun Adeniran,"CM, CDM",62,600000.0,1000.0,24,Portimonense,Liga Portugal
Ricardo Sousa,José Ricardo Gomes de Sousa,"CDM, CM, CB",61,700000.0,1000.0,22,Portimonense,Liga Portugal
Hélio Varela,Hélio Sandro Varela,"LM, RM, LW",61,725000.0,1000.0,21,Portimonense,Liga Portugal
Davis,Davis Silva do Nascimento,"CAM, LW, CF",60,600000.0,1000.0,20,Portimonense,Liga Portugal
Gabriel Souza,Gabriel Gonçalves de Souza,GK,60,450000.0,500.0,18,Portimonense,Liga Portugal
Midana Cassamá,Midana Cassamá,ST,60,375000.0,1000.0,20,Portimonense,Liga Portugal
Rafael Alcobia,Rafael Vicente Alcobia,CB,59,450000.0,950.0,20,Portimonense,Liga Portugal
Zinho,Luis Henrique Hoffmann,"LW, CAM",59,500000.0,1000.0,20,Portimonense,Liga Portugal
