short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Evander,Evander da Silva Ferreira,"CM, CAM",75,8000000.0,9000.0,25,Portland Timbers,Major League Soccer
S. Blanco,Sebastián Marcelo Blanco,"CAM, LM",73,1200000.0,6000.0,35,Portland Timbers,Major League Soccer
D. Chará,Diego Ferney Chara Zamora,"CDM, CM",73,600000.0,5000.0,37,Portland Timbers,Major League Soccer
Y. Chará,Yimmi Javier Chara Zamora,"LM, RM, CAM",72,1900000.0,7000.0,32,Portland Timbers,Major League Soccer
S. Moreno,Santiago Moreno,"RM, LM",71,3800000.0,5000.0,23,Portland Timbers,Major League Soccer
F. Boli,Bi Sylvestre Franck Fortune Boli,ST,71,1900000.0,7000.0,29,Portland Timbers,Major League Soccer
C. Bravo,Claudio Nicolás Bravo,LB,71,1900000.0,5000.0,26,Portland Timbers,Major League Soccer
B. Acosta,Bryan Josue Acosta Ramos,"CDM, CM",71,1600000.0,6000.0,29,Portland Timbers,Major League Soccer
Antony,Antony Alves Santos,"RM, LM",70,3600000.0,4000.0,21,Portland Timbers,Major League Soccer
E. Williamson,Eryk Williamson,"CDM, CM",69,1500000.0,4000.0,26,Portland Timbers,Major League Soccer
F. Mora,Felipe Andrés Mora Aliaga,ST,69,1400000.0,5000.0,29,Portland Timbers,Major League Soccer
C. Paredes,Cristhian Fabián Paredes Maciel,"CDM, CM",68,1300000.0,3000.0,25,Portland Timbers,Major League Soccer
A. Ivačič,Aljaž Ivačič,GK,68,825000.0,3000.0,29,Portland Timbers,Major League Soccer
D. Ayala,Maximiliano David Ayala,"CDM, CM",67,1900000.0,2000.0,20,Portland Timbers,Major League Soccer
L. Mabiala,Larrys Mabiala Destin,CB,67,275000.0,2000.0,35,Portland Timbers,Major League Soccer
D. Župarić,Dario Župarić,CB,67,700000.0,3000.0,31,Portland Timbers,Major League Soccer
M. Araujo,Miguel Gianpierre Araujo Blanco,CB,67,875000.0,3000.0,28,Portland Timbers,Major League Soccer
J. Niezgoda,Jarosław Niezgoda,ST,67,1000000.0,4000.0,28,Portland Timbers,Major League Soccer
J. Mosquera,Juan David Mosquera López,"RB, RM, RWB",66,1800000.0,2000.0,20,Portland Timbers,Major League Soccer
Z. McGraw,Zac McGraw,CB,66,925000.0,2000.0,26,Portland Timbers,Major League Soccer
D. Asprilla,Dairon Estibens Asprilla Rivas,"LM, RM, ST",66,700000.0,3000.0,31,Portland Timbers,Major League Soccer
M. Loría,Marvin Loría,"RM, LM",65,850000.0,2000.0,26,Portland Timbers,Major League Soccer
D. Bingham,David Bingham,GK,65,230000.0,2000.0,33,Portland Timbers,Major League Soccer
E. Miller,Eric Miller,"RB, CB, LB",64,500000.0,2000.0,30,Portland Timbers,Major League Soccer
J. Rasmussen,Justin Rasmussen,LB,59,425000.0,1000.0,24,Portland Timbers,Major League Soccer
D. Gutierrez,Diego Gutiérrez,"LM, CAM",56,220000.0,1000.0,24,Portland Timbers,Major League Soccer
H. Sulte,Hunter Sulte,GK,55,250000.0,600.0,21,Portland Timbers,Major League Soccer
T. Ikoba,Tega Ikoba,ST,53,220000.0,850.0,19,Portland Timbers,Major League Soccer
V. Griffith,Victor Griffith,CM,53,190000.0,1000.0,22,Portland Timbers,Major League Soccer
N. Caliskan,Noel Caliskan,CM,52,180000.0,1000.0,22,Portland Timbers,Major League Soccer
