short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Bishop,Colby David Bishop,ST,70,1900000.0,9000.0,26,Portsmouth,League One
R. Poole,Regan Leslie Poole,"CB, RWB",68,1400000.0,5000.0,25,Portsmouth,League One
J. Rafferty,Joe Rafferty,RB,68,1100000.0,6000.0,29,Portsmouth,League One
J. Morrell,Joseff John Morrell,"CM, CDM",67,1300000.0,5000.0,26,Portsmouth,League One
T. Anjorin,Faustino Adebola Rasheed Anjorin,"RM, RW",66,1900000.0,17000.0,21,Portsmouth,League One
M. Pack,Marlon Pack,"CDM, CM",66,575000.0,4000.0,32,Portsmouth,League One
S. Raggett,Sean Aidan Raggett,CB,66,725000.0,4000.0,29,Portsmouth,League One
R. Towler,Ryley Ben Towler,CB,65,1500000.0,2000.0,21,Portsmouth,League One
P. Lane,Patrick Lane,"RM, CM",65,1500000.0,3000.0,22,Portsmouth,League One
T. Lowery,Thomas Richard Lowery,"CM, CDM",65,1000000.0,4000.0,25,Portsmouth,League One
A. Scully,Anthony Richard Scully,"LM, LW, RW",65,1000000.0,3000.0,24,Portsmouth,League One
C. Ogilvie,Connor Stuart Ogilvie,LB,65,750000.0,3000.0,27,Portsmouth,League One
W. Norris,Will Norris,GK,65,500000.0,3000.0,29,Portsmouth,League One
G. Whyte,Gavin Whyte,"RM, RW",65,750000.0,4000.0,27,Portsmouth,League One
C. Saydee,Christian Saydee,ST,64,1300000.0,3000.0,21,Portsmouth,League One
Z. Swanson,Zachary Swanson,RB,64,1100000.0,3000.0,22,Portsmouth,League One
J. Sparkes,Jack Sparkes,"LB, LWB",64,800000.0,3000.0,22,Portsmouth,League One
C. Shaughnessy,Conor Glynn Shaughnessy,"CB, CDM, CM",64,625000.0,3000.0,27,Portsmouth,League One
B. Stevenson,Ben Edward Stevenson,"CM, CDM",64,675000.0,3000.0,26,Portsmouth,League One
R. Schofield,Ryan Schofield,GK,62,675000.0,2000.0,23,Portsmouth,League One
K. Yengi,Kusini Yengi,"LM, ST",62,625000.0,2000.0,24,Portsmouth,League One
D. Hume,Denver Jay Hume,"LB, LWB",62,500000.0,2000.0,24,Portsmouth,League One
A. Kamara,Abu Kamara,ST,60,650000.0,4000.0,19,Portsmouth,League One
T. Devlin,Terry Devlin,CM,60,575000.0,1000.0,19,Portsmouth,League One
A. Robertson,Alexander Robertson,CM,58,525000.0,11000.0,20,Portsmouth,League One
J. Dockerill,Josh Dockerill,"CDM, CB",52,170000.0,550.0,18,Portsmouth,League One
