short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Batmaz,Malik Batmaz,ST,67,1600000.0,2000.0,23,Preußen Münster,3. Liga
M. Lorenz,Marc Lorenz,LM,67,475000.0,2000.0,34,Preußen Münster,3. Liga
R. Preißinger,Rico Preißinger,"CDM, CM, CAM",65,850000.0,1000.0,26,Preußen Münster,3. Liga
D. Schad,Dominik Schad,"RWB, LWB",65,800000.0,1000.0,26,Preußen Münster,3. Liga
M. Schulze Niehues,Maximilian Schulze Niehues,GK,65,120000.0,950.0,34,Preußen Münster,3. Liga
S. Mrowca,Sebastian Mrowca,"CB, RWB, CM",65,600000.0,1000.0,29,Preußen Münster,3. Liga
A. Wooten,Andrew Wooten,ST,64,375000.0,1000.0,33,Preußen Münster,3. Liga
S. Scherder,Simon Scherder,CB,64,475000.0,1000.0,30,Preußen Münster,3. Liga
T. Kok,Thomas Petrus Johannes Kok,"CDM, CB",63,650000.0,900.0,25,Preußen Münster,3. Liga
O. Heil,Ogechika Heil,LM,63,750000.0,900.0,22,Preußen Münster,3. Liga
J. Grodowski,Joel Grodowski,"ST, LM",63,650000.0,1000.0,25,Preußen Münster,3. Liga
Y. Bouchama,Yassine Bouchama,"CAM, ST",63,625000.0,1000.0,26,Preußen Münster,3. Liga
D. Grote,Dennis Grote,CM,63,150000.0,800.0,36,Preußen Münster,3. Liga
B. Böckle,Benjamin Böckle,LWB,62,600000.0,3000.0,21,Preußen Münster,3. Liga
A. Hahn,Alexander Hahn,CB,62,325000.0,850.0,30,Preußen Münster,3. Liga
G. Wegkamp,Gerrit Wegkamp,"ST, CF",62,400000.0,1000.0,30,Preußen Münster,3. Liga
S. Oubeyapwa,Shaibou Oubeyapwa,"ST, CAM",62,400000.0,1000.0,30,Preußen Münster,3. Liga
L. Bazzoli,Luca Bazzoli,"CB, CDM",61,700000.0,700.0,22,Preußen Münster,3. Liga
D. Kyerewaa,Daniel Kankam Kyerewaa,CAM,59,500000.0,700.0,22,Preußen Münster,3. Liga
T. Deters,Thorben-Johannes Deters,CM,59,240000.0,800.0,27,Preußen Münster,3. Liga
D. Ghindovean,Darius Dacian Ghindovean,"CM, CAM",58,450000.0,600.0,21,Preußen Münster,3. Liga
J. Schenk,Johannes Schenk,GK,57,350000.0,4000.0,20,Preußen Münster,3. Liga
N. Koulis,Niko Koulis,CB,57,300000.0,650.0,24,Preußen Münster,3. Liga
R. Schabbing,Roman Schabbing,GK,56,275000.0,500.0,21,Preußen Münster,3. Liga
M. Benjamins,Marvin Benjamins,"ST, CF",56,325000.0,650.0,20,Preußen Münster,3. Liga
K. Schacht,Kevin Schacht,ST,56,325000.0,650.0,21,Preußen Münster,3. Liga
J. Amadi,Joel Amadi,"RWB, CB",55,275000.0,500.0,19,Preußen Münster,3. Liga
J. ter Horst,Jano ter Horst,CB,55,275000.0,500.0,21,Preußen Münster,3. Liga
