short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Walski,Michał Walski,"CDM, CM",64,625000.0,1000.0,26,Puszcza Niepołomice,Ekstraklasa
J. Serafin,Jakub Serafin,"CDM, CM",63,500000.0,1000.0,27,Puszcza Niepołomice,Ekstraklasa
M. Mešanović,Muris Mešanović,"ST, RM, LM",63,400000.0,1000.0,32,Puszcza Niepołomice,Ekstraklasa
P. Mroziński,Piotr Mroziński,"CDM, CB, RB",63,400000.0,1000.0,30,Puszcza Niepołomice,Ekstraklasa
J. Majchrzak,Jordan Majchrzak,ST,62,925000.0,900.0,18,Puszcza Niepołomice,Ekstraklasa
K. Komar,Kevin Komar,GK,62,750000.0,500.0,19,Puszcza Niepołomice,Ekstraklasa
A. Craciun,Artur Craciun,"CB, RB",62,450000.0,1000.0,25,Puszcza Niepołomice,Ekstraklasa
K. Zapolnik,Kamil Zapolnik,"ST, RM, CAM",62,400000.0,1000.0,30,Puszcza Niepołomice,Ekstraklasa
M. Pięczek,Marcel Pięczek,"LB, LM",61,450000.0,800.0,22,Puszcza Niepołomice,Ekstraklasa
A. Siemaszko,Artur Siemaszko,"RM, LM, ST",61,375000.0,1000.0,26,Puszcza Niepołomice,Ekstraklasa
Ł. Sołowiej,Łukasz Sołowiej,CB,61,110000.0,950.0,34,Puszcza Niepołomice,Ekstraklasa
M. Cholewiak,Mateusz Cholewiak,"LM, ST",61,200000.0,1000.0,33,Puszcza Niepołomice,Ekstraklasa
K. Stępień,Konrad Stępień,"CB, RB, CDM",61,275000.0,950.0,30,Puszcza Niepołomice,Ekstraklasa
B. Poczobut,Bartłomiej Poczobut,CDM,61,275000.0,1000.0,29,Puszcza Niepołomice,Ekstraklasa
R. Yakuba,Roman Yakuba,"CB, LB",60,525000.0,750.0,22,Puszcza Niepołomice,Ekstraklasa
W. Hajda,Wojciech Hajda,"CDM, CM",60,300000.0,750.0,23,Puszcza Niepołomice,Ekstraklasa
J. Bartosz,Jakub Bartosz,"RB, RM",60,275000.0,900.0,26,Puszcza Niepołomice,Ekstraklasa
T. Wojcinowicz,Tomasz Wojcinowicz,"CB, CDM",60,250000.0,900.0,27,Puszcza Niepołomice,Ekstraklasa
M. Koj,Michał Koj,"LB, CB",60,220000.0,950.0,29,Puszcza Niepołomice,Ekstraklasa
R. Kidrić,Rok Kidrić,ST,60,250000.0,1000.0,28,Puszcza Niepołomice,Ekstraklasa
O. Zych,Oliwier Zych,GK,59,525000.0,3000.0,19,Puszcza Niepołomice,Ekstraklasa
K. Wróblewski,Krzysztof Wróblewski,GK,58,250000.0,500.0,21,Puszcza Niepołomice,Ekstraklasa
H. Tomalski,Hubert Tomalski,"LW, RW, CAM",58,200000.0,1000.0,29,Puszcza Niepołomice,Ekstraklasa
J. Stec,Jakub Stec,CDM,56,275000.0,500.0,18,Puszcza Niepołomice,Ekstraklasa
A. Kramarz,Adam Kramarz,"RW, LW",56,325000.0,800.0,20,Puszcza Niepołomice,Ekstraklasa
K. Piechota,Kacper Piechota,GK,53,190000.0,500.0,18,Puszcza Niepołomice,Ekstraklasa
