short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Leroy,Benjamin Leroy,GK,72,400000.0,4000.0,34,Quevilly Rouen,Ligue 2
S. Fortes,Steven Fortès,CB,69,950000.0,3000.0,31,Quevilly Rouen,Ligue 2
G. Sangaré,Gustavo Fabrice Sangaré,"CDM, CM",68,1500000.0,2000.0,26,Quevilly Rouen,Ligue 2
A. Sissoko,Nelson Sissoko,"RB, LB",68,1500000.0,2000.0,26,Quevilly Rouen,Ligue 2
G. Gbellé,Garland Gbellé,"CM, CAM",67,975000.0,2000.0,30,Quevilly Rouen,Ligue 2
S. Soumano,Sambou Soumano,ST,66,1900000.0,7000.0,22,Quevilly Rouen,Ligue 2
T. Cissokho,Till Cissokho,CB,66,1800000.0,2000.0,23,Quevilly Rouen,Ligue 2
P. Yade,Pape Ndiaga Yade,"LM, LW, ST",66,1700000.0,5000.0,23,Quevilly Rouen,Ligue 2
A. Bonnet,Alexandre Bonnet,"CM, LM",66,275000.0,1000.0,36,Quevilly Rouen,Ligue 2
L. Delaurier-Chaubet,Logan Delaurier-Chaubet,"LW, RW, ST",65,1600000.0,2000.0,21,Quevilly Rouen,Ligue 2
S. Loric,Samuel Loric,LB,65,1400000.0,1000.0,22,Quevilly Rouen,Ligue 2
B. Pierret,Balthazar Pierret,"CDM, CM",65,1300000.0,1000.0,23,Quevilly Rouen,Ligue 2
Y. Roche,Yohan Roche,CB,65,950000.0,2000.0,25,Quevilly Rouen,Ligue 2
J. Pendant,Jason Pendant,LB,64,700000.0,1000.0,26,Quevilly Rouen,Ligue 2
M. Camara,Mamadou Camara,"LM, RM",62,900000.0,1000.0,22,Quevilly Rouen,Ligue 2
D. Bansais,Damon Bansais,RB,62,350000.0,1000.0,29,Quevilly Rouen,Ligue 2
K. Bonnevie,Kayne Bonnevie,GK,61,700000.0,550.0,21,Quevilly Rouen,Ligue 2
N. Cissé,Nadjib Cissé,CB,61,700000.0,900.0,22,Quevilly Rouen,Ligue 2
A. Courel,Arsène Courel,GK,60,500000.0,500.0,19,Quevilly Rouen,Ligue 2
N. Cadiou,Noah Cadiou,CDM,57,230000.0,850.0,24,Quevilly Rouen,Ligue 2
V. Baboula,Vénuste Baboula,LM,57,220000.0,950.0,24,Quevilly Rouen,Ligue 2
P. Sakho,Pape Ousmane Sakho,LW,57,190000.0,1000.0,26,Quevilly Rouen,Ligue 2
A. Do Marcolino,Alan Do Marcolino,ST,56,325000.0,5000.0,21,Quevilly Rouen,Ligue 2
R. Legendre,Robin Legendre,ST,56,325000.0,900.0,21,Quevilly Rouen,Ligue 2
