short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Bruma,Jeffrey Bruma,CB,72,1600000.0,8000.0,31,RKC Waalwijk,Eredivisie
M. Kramer,Michiel Kramer,ST,70,775000.0,7000.0,34,RKC Waalwijk,Eredivisie
S. Adewoye,Shawn Adewoye,CB,68,2200000.0,4000.0,23,RKC Waalwijk,Eredivisie
E. Vaessen,Etienne Vaessen,GK,68,1200000.0,3000.0,27,RKC Waalwijk,Eredivisie
T. Lutonda,Thierry Lutonda,LB,66,1300000.0,3000.0,22,RKC Waalwijk,Eredivisie
J. Lelieveld,Julian Lelieveld,RB,66,1100000.0,3000.0,25,RKC Waalwijk,Eredivisie
J. Houwen,Jeroen Houwen,GK,66,850000.0,2000.0,27,RKC Waalwijk,Eredivisie
D. Van den Buijs,Dario Van den Buijs,CB,66,900000.0,3000.0,27,RKC Waalwijk,Eredivisie
J. Gaari,Juriën Godfried Juan Gaari,"CB, RB",66,725000.0,3000.0,29,RKC Waalwijk,Eredivisie
D. Cleonise,Denilho Cleonise,"RM, LM",65,1600000.0,2000.0,21,RKC Waalwijk,Eredivisie
Y. Oukili,Yassin Oukili,"CM, CDM",65,1400000.0,3000.0,22,RKC Waalwijk,Eredivisie
G. Roemeratoe,Godfried Roemeratoe,"CDM, CM",65,1000000.0,2000.0,23,RKC Waalwijk,Eredivisie
A. Meijers,Aaron Meijers,LB,65,220000.0,2000.0,35,RKC Waalwijk,Eredivisie
Z. Bakkali,Zakaria Bakkali,"LM, RM",65,750000.0,3000.0,27,RKC Waalwijk,Eredivisie
P. Vroegh,Patrick Vroegh,"CM, CDM",64,1200000.0,2000.0,23,RKC Waalwijk,Eredivisie
R. Niemeijer,Reuven Niemeijer,"CAM, CF",64,600000.0,3000.0,28,RKC Waalwijk,Eredivisie
F. Stevanović,Filip Stevanović,"LM, RM",63,1300000.0,14000.0,20,RKC Waalwijk,Eredivisie
D. Min,David Min,"ST, RM",63,775000.0,2000.0,24,RKC Waalwijk,Eredivisie
R. Meir,Raz Meir,RB,63,550000.0,2000.0,26,RKC Waalwijk,Eredivisie
K. Felida,Kevin Felida,"CDM, CM",62,575000.0,2000.0,23,RKC Waalwijk,Eredivisie
R. Margaret,Richonell Margaret,"LM, ST, RM",61,725000.0,2000.0,22,RKC Waalwijk,Eredivisie
I. Takidine,Ilias Takidine,"LM, RM",60,550000.0,2000.0,22,RKC Waalwijk,Eredivisie
D. Weidmann,Daouda Weidmann,"CM, CAM",60,550000.0,5000.0,20,RKC Waalwijk,Eredivisie
C. Lokesa,Chris-Emmanuel Lokesa,CAM,59,575000.0,650.0,18,RKC Waalwijk,Eredivisie
J. Kesting,Joey Kesting,GK,59,450000.0,1000.0,22,RKC Waalwijk,Eredivisie
M. Spenkelink,Mark Spenkelink,GK,58,230000.0,1000.0,26,RKC Waalwijk,Eredivisie
N. El Harmazi,Nouri El Harmazi,"CAM, CM",56,350000.0,1000.0,21,RKC Waalwijk,Eredivisie
