short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Quintero,Juan Fernando Quintero Paniagua,"CAM, RM",77,10000000.0,20000.0,30,Racing Club,Liga Profesional
A. Moreno,Aníbal Ismael Moreno,"CDM, CM",76,11000000.0,15000.0,24,Racing Club,Liga Profesional
L. Sigali,Leonardo Germán Sigali,CB,75,1000000.0,12000.0,36,Racing Club,Liga Profesional
G. Piovi,Gonzalo Rubén Piovi,"CB, LB",75,4800000.0,17000.0,28,Racing Club,Liga Profesional
G. Arias,Gabriel Arias Arroyo,GK,75,625000.0,9000.0,35,Racing Club,Liga Profesional
E. Vecchio,Emiliano Gabriel Vecchio,"CAM, CM",74,2000000.0,17000.0,34,Racing Club,Liga Profesional
L. Miranda,Leonel Ariel Miranda,CM,74,4100000.0,18000.0,29,Racing Club,Liga Profesional
N. Colombo,Nazareno Colombo,CB,73,6500000.0,12000.0,24,Racing Club,Liga Profesional
J. Carbonero,Johan Stiven Carbonero Balanta,LW,73,4600000.0,15000.0,23,Racing Club,Liga Profesional
G. Hauche,Gabriel Agustín Hauche,"RW, LW",73,1000000.0,13000.0,36,Racing Club,Liga Profesional
J. Gómez,Jonathan David Gómez,"CM, CAM",73,1900000.0,15000.0,33,Racing Club,Liga Profesional
R. Martínez,Roger Beyker Martínez Tobinson,"ST, LW, RW",73,3000000.0,17000.0,29,Racing Club,Liga Profesional
G. Rojas,Gabriel Hernán Rojas,LB,73,3000000.0,14000.0,26,Racing Club,Liga Profesional
A. Almendra,Agustín Ezequiel Almendra,CM,72,3500000.0,12000.0,23,Racing Club,Liga Profesional
F. Mura,Facundo Mura,"RB, LB",72,3000000.0,11000.0,24,Racing Club,Liga Profesional
G. Martirena,Gastón Nicolás Martirena Torres,RB,71,2400000.0,10000.0,23,Racing Club,Liga Profesional
J. Nardoni,Juan Ignacio Martín Nardoni,"CM, CDM",70,3500000.0,8000.0,20,Racing Club,Liga Profesional
M. Romero,Maximiliano Samuel Romero,ST,70,2200000.0,9000.0,24,Racing Club,Liga Profesional
I. Pillud,Iván Alexis Pillud,RB,70,350000.0,7000.0,37,Racing Club,Liga Profesional
N. Oroz,Nicolás Adrián Oroz,"CM, RW",70,1600000.0,11000.0,29,Racing Club,Liga Profesional
N. Reniero,Gastón Nicolás Reniero,ST,69,1400000.0,10000.0,28,Racing Club,Liga Profesional
M. Tagliamonte,Matías Nicolás Tagliamonte,GK,68,1100000.0,5000.0,25,Racing Club,Liga Profesional
A. Ojeda,Agustín Ojeda,"RW, LW",66,2000000.0,4000.0,19,Racing Club,Liga Profesional
S. Quirós,Santiago Quirós,CB,63,975000.0,2000.0,20,Racing Club,Liga Profesional
C. Cabellos,Catriel Cabellos,RW,62,925000.0,1000.0,18,Racing Club,Liga Profesional
T. Rubio,Tobías Rubio,RB,62,875000.0,900.0,18,Racing Club,Liga Profesional
B. Rodríguez,Baltasar Gallego Rodríguez,LW,62,850000.0,2000.0,19,Racing Club,Liga Profesional
E. Saliadarre,Emiliano Daniel Saliadarre,ST,62,900000.0,3000.0,21,Racing Club,Liga Profesional
