short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Cantero,Ander Cantero Armendáriz,GK,71,1700000.0,5000.0,28,Racing Ferrol,La Liga 2
Vadillo,Álvaro Vadillo Cifuentes,"LM, ST, RM",70,1600000.0,5000.0,28,Racing Ferrol,La Liga 2
Iker Losada,Iker Losada Aragunde,"RM, LM, CAM",69,3100000.0,3000.0,21,Racing Ferrol,La Liga 2
Álex López,Alejandro López Sánchez,"CM, CDM",69,550000.0,3000.0,35,Racing Ferrol,La Liga 2
Álvaro Giménez,Álvaro Giménez Candela,ST,69,1100000.0,5000.0,32,Racing Ferrol,La Liga 2
Josep Señé,Josep Señé Escudero,"CM, CAM, CDM",69,1100000.0,4000.0,31,Racing Ferrol,La Liga 2
Sabin Merino,Sabin Merino Zuloaga,"ST, LM",68,1000000.0,5000.0,31,Racing Ferrol,La Liga 2
Nacho,Ignacio Agustín Sánchez Romo,"LM, RM, CAM",68,1200000.0,4000.0,30,Racing Ferrol,La Liga 2
Clemente,Enrique Clemente Maza,"CB, LB",67,2100000.0,5000.0,24,Racing Ferrol,La Liga 2
Carlos Vicente,Carlos Vicente Robles,"RM, ST",66,1400000.0,2000.0,24,Racing Ferrol,La Liga 2
Fran Manzanara,Francisco Jesús López de la Manzanara Delgado,"CDM, CB",66,1000000.0,2000.0,26,Racing Ferrol,La Liga 2
David Castro,David Castro Pazos,"CB, LB",66,900000.0,2000.0,27,Racing Ferrol,La Liga 2
Moi Delgado,Moisés Delgado López,"LB, LWB",66,750000.0,2000.0,29,Racing Ferrol,La Liga 2
Delmás,Julián Javier Delmás Germán,"RB, RWB, RM",66,775000.0,2000.0,28,Racing Ferrol,La Liga 2
Manu Justo,Manuel Justo Román,"ST, RM",66,925000.0,3000.0,27,Racing Ferrol,La Liga 2
Emilio Bernad,Emilio Bernard Sánchez,GK,65,1400000.0,1000.0,23,Racing Ferrol,La Liga 2
Chuca,Víctor Moya Martínez,"CAM, CM",65,925000.0,2000.0,26,Racing Ferrol,La Liga 2
G. Gazzaniga,Gianfranco Gazzaniga Farías,GK,65,600000.0,2000.0,29,Racing Ferrol,La Liga 2
Jon García,Jon García Herrero,CB,65,475000.0,2000.0,32,Racing Ferrol,La Liga 2
Pumar,Fernando Pumar Prieto,"LB, LM",65,375000.0,2000.0,33,Racing Ferrol,La Liga 2
Héber Pena,Héber Pena Picos,"RM, CM, LM",65,450000.0,2000.0,33,Racing Ferrol,La Liga 2
Brais Martínez,Brais Martínez Prado,LB,64,1300000.0,1000.0,21,Racing Ferrol,La Liga 2
L. Ferrone,Luca Ferrone Brualla,"RB, CB",64,500000.0,2000.0,30,Racing Ferrol,La Liga 2
Cubero,Sergio Cubero Ezcurra,"RB, CB",63,925000.0,2000.0,23,Racing Ferrol,La Liga 2
Jesús Bernal,Jesús José Bernal Villarig,"CDM, CB, RB",63,625000.0,2000.0,26,Racing Ferrol,La Liga 2
