short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Grenier,Clément Grenier,"CM, CAM, CDM",75,4400000.0,10000.0,32,Racing Santander,La Liga 2
Iñigo Vicente,Iñigo Vicente Elorduy,"LM, CAM",74,5500000.0,9000.0,25,Racing Santander,La Liga 2
Germán,Germán Sánchez Barahona,CB,74,750000.0,6000.0,36,Racing Santander,La Liga 2
L. Júnior,Junior Wakalible Lago,"LM, RM, CF",71,1500000.0,7000.0,32,Racing Santander,La Liga 2
Ezkieta,Jokin Ezkieta Mendiburu,GK,70,1700000.0,5000.0,26,Racing Santander,La Liga 2
Andrés Martín,Andrés Martín García,"RM, LM, ST",69,2200000.0,8000.0,23,Racing Santander,La Liga 2
Rubén Alves,Rubén González Alves,CB,69,1300000.0,5000.0,28,Racing Santander,La Liga 2
Saúl,Saúl García Cabrero,"LB, RWB",69,1300000.0,5000.0,28,Racing Santander,La Liga 2
Miquel Parera,Miquel Parera Pizá,GK,68,1300000.0,3000.0,27,Racing Santander,La Liga 2
Jorge Pombo,Jorge Marcos Pombo Escobar,"CAM, LM, ST",68,1200000.0,5000.0,29,Racing Santander,La Liga 2
Íñigo Sainz-Maza,Íñigo Sainz-Maza Serna,"CDM, RB, CM",67,1900000.0,3000.0,25,Racing Santander,La Liga 2
Ekain,Ekain Zenitagoia Arana,"ST, CAM, CM",67,1000000.0,4000.0,29,Racing Santander,La Liga 2
Aldasoro,Aritz Aldasoro Sarriegi,"CDM, CM",66,1200000.0,2000.0,24,Racing Santander,La Liga 2
Dani Fernández,Daniel Fernández Fernández,"RB, RM",66,1000000.0,3000.0,26,Racing Santander,La Liga 2
Pol Moreno,Pol Moreno Sánchez,CB,66,800000.0,3000.0,29,Racing Santander,La Liga 2
Marco Sangalli,Marco Sangalli Fuentes,"RM, LM, CM",66,700000.0,3000.0,31,Racing Santander,La Liga 2
Mantilla,Álvaro Mantilla Pérez,"RB, CB, LB",65,1500000.0,2000.0,23,Racing Santander,La Liga 2
Arana,Juan Carlos Arana Gómez,ST,65,1600000.0,3000.0,23,Racing Santander,La Liga 2
Peque,Gerard Fernández Castellano,"LM, ST, CAM",64,1300000.0,2000.0,20,Racing Santander,La Liga 2
Iván Morante,Iván Morante Ruiz,"CM, CDM",64,1300000.0,2000.0,22,Racing Santander,La Liga 2
Adrián Corral,Adrián Corral Alciturri,"LB, CB",61,750000.0,5000.0,20,Racing Santander,La Liga 2
Jeremy,Jeremy Arévalo Mera,ST,60,625000.0,700.0,18,Racing Santander,La Liga 2
Álvaro Santamaría,Álvaro Santamaría Arenas,ST,60,600000.0,1000.0,21,Racing Santander,La Liga 2
Juan Gutiérrez,Juan Gutiérrez Martínez,CB,60,500000.0,1000.0,23,Racing Santander,La Liga 2
Mario García,Mario García Alvear,LB,59,550000.0,800.0,19,Racing Santander,La Liga 2
Jorrín,Mario Jorrín González,"RB, CB",59,525000.0,1000.0,21,Racing Santander,La Liga 2
Yeray,Yeray Cabanzón de Arriba,"CAM, RM, LM",59,550000.0,1000.0,20,Racing Santander,La Liga 2
Germán Fernández,Germán Fernández Hidalgo,GK,58,400000.0,1000.0,22,Racing Santander,La Liga 2
Dani González,Daniel González García,CAM,57,400000.0,1000.0,21,Racing Santander,La Liga 2
Diego Campo,Diego Campo González,"CAM, LM, CM",55,275000.0,1000.0,21,Racing Santander,La Liga 2
