short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Ivi López,Iván López Álvarez,"CF, CAM",75,5500000.0,12000.0,29,Raków Częstochowa,Ekstraklasa
V. Kovacević,Vladan Kovačević,GK,72,2900000.0,6000.0,25,Raków Częstochowa,Ekstraklasa
S. Plavšić,Srđan Plavšić,"LM, CAM, LB",72,2500000.0,8000.0,27,Raków Częstochowa,Ekstraklasa
F. Tudor,Fran Tudor,"RM, CB, RWB",72,2500000.0,8000.0,27,Raków Częstochowa,Ekstraklasa
S. Svarnas,Efstratios Svarnas,CB,71,2500000.0,6000.0,25,Raków Częstochowa,Ekstraklasa
S. Kittel,Sonny Kittel,"CF, LW, CM",71,1800000.0,8000.0,30,Raków Częstochowa,Ekstraklasa
Z. Arsenić,Zoran Arsenić,CB,70,1500000.0,6000.0,29,Raków Częstochowa,Ekstraklasa
B. Nowak,Bartosz Nowak,"CF, CAM",70,1600000.0,7000.0,29,Raków Częstochowa,Ekstraklasa
J. Yeboah,John Yeboah Zamora,"RM, CF",69,2800000.0,5000.0,23,Raków Częstochowa,Ekstraklasa
D. Sorescu,Deian Cristian Sorescu,"RM, RB",69,1700000.0,5000.0,25,Raków Częstochowa,Ekstraklasa
A. Kovačević,Adnan Kovačević,CB,69,1200000.0,5000.0,29,Raków Częstochowa,Ekstraklasa
B. Lederman,Ben Lederman,"CM, CF",68,2700000.0,4000.0,23,Raków Częstochowa,Ekstraklasa
K. Pestka,Kamil Pestka,"LWB, LM",68,1700000.0,4000.0,24,Raków Częstochowa,Ekstraklasa
Ł. Zwoliński,Łukasz Zwoliński,ST,68,1200000.0,5000.0,30,Raków Częstochowa,Ekstraklasa
Jean Carlos,Jean Carlos Silva Rocha,"LM, RM",68,1300000.0,5000.0,27,Raków Częstochowa,Ekstraklasa
B. Racovițan,Bogdan Racovițan,CB,67,2100000.0,3000.0,23,Raków Częstochowa,Ekstraklasa
G. Papanikolaou,Giannis Papanikolaou,"CM, CB",67,2000000.0,3000.0,24,Raków Częstochowa,Ekstraklasa
V. Kochergin,Vladyslav Kochergin,"CM, CF",67,1200000.0,4000.0,27,Raków Częstochowa,Ekstraklasa
F. Piasecki,Fabian Piasecki,ST,67,1000000.0,5000.0,28,Raków Częstochowa,Ekstraklasa
A. Gryszkiewicz,Adrian Gryszkiewicz,CB,66,1600000.0,3000.0,23,Raków Częstochowa,Ekstraklasa
G. Berggren,Gustav Berggren,"CDM, CM",66,1100000.0,3000.0,25,Raków Częstochowa,Ekstraklasa
M. Cebula,Marcin Cebula,CF,66,1000000.0,4000.0,27,Raków Częstochowa,Ekstraklasa
M. Rundić,Milan Rundić,CB,66,575000.0,3000.0,31,Raków Częstochowa,Ekstraklasa
K. Bieszczad,Kacper Bieszczad,GK,64,1200000.0,1000.0,20,Raków Częstochowa,Ekstraklasa
A. Crnac,Ante Crnac,"ST, RW",63,1100000.0,1000.0,19,Raków Częstochowa,Ekstraklasa
A. Tsiftsis,Antonis Tsiftsis,GK,62,500000.0,1000.0,23,Raków Częstochowa,Ekstraklasa
D. Drachal,Dawid Drachal,"LM, RM",58,550000.0,600.0,18,Raków Częstochowa,Ekstraklasa
T. Walczak,Tomasz Walczak,ST,54,250000.0,500.0,17,Raków Częstochowa,Ekstraklasa
