short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Burgstaller,Guido Burgstaller,ST,73,1500000.0,19000.0,34,Rapid Wien,Bundesliga
M. Grüll,Marco Grüll,LM,72,3200000.0,14000.0,24,Rapid Wien,Bundesliga
N. Kühn,Nicolas-Gerrit Kühn,RM,71,2800000.0,12000.0,23,Rapid Wien,Bundesliga
N. Hedl,Niklas Hedl,GK,70,3100000.0,7000.0,22,Rapid Wien,Bundesliga
T. Kongolo,Terence Kongolo,"CB, LB",70,1500000.0,35000.0,29,Rapid Wien,Bundesliga
N. Kasanwirjo,Neraysho Meritchio Kasanwirjo,"RB, CB, CDM",69,3000000.0,5000.0,21,Rapid Wien,Bundesliga
J. Auer,Jonas Antonius Auer,"LB, LM",69,2100000.0,8000.0,22,Rapid Wien,Bundesliga
T. Schick,Thorsten Schick,"RB, RM",69,725000.0,9000.0,33,Rapid Wien,Bundesliga
N. Cvetkovic,Nenad Cvetkovic,CB,68,1400000.0,8000.0,27,Rapid Wien,Bundesliga
L. Grgic,Lukas Grgic,"CDM, CM",68,1200000.0,8000.0,27,Rapid Wien,Bundesliga
M. Hofmann,Maximilian Hofmann,CB,68,1000000.0,8000.0,29,Rapid Wien,Bundesliga
L. Querfeld,Leopold Querfeld,CB,67,2300000.0,4000.0,19,Rapid Wien,Bundesliga
A. Pejić,Aleksa Pejić,CDM,67,1500000.0,6000.0,23,Rapid Wien,Bundesliga
P. Greil,Patrick Greil,"CAM, CM, CDM",67,1200000.0,7000.0,26,Rapid Wien,Bundesliga
M. Sollbauer,Michael Sollbauer,CB,67,475000.0,7000.0,33,Rapid Wien,Bundesliga
A. Bajic,Ante Bajic,"RM, ST",67,1100000.0,7000.0,27,Rapid Wien,Bundesliga
M. Seidl,Matthias Seidl,CAM,66,1900000.0,6000.0,22,Rapid Wien,Bundesliga
P. Gartler,Paul Gartler,GK,66,800000.0,5000.0,26,Rapid Wien,Bundesliga
R. Kerschbaum,Roman Kerschbaum,"CDM, CM, CAM",66,725000.0,6000.0,29,Rapid Wien,Bundesliga
F. Mayulu,Fally Mayulu,"ST, RM",64,1400000.0,4000.0,20,Rapid Wien,Bundesliga
D. Kaygin,Dennis Kaygin,CAM,64,1300000.0,3000.0,19,Rapid Wien,Bundesliga
M. Oswald,Moritz Oswald,"CM, CDM",63,1100000.0,3000.0,21,Rapid Wien,Bundesliga
O. Strunz,Oliver Strunz,"RM, CAM",63,1100000.0,4000.0,23,Rapid Wien,Bundesliga
M. Moormann,Martin Moormann,"LB, CB",63,725000.0,4000.0,22,Rapid Wien,Bundesliga
B. Unger,Bernhard Unger,GK,61,425000.0,2000.0,24,Rapid Wien,Bundesliga
N. Sattlberger,Nikolas Sattlberger,CDM,60,550000.0,2000.0,19,Rapid Wien,Bundesliga
J. Zivkovic,Jovan Zivkovic,"ST, RM",59,700000.0,750.0,17,Rapid Wien,Bundesliga
N. Bajlicz,Nicolas Bajlicz,"CM, CDM",58,550000.0,1000.0,18,Rapid Wien,Bundesliga
