short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
O. Ejaria,Oviemuno Dominic Ejaria,"LM, CM, CAM",69,1700000.0,4000.0,25,Reading,League One
A. Yiadom,Andrew Kyere Yiadom,"RB, RWB, CB",69,1000000.0,4000.0,31,Reading,League One
L. Wing,Lewis Wing,"CM, CDM",69,1400000.0,4000.0,28,Reading,League One
T. Holmes,Thomas Holmes,CB,67,1500000.0,2000.0,23,Reading,League One
T. McIntyre,Thomas Mcintyre,"CB, CDM, LB",67,1300000.0,2000.0,24,Reading,League One
D. Button,David Button,GK,67,170000.0,2000.0,34,Reading,League One
H. Dean,Harlee Dean,CB,67,700000.0,2000.0,31,Reading,League One
A. Mbengue,Amadou Salif Mbengue,"RB, CB",66,1800000.0,2000.0,21,Reading,League One
N. Guinness-Walker,Nesta Guinness-Walker,"LB, LWB",66,1300000.0,2000.0,23,Reading,League One
S. Smith,Samuel Toby Smith,"ST, RM",66,1100000.0,2000.0,25,Reading,League One
H. Knibbs,Harvey Andrew Knibbs,"CAM, LM, RM",66,1200000.0,2000.0,24,Reading,League One
Joel Pereira,Joel Dinis Pereira Castro,GK,66,775000.0,2000.0,27,Reading,League One
S. Hutchinson,Samuel Edward Hutchinson,"CDM, CB",66,425000.0,2000.0,33,Reading,League One
F. Azeez,Femi Azeez,"RM, ST",65,1500000.0,2000.0,22,Reading,League One
P. Mukairu,Paul Omo Mukairu,LW,65,1100000.0,6000.0,23,Reading,League One
C. Mola,Clinton Mola,"LB, CB",64,875000.0,1000.0,22,Reading,League One
C. Savage,Charlie Savage,"CDM, CM",63,1000000.0,1000.0,20,Reading,League One
Mamadi Camará,Mamadi Caba Camará,"CAM, RM, LM",62,950000.0,800.0,19,Reading,League One
J. Dorsett,Jeriel Dorsett,"CB, LB",62,750000.0,950.0,21,Reading,League One
N. Abbey,Nelson Abbey,"CB, LB, RB",61,725000.0,650.0,19,Reading,League One
C. Boyce-Clarke,Coniah Boyce-Clarke,GK,61,625000.0,650.0,20,Reading,League One
K. Ehibhatiomhan,Kelvin Ehibhatiomhan,ST,61,725000.0,1000.0,20,Reading,League One
K. Abrefa,Kelvin Abrefa,"RB, RWB",60,550000.0,600.0,19,Reading,League One
M. Craig,Michael Craig,"CDM, CM, RB",59,475000.0,800.0,20,Reading,League One
D. Ballard,Dominic Ballard,ST,58,575000.0,3000.0,18,Reading,League One
C. Vickers,Caylan Vickers,"CAM, RW, ST",58,525000.0,500.0,18,Reading,League One
T. Bindon,Tyler Bindon,CB,57,350000.0,500.0,18,Reading,League One
M. Carson,Matty Carson,"LB, LWB",52,180000.0,750.0,20,Reading,League One
