short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Rodríguez,Guido Rodríguez,CDM,83,35000000.0,37000.0,28,Real Betis,La Liga
N. Fekir,Nabil Fekir,CAM,83,35500000.0,40000.0,29,Real Betis,La Liga
Borja Iglesias,Borja Iglesias Quintás,ST,83,35500000.0,41000.0,30,Real Betis,La Liga
William Carvalho,William Silva de Carvalho,"CDM, CAM",81,18000000.0,30000.0,31,Real Betis,La Liga
Rui Silva,Rui Tiago Dantas da Silva,GK,81,17500000.0,25000.0,29,Real Betis,La Liga
C. Bravo,Claudio Andrés Bravo Muñoz,GK,80,2300000.0,13000.0,40,Real Betis,La Liga
Isco,Francisco Román Alarcón Suárez,"CAM, LM, CM",80,17500000.0,30000.0,31,Real Betis,La Liga
Marc Bartra,Marc Bartra Aregall,CB,79,11500000.0,26000.0,32,Real Betis,La Liga
Ayoze Pérez,Ayoze Pérez Gutiérrez,"LM, RM, CAM",79,17000000.0,30000.0,29,Real Betis,La Liga
Héctor Bellerín,Héctor Bellerín Moruno,"RB, RWB",78,12500000.0,25000.0,28,Real Betis,La Liga
Rodri,Rodrigo Sánchez Rodríguez,"LM, RM, CAM",77,23500000.0,21000.0,23,Real Betis,La Liga
Luiz Henrique,Luiz Henrique André Rosa da Silva,"RM, LM",77,23500000.0,21000.0,22,Real Betis,La Liga
Miranda,Juan Miranda González,LB,77,15500000.0,19000.0,23,Real Betis,La Liga
Y. Sabaly,Youssouf Sabaly,"RB, RM",77,9000000.0,22000.0,30,Real Betis,La Liga
A. Guardado,José Andrés Guardado Hernández,CDM,76,1500000.0,15000.0,36,Real Betis,La Liga
G. Pezzella,Germán Alejandro Pezzella,CB,76,4900000.0,21000.0,32,Real Betis,La Liga
Willian José,Willian José da Silva,ST,76,6500000.0,25000.0,31,Real Betis,La Liga
Aitor Ruibal,Aitor Ruibal García,"RB, RM, LM",76,7000000.0,21000.0,27,Real Betis,La Liga
Marc Roca,Marc Roca Junqué,"CDM, CM",75,7000000.0,36000.0,26,Real Betis,La Liga
A. Ezzalzouli,Abdessamad Ezzalzouli,"LM, RM",73,7000000.0,14000.0,21,Real Betis,La Liga
Abner,Abner Vinicius da Silva Santos,LB,72,5000000.0,13000.0,23,Real Betis,La Liga
Juan Cruz,Juan Cruz Díaz Espósito,"LM, CAM, RM",70,3500000.0,11000.0,23,Real Betis,La Liga
Altimira,Sergio Altimira Clavell,CM,68,2700000.0,7000.0,21,Real Betis,La Liga
C. Riad,Chadi Riad Dnanou,"CB, RB",66,1900000.0,19000.0,20,Real Betis,La Liga
Fran Vieites,Francisco Barbosa Vieites,GK,66,1600000.0,4000.0,24,Real Betis,La Liga
Y. Fekir,Yassin Fékir,"LM, CAM, RM",65,850000.0,6000.0,26,Real Betis,La Liga
A. Diao Diaoune,Assane Diao Diaoune,"LM, ST",64,1600000.0,650.0,17,Real Betis,La Liga
Dani Pérez,Daniel Pérez Guerrero,"CM, CAM, LM",62,1000000.0,500.0,17,Real Betis,La Liga
Manu Morillo,Manuel Morillo León,"ST, RM, LM",62,1000000.0,3000.0,19,Real Betis,La Liga
Andrés Caro,Andrés Carlos Caro Serrano,CB,62,875000.0,2000.0,19,Real Betis,La Liga
N. Mendy,Nobel Mendy,"LB, CB",59,500000.0,500.0,18,Real Betis,La Liga
