short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,63000000.0,250000.0,31,Real Madrid,La Liga
Vini Jr.,Vinícius José Paixão de Oliveira Júnior,LW,89,158500000.0,310000.0,22,Real Madrid,La Liga
F. Valverde,Federico Santiago Valverde Dipetta,"CM, RW",88,130500000.0,270000.0,24,Real Madrid,La Liga
L. Modrić,Luka Modrić,CM,87,25000000.0,190000.0,37,Real Madrid,La Liga
J. Bellingham,Jude Victor William Bellingham,"CM, CAM",86,100500000.0,175000.0,20,Real Madrid,La Liga
Éder Militão,Éder Gabriel Militão,CB,86,80000000.0,210000.0,25,Real Madrid,La Liga
T. Kroos,Toni Kroos,"CM, CDM",86,42000000.0,240000.0,33,Real Madrid,La Liga
Rodrygo,Rodrygo Silva de Goes,"RW, LW, ST",85,86500000.0,210000.0,22,Real Madrid,La Liga
D. Alaba,David Olatukunbo Alaba,"CB, LB",85,37000000.0,200000.0,31,Real Madrid,La Liga
A. Rüdiger,Antonio Rüdiger,CB,85,44000000.0,200000.0,30,Real Madrid,La Liga
A. Tchouaméni,Aurélien Tchouaméni,"CDM, CM",84,58500000.0,160000.0,23,Real Madrid,La Liga
Nacho Fernández,José Ignacio Fernández Iglesias,"CB, LB, RB",83,17500000.0,170000.0,33,Real Madrid,La Liga
E. Camavinga,Eduardo Celmi Camavinga,"CDM, CM, LB",82,56500000.0,110000.0,20,Real Madrid,La Liga
Joselu,José Luis Mato Sanmartín,ST,82,19500000.0,19000.0,33,Real Madrid,La Liga
Carvajal,Daniel Carvajal Ramos,RB,82,22000000.0,155000.0,31,Real Madrid,La Liga
F. Mendy,Ferland Mendy,LB,82,27500000.0,160000.0,28,Real Madrid,La Liga
Kepa,Kepa Arrizabalaga Revuelta,GK,81,22000000.0,90000.0,28,Real Madrid,La Liga
Lucas Vázquez,Lucas Vázquez Iglesias,"RB, RW",81,18000000.0,140000.0,32,Real Madrid,La Liga
Brahim,Brahim Abdelkader Díaz,"CAM, CF, RW",80,32000000.0,125000.0,23,Real Madrid,La Liga
Dani Ceballos,Daniel Ceballos Fernández,"CM, CDM, LW",79,20500000.0,140000.0,26,Real Madrid,La Liga
Fran García,Francisco José García Torres,LB,78,27000000.0,100000.0,23,Real Madrid,La Liga
A. Güler,Arda Güler,"CAM, CM, RW",77,22000000.0,41000.0,18,Real Madrid,La Liga
A. Lunin,Andriy Lunin,GK,74,7000000.0,59000.0,24,Real Madrid,La Liga
Iker Bravo,Iker Bravo Solanilla,"ST, LW, RW",67,2600000.0,7000.0,18,Real Madrid,La Liga
Peter,Peter Federico Gonzalez Carmona,"RW, LW, LB",66,2100000.0,26000.0,20,Real Madrid,La Liga
Obrador,Rafael Obrador Burguera,LB,65,1600000.0,13000.0,19,Real Madrid,La Liga
Álvaro,Álvaro Daniel Rodríguez Muñoz,"ST, LW",63,1200000.0,10000.0,18,Real Madrid,La Liga
Noel,Noel López de la Fuente,"ST, RW",63,1300000.0,18000.0,20,Real Madrid,La Liga
Marvel,Marvelous Antolín Garzón,CB,63,1200000.0,15000.0,20,Real Madrid,La Liga
Mario Martín,Mario Martín Rielves,CM,62,1000000.0,11000.0,19,Real Madrid,La Liga
Nico Paz,Nicolás Paz Martínez,"CM, CAM",62,1000000.0,7000.0,18,Real Madrid,La Liga
Cañizares,Lucas Cañizares Conchello,GK,62,850000.0,10000.0,21,Real Madrid,La Liga
T. Nakai,中井 卓大,"CAM, CF",61,850000.0,11000.0,19,Real Madrid,La Liga
