short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Santi Cazorla,Santiago Cazorla González,"CM, CAM, LM",76,2400000.0,9000.0,38,Real Oviedo,La Liga 2
S. Colombatto,Santiago Colombatto,"CDM, CM",72,2800000.0,8000.0,26,Real Oviedo,La Liga 2
Jaime Seoane,Jaime Seoane Valenciano,"CM, CAM, CDM",72,3000000.0,8000.0,26,Real Oviedo,La Liga 2
David Costas,David Costas Cordal,CB,72,2400000.0,8000.0,28,Real Oviedo,La Liga 2
Dani Calvo,Daniel Pedro Calvo San Román,CB,72,2200000.0,8000.0,29,Real Oviedo,La Liga 2
Paulino,Paulino de la Fuente Gómez,"RM, LM, ST",71,2200000.0,7000.0,26,Real Oviedo,La Liga 2
Camarasa,Víctor Camarasa Ferrando,"CM, CAM, RM",71,1800000.0,8000.0,29,Real Oviedo,La Liga 2
Alemão,Alexandre Zurawski,"ST, CAM, RM",70,2200000.0,7000.0,25,Real Oviedo,La Liga 2
Rodri Tarín,Rodrigo Tarín Higón,"CB, RB",70,1800000.0,6000.0,26,Real Oviedo,La Liga 2
Viti Rozada,Víctor Álvarez Rozada,"RM, LM",70,1900000.0,6000.0,25,Real Oviedo,La Liga 2
Borja Bastón,Borja González Tomás,ST,70,1600000.0,7000.0,30,Real Oviedo,La Liga 2
Lucas Ahijado,Lucas Ahijado Quintana,"RB, LB",70,1400000.0,6000.0,28,Real Oviedo,La Liga 2
R. Ibarra,Romario Andrés Ibarra Mina,"LM, RM",70,1600000.0,7000.0,28,Real Oviedo,La Liga 2
Leo Román,Leonardo Román Riquelme,GK,69,2700000.0,7000.0,22,Real Oviedo,La Liga 2
Abel Bretones,Abel Bretones Cruz,"LB, LM, RM",69,3000000.0,4000.0,22,Real Oviedo,La Liga 2
Q. Braat,Quentin Braat,GK,69,1600000.0,4000.0,25,Real Oviedo,La Liga 2
Mario Hernández,Mario Hernández Fernández,RB,68,2300000.0,4000.0,24,Real Oviedo,La Liga 2
Sebas Moyano,Francisco Sebastián Moyano Jiménez,"LM, ST, RM",68,1400000.0,5000.0,26,Real Oviedo,La Liga 2
Luismi,Luis Miguel Sánchez Benítez,"CM, CDM",68,1000000.0,5000.0,31,Real Oviedo,La Liga 2
Alex Millán,Alejandro Millán Iranzo,"ST, RM",67,2100000.0,4000.0,23,Real Oviedo,La Liga 2
Jimmy,Jaime Suárez Juesas,"CM, CDM",67,1300000.0,4000.0,26,Real Oviedo,La Liga 2
Pomares,Carlos Pomares Rayo,"LB, LM",67,875000.0,4000.0,30,Real Oviedo,La Liga 2
Mascarenhas,Francisco Fumaça Mascarenhas Costa Pessoa,"ST, LM",66,1900000.0,3000.0,23,Real Oviedo,La Liga 2
Oier Luengo,Oier Luengo Redondo,"CB, RB",65,1000000.0,2000.0,25,Real Oviedo,La Liga 2
Marco Suárez,Marco Suárez Lastra,GK,64,1200000.0,800.0,19,Real Oviedo,La Liga 2
Álex Cardero,Alejandro Suárez Cardero,"CM, LM, CAM",64,1400000.0,1000.0,19,Real Oviedo,La Liga 2
Yayo,Pelayo González Rey,"CM, CDM, CAM",64,1400000.0,900.0,18,Real Oviedo,La Liga 2
C. Wehbe,Charbel Wehbe,"RB, RWB",63,1200000.0,600.0,18,Real Oviedo,La Liga 2
Lucas Laso,Lucas Laso Gutiérrez,CB,62,900000.0,1000.0,20,Real Oviedo,La Liga 2
Osky,Óscar Menéndez Carracedo,"LB, LM",61,800000.0,500.0,18,Real Oviedo,La Liga 2
