short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Arango,Cristian Daniel Arango Duque,"ST, CAM",76,7500000.0,10000.0,28,Real Salt Lake,Major League Soccer
J. Savarino,Jefferson David Savarino Quintero,"LM, RM",74,5000000.0,8000.0,26,Real Salt Lake,Major League Soccer
D. Kreilach,Damir Kreilach,"ST, CAM",72,1100000.0,7000.0,34,Real Salt Lake,Major League Soccer
N. Palacio,Nelson Palacio Ruiz,"CM, CDM",71,4200000.0,5000.0,22,Real Salt Lake,Major League Soccer
B. Ojeda,Braian Óscar Ojeda Rodríguez,"CDM, CM",70,3300000.0,4000.0,23,Real Salt Lake,Major League Soccer
P. Ruiz,Pablo Enrique Ruíz,"CDM, CM",70,2300000.0,4000.0,24,Real Salt Lake,Major League Soccer
C. Gómez,Carlos Andrés Gómez,RM,69,3400000.0,3000.0,20,Real Salt Lake,Major League Soccer
J. Glad,Justen Glad,CB,69,1600000.0,4000.0,26,Real Salt Lake,Major League Soccer
A. Brody,Andrew Brody,"LB, RB",68,1100000.0,4000.0,28,Real Salt Lake,Major League Soccer
A. Julio,Anderson Andrés Julio Santos,"ST, LM, RM",68,1300000.0,4000.0,27,Real Salt Lake,Major League Soccer
B. Vera,Brayan Emanuel Vera Ramírez,"CB, LB",67,1900000.0,2000.0,24,Real Salt Lake,Major League Soccer
R. Rubin,Rubio Yovani Méndez Rubin,ST,67,1200000.0,3000.0,27,Real Salt Lake,Major League Soccer
M. Silva,Marcelo Andrés Silva Fernández,CB,67,325000.0,3000.0,34,Real Salt Lake,Major League Soccer
Z. MacMath,Zac MacMath,GK,67,550000.0,2000.0,31,Real Salt Lake,Major League Soccer
J. Löffelsend,Jasper Löffelsend,"CDM, RM",66,1100000.0,2000.0,25,Real Salt Lake,Major League Soccer
B. Oviedo,Bryan Josué Oviedo Jiménez,LB,65,375000.0,2000.0,33,Real Salt Lake,Major League Soccer
M. Chang,Maikel Chang,"RM, LM",65,575000.0,2000.0,32,Real Salt Lake,Major League Soccer
D. Musovski,Danny Musovski,"ST, LW",64,675000.0,2000.0,27,Real Salt Lake,Major League Soccer
D. Luna,Diego Luna,LM,63,1200000.0,1000.0,19,Real Salt Lake,Major League Soccer
S. Caldwell,Scott Caldwell,"CDM, CM",63,325000.0,2000.0,32,Real Salt Lake,Major League Soccer
M. Nyeman,Moses Nyeman,"CDM, CM",62,900000.0,750.0,19,Real Salt Lake,Major League Soccer
B. Hidalgo,Bode Hidalgo,RB,61,700000.0,1000.0,21,Real Salt Lake,Major League Soccer
E. Holt,Erik Holt,CB,61,375000.0,1000.0,26,Real Salt Lake,Major League Soccer
T. Gomez,Tomás Gómez,GK,61,250000.0,1000.0,30,Real Salt Lake,Major League Soccer
K. Lambert,Kevon Lambert,"CDM, CB",59,300000.0,1000.0,26,Real Salt Lake,Major League Soccer
Z. Farnsworth,Zackery Farnsworth,"LB, CB",57,375000.0,900.0,20,Real Salt Lake,Major League Soccer
E. Eneli,Emeka Somto Eneli,RB,57,350000.0,1000.0,23,Real Salt Lake,Major League Soccer
B. Jacquesson,Bertin Jacquesson,"ST, RM",54,240000.0,1000.0,22,Real Salt Lake,Major League Soccer
G. Beavers,Gavin Beavers,GK,53,275000.0,500.0,18,Real Salt Lake,Major League Soccer
J. Wellings,Jude Wellings,"CDM, CM, CAM",50,140000.0,500.0,17,Real Salt Lake,Major League Soccer
