short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Álex Remiro,Alejandro Remiro Gargallo,GK,84,36000000.0,43000.0,28,Real Sociedad,La Liga
Mikel Merino,Mikel Merino Zazón,"CM, CAM, LM",84,48000000.0,54000.0,27,Real Sociedad,La Liga
Oyarzabal,Mikel Oyarzabal Ugarte,"LM, RM, LW",83,43000000.0,49000.0,26,Real Sociedad,La Liga
R. Le Normand,Robin Le Normand,CB,82,40000000.0,41000.0,26,Real Sociedad,La Liga
Brais Méndez,Brais Méndez Portela,"CM, CAM, RM",81,30000000.0,42000.0,26,Real Sociedad,La Liga
T. Kubo,久保 建英,"RW, ST, CAM",80,34000000.0,37000.0,22,Real Sociedad,La Liga
Zubimendi,Martín Zubimendi Ibáñez,"CDM, CM",80,29000000.0,31000.0,24,Real Sociedad,La Liga
Zubeldia,Igor Zubeldía Elorza,CB,80,26000000.0,36000.0,26,Real Sociedad,La Liga
K. Tierney,Kieran Tierney,LB,80,24000000.0,100000.0,26,Real Sociedad,La Liga
Aritz Elustondo,Aritz Elustondo Irribaria,"CB, RB",80,19500000.0,37000.0,29,Real Sociedad,La Liga
André Silva,André Miguel Valente da Silva,ST,80,24500000.0,63000.0,27,Real Sociedad,La Liga
H. Traoré,Hamari Traoré,RB,80,15500000.0,36000.0,31,Real Sociedad,La Liga
U. Sadiq,Umar Sadiq Mesbah,ST,77,14000000.0,34000.0,26,Real Sociedad,La Liga
Odriozola,Álvaro Odriozola Arzalluz,RB,76,8000000.0,27000.0,27,Real Sociedad,La Liga
A. Zakharyan,Arsen Zakharyan,"LW, RW, CAM",75,12500000.0,23000.0,20,Real Sociedad,La Liga
Barrenetxea,Ander Barrenetxea Muguruza,"LW, RW, LM",75,12500000.0,23000.0,21,Real Sociedad,La Liga
Aihen Muñoz,Aihen Muñoz Capellán,LB,74,5000000.0,23000.0,25,Real Sociedad,La Liga
Carlos Fernández,Carlos Fernández Luna,ST,73,3600000.0,26000.0,27,Real Sociedad,La Liga
M. Cho,Mohamed-Ali Cho,"ST, RM",72,5000000.0,14000.0,19,Real Sociedad,La Liga
Merquelanz,Martín Merquelanz Castellanos,"LW, RM, CAM",72,2400000.0,24000.0,28,Real Sociedad,La Liga
Pacheco,Jon Pacheco Dozagarat,CB,71,4300000.0,15000.0,22,Real Sociedad,La Liga
Turrientes,Beñat Turrientes Imaz,"CM, CDM",68,3000000.0,9000.0,21,Real Sociedad,La Liga
Olasagasti,Jon Ander Olasagasti Imizcoz,CM,67,2300000.0,9000.0,22,Real Sociedad,La Liga
Urko González,Urko González de Zárate Quirós,"CB, CDM",66,1800000.0,7000.0,22,Real Sociedad,La Liga
J. Aramburu,Jon Mikel Aramburu Mejías,"RB, CB",65,1600000.0,5000.0,20,Real Sociedad,La Liga
Unai Marrero,Unai Marrero Larrañaga,GK,65,1500000.0,4000.0,21,Real Sociedad,La Liga
Pablo Marín,Pablo Marín Tejada,"CAM, CM",63,1100000.0,3000.0,19,Real Sociedad,La Liga
Jon Magunazelaia,Jon Magunazelaia,"ST, LM, RM",63,1100000.0,5000.0,21,Real Sociedad,La Liga
Ayesa,Gaizka Ayesa Burgui,GK,63,925000.0,4000.0,22,Real Sociedad,La Liga
Ibra Cámara,Ibrahima Vaniel Cámara Silva,CB,62,975000.0,3000.0,20,Real Sociedad,La Liga
Fraga,Aitor Fraga Torres,GK,60,525000.0,2000.0,20,Real Sociedad,La Liga
A. Lebarbier,Alex Lebarbier,CDM,59,550000.0,1000.0,18,Real Sociedad,La Liga
B. Fiabema,Bryan Fiabema,ST,59,550000.0,4000.0,20,Real Sociedad,La Liga
