short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Bardi,Francesco Bardi,GK,72,1200000.0,3000.0,31,Reggiana,Serie B
M. Sampirisi,Mario Sampirisi,"RB, RWB, CB",71,1600000.0,3000.0,30,Reggiana,Serie B
M. Portanova,Manolo Portanova,"CM, CAM",69,3100000.0,10000.0,23,Reggiana,Serie B
D. Črnigoj,Domen Črnigoj,CM,69,1600000.0,2000.0,27,Reggiana,Serie B
M. Pajač,Marko Pajač,"LB, LM, LWB",69,1200000.0,11000.0,30,Reggiana,Serie B
C. Gondo,Cedric Diomandè Gondo,ST,68,1600000.0,2000.0,26,Reggiana,Serie B
L. Cigarini,Luca Cigarini,"CDM, CM",68,240000.0,1000.0,37,Reggiana,Serie B
J. Antiste,Janis Antiste,ST,67,2300000.0,5000.0,20,Reggiana,Serie B
F. Melegoni,Filippo Melegoni,"CM, CAM, RM",67,2000000.0,7000.0,24,Reggiana,Serie B
F. Romagna,Filippo Romagna,CB,67,1200000.0,6000.0,26,Reggiana,Serie B
L. Vido,Luca Vido,ST,66,1100000.0,2000.0,26,Reggiana,Serie B
R. Fiamozzi,Riccardo Fiamozzi,RB,66,725000.0,1000.0,30,Reggiana,Serie B
E. Kabashi,Elvis Kabashi,"CM, CAM",66,825000.0,1000.0,29,Reggiana,Serie B
E. Lanini,Eric Lanini,"ST, LW",66,850000.0,2000.0,29,Reggiana,Serie B
A. Bianco,Alessandro Bianco,CM,65,1600000.0,9000.0,20,Reggiana,Serie B
S. Pettinari,Stefano Pettinari,ST,65,600000.0,1000.0,31,Reggiana,Serie B
P. Rozzio,Paolo Rozzio,CB,65,575000.0,1000.0,30,Reggiana,Serie B
P. Szymiński,Przemysław Marek Szymiński,CB,65,600000.0,3000.0,29,Reggiana,Serie B
J. Da Riva,Jacopo Da Riva,CM,62,900000.0,7000.0,22,Reggiana,Serie B
L. Libutti,Lorenzo Libutti,"RB, RM",61,400000.0,700.0,25,Reggiana,Serie B
A. Marcandalli,Alessandro Marcandalli,CB,60,525000.0,500.0,21,Reggiana,Serie B
F. Nardi,Filippo Nardi,CM,60,350000.0,750.0,25,Reggiana,Serie B
Muhamed Djamanca,Muhamed Serifo Varela Djamanca,"CF, CAM, LW",60,375000.0,800.0,25,Reggiana,Serie B
G. Satalino,Giacomo Satalino,GK,60,275000.0,2000.0,24,Reggiana,Serie B
A. Vergara,Antonio Vergara,CAM,58,500000.0,5000.0,20,Reggiana,Serie B
A. Sposito,Alex Sposito,GK,57,325000.0,500.0,22,Reggiana,Serie B
N. Girma,Natan Girma,"CM, CAM",56,230000.0,550.0,21,Reggiana,Serie B
E. Pieragnolo,Edoardo Pieragnolo,LB,56,200000.0,500.0,20,Reggiana,Serie B
E. Motta,Edoardo Motta,GK,52,230000.0,500.0,18,Reggiana,Serie B
