short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Terrier,Martin Terrier,"LM, ST",81,30500000.0,58000.0,26,Rennes,Ligue 1
N. Matić,Nemanja Matić,"CDM, CM",81,9000000.0,53000.0,34,Rennes,Ligue 1
B. Bourigeaud,Benjamin Bourigeaud,"CM, RM, RW",81,25000000.0,61000.0,29,Rennes,Ligue 1
A. Gouiri,Amine Gouiri,"ST, LM, LW",79,27000000.0,49000.0,23,Rennes,Ligue 1
S. Mandanda,Steve Mandanda,GK,79,1900000.0,25000.0,38,Rennes,Ligue 1
L. Blas,Ludovic Blas,"CAM, RM, RW",78,20500000.0,45000.0,25,Rennes,Ligue 1
E. Le Fée,Enzo Jérémy Le Fée,"CM, CAM",77,21000000.0,38000.0,23,Rennes,Ligue 1
A. Theate,Arthur Nicolas Theate,CB,77,13500000.0,34000.0,23,Rennes,Ligue 1
B. Santamaria,Baptiste Santamaría,"CDM, CM",77,9500000.0,42000.0,28,Rennes,Ligue 1
A. Truffert,Adrien Truffert,LB,76,14500000.0,27000.0,21,Rennes,Ligue 1
A. Kalimuendo,Arnaud Kalimuendo-Muinga,ST,76,11500000.0,34000.0,21,Rennes,Ligue 1
W. Omari,Warmed Omari,CB,76,10000000.0,32000.0,23,Rennes,Ligue 1
F. Rieder,Fabian Rieder,"CAM, CM",74,9500000.0,27000.0,21,Rennes,Ligue 1
G. Gallon,Gauthier Gallon,GK,73,2300000.0,25000.0,30,Rennes,Ligue 1
C. Wooh,Christopher Maurice Wooh,CB,72,4900000.0,19000.0,21,Rennes,Ligue 1
D. Doué,Désiré Doué,"CAM, RW",71,4400000.0,9000.0,18,Rennes,Ligue 1
L. Assignon,Lorenz Assignon,RB,69,3000000.0,15000.0,23,Rennes,Ligue 1
J. Belocian,Jeanuël Belocian,"LB, CB",68,2700000.0,4000.0,18,Rennes,Ligue 1
G. Doué,Guéla Doué,CB,65,1600000.0,7000.0,20,Rennes,Ligue 1
B. Yıldırım,Bertuğ Özgür Yıldırım,ST,65,1600000.0,9000.0,20,Rennes,Ligue 1
G. Lembet,Geoffrey Lembet,GK,65,120000.0,8000.0,34,Rennes,Ligue 1
M. Jaouab,Mohamed Jaouab,CB,64,1400000.0,6000.0,21,Rennes,Ligue 1
I. Salah,Ibrahim Salah,"ST, LW, RW",64,1300000.0,8000.0,21,Rennes,Ligue 1
