short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Nuhiu,Atdhe Nuhiu,ST,68,775000.0,5000.0,33,Rheindorf Altach,Bundesliga
C. Reiner,Constantin Reiner,"CB, RWB",67,1100000.0,3000.0,25,Rheindorf Altach,Bundesliga
C. Gebauer,Christian Gebauer,"RM, RWB",67,1000000.0,4000.0,29,Rheindorf Altach,Bundesliga
D. Stojanović,Dejan Stojanović,GK,66,650000.0,3000.0,29,Rheindorf Altach,Bundesliga
M. Bähre,Mike-Steven Bähre,"CM, CDM",66,900000.0,4000.0,27,Rheindorf Altach,Bundesliga
J. Jurčec,Jan Jurčec,"RWB, RM, LM",65,1500000.0,2000.0,22,Rheindorf Altach,Bundesliga
S. Ingolitsch,Sandro Ingolitsch,RB,65,800000.0,3000.0,26,Rheindorf Altach,Bundesliga
L. Jäger,Lukas Jäger,"CDM, CM",65,600000.0,3000.0,29,Rheindorf Altach,Bundesliga
F. Strauss,Felix Strauss,"CB, RWB",64,1200000.0,2000.0,22,Rheindorf Altach,Bundesliga
L. Lukacevic,Leonardo Lukačević,"LWB, LM",64,775000.0,2000.0,24,Rheindorf Altach,Bundesliga
T. Schützenauer,Tobias Schützenauer,GK,64,550000.0,2000.0,26,Rheindorf Altach,Bundesliga
N. Iyobosa Edokpolor,Nosa Iyobosa Edokpolor,"CB, LWB",64,650000.0,2000.0,26,Rheindorf Altach,Bundesliga
L. Gugganig,Lukas Josef Gugganig,CB,64,550000.0,3000.0,28,Rheindorf Altach,Bundesliga
J. Zwischenbrugger,Jan Zwischenbrugger,CB,64,275000.0,2000.0,33,Rheindorf Altach,Bundesliga
L. Fadinger,Lukas Fadinger,"CM, CAM",63,1100000.0,2000.0,22,Rheindorf Altach,Bundesliga
N. Bischof,Noah Bischof,"ST, RM",62,875000.0,2000.0,20,Rheindorf Altach,Bundesliga
C. Bukta,Csaba Bukta,"RM, RWB",62,800000.0,2000.0,21,Rheindorf Altach,Bundesliga
S. Aigner,Sebastian Aigner,"CDM, CM",62,750000.0,2000.0,22,Rheindorf Altach,Bundesliga
D. Reiter,Dominik Reiter,RM,62,475000.0,2000.0,25,Rheindorf Altach,Bundesliga
A. Abdijanovic,Amir Abdijanovic,"ST, CF",61,675000.0,2000.0,22,Rheindorf Altach,Bundesliga
A. Eckmayr,Alexander Eckmayr,GK,61,425000.0,1000.0,23,Rheindorf Altach,Bundesliga
Gustavo Santos,Santos Costa Gustavo,ST,61,375000.0,2000.0,27,Rheindorf Altach,Bundesliga
P. Koller,Paul-Friedrich Koller,CB,60,525000.0,1000.0,21,Rheindorf Altach,Bundesliga
D. Kaiba,Djawal Kaiba,CDM,58,425000.0,1000.0,20,Rheindorf Altach,Bundesliga
M. Ouédraogo,Mohamed Ouédraogo,LWB,55,300000.0,1000.0,20,Rheindorf Altach,Bundesliga
D. Maksimovic,Damian Maksimovic,ST,54,250000.0,750.0,18,Rheindorf Altach,Bundesliga
P. Piffer,Paul Piffer,GK,53,190000.0,500.0,17,Rheindorf Altach,Bundesliga
