short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Costinha,João Pedro Loureiro da Costa,"RWB, RB",74,8000000.0,8000.0,23,Rio Ave,Liga Portugal
Guga Rodrigues,Gonçalo Rosa Gonçalves Pereira Rodrigues,CM,74,5500000.0,9000.0,25,Rio Ave,Liga Portugal
Aderllan Santos,Aderllan Leandro de Jesus Santos,CB,73,1000000.0,8000.0,34,Rio Ave,Liga Portugal
E. Boateng,Emmanuel Okyere Boateng,"ST, LM",72,2700000.0,8000.0,27,Rio Ave,Liga Portugal
Jhonatan,Jhonatan Luiz da Siqueira,GK,72,1200000.0,6000.0,32,Rio Ave,Liga Portugal
Fábio Ronaldo,Fábio Ronaldo Costa Conceição,"LWB, LM, LW",70,3400000.0,5000.0,22,Rio Ave,Liga Portugal
R. Pantalon,Renato Pantalon,CB,70,2000000.0,5000.0,25,Rio Ave,Liga Portugal
Patrick William,Patrick William Sá De Oliveira,CB,69,1600000.0,5000.0,26,Rio Ave,Liga Portugal
Vítor Gomes,Vitor Hugo Gomes da Silva,"CM, CDM",69,550000.0,4000.0,35,Rio Ave,Liga Portugal
Josué Sá,Josué Humberto Gonçalves Leal Sá,CB,69,950000.0,5000.0,31,Rio Ave,Liga Portugal
Hernâni,Hernâni Jorge Santos Fortes,"RW, RM, LW",69,1200000.0,6000.0,31,Rio Ave,Liga Portugal
Joca,Jorge Samuel Figueiredo Fernandes,"RM, CAM, RW",69,1500000.0,5000.0,27,Rio Ave,Liga Portugal
L. Ruiz,Leonardo Acevedo Ruiz,ST,68,1400000.0,5000.0,27,Rio Ave,Liga Portugal
Zé Manuel,José Manuel Silva Oliveira,"ST, LM, RM",68,975000.0,5000.0,32,Rio Ave,Liga Portugal
João Graça,João Pedro Salazar da Graça,CM,68,1200000.0,5000.0,28,Rio Ave,Liga Portugal
André Pereira,André Filipe Ferreira Coelho Pereira,"ST, RW, LW",68,1200000.0,5000.0,28,Rio Ave,Liga Portugal
A. Oudrhiri,Amine Oudrhiri Idrissi,"CM, CDM",67,975000.0,4000.0,30,Rio Ave,Liga Portugal
Magrão,Audenirton Soares da Silva,GK,66,1600000.0,2000.0,23,Rio Ave,Liga Portugal
Miguel Nóbrega,Miguel Raimundo Nóbrega,CB,66,1600000.0,2000.0,23,Rio Ave,Liga Portugal
Ukra,André Filipe Alves Monteiro,"RM, LM",66,350000.0,2000.0,35,Rio Ave,Liga Portugal
Sávio,Sávio Antônio Alves,"LWB, LB",66,775000.0,3000.0,28,Rio Ave,Liga Portugal
Bruno Ventura,Bruno Santos Ventura,CAM,64,1300000.0,2000.0,22,Rio Ave,Liga Portugal
J. Lomboto,Julien Lomboto,"CB, CDM",64,1200000.0,2000.0,21,Rio Ave,Liga Portugal
J. Karseladze,Jorge Karseladze,LWB,63,1100000.0,550.0,18,Rio Ave,Liga Portugal
Lucas Flores,Lucas Flores de Oliveira,GK,62,750000.0,900.0,20,Rio Ave,Liga Portugal
