short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Gustavo Sauer,Gustavo Affonso Sauerbeck,"RW, RM",74,4100000.0,15000.0,30,Rizespor,Super Lig
C. Højer,Casper Højer Nielsen,LB,73,2800000.0,12000.0,28,Rizespor,Super Lig
M. Minchev,Martin Yankov Minchev,"ST, RW, LW",71,3000000.0,10000.0,22,Rizespor,Super Lig
G. Akkan,Gökhan Akkan,GK,70,1400000.0,7000.0,28,Rizespor,Super Lig
Óscar Pinchi,Óscar Francisco García Quintela,"LM, ST, RM",70,1700000.0,9000.0,27,Rizespor,Super Lig
A. Zeqiri,Altin Zeqiri,"LW, RW",68,2500000.0,6000.0,22,Rizespor,Super Lig
D. Varešanović,Dal Varešanović,"CAM, CM",66,1900000.0,4000.0,22,Rizespor,Super Lig
I. Olawoyin,Ibrahim Olawoyin,"CAM, LM, CM",66,1300000.0,4000.0,25,Rizespor,Super Lig
T. Çetin,Tarık Çetin,GK,66,850000.0,3000.0,26,Rizespor,Super Lig
B. Keser,Benhur Keser,"RM, LM, RW",66,1000000.0,5000.0,26,Rizespor,Super Lig
Z. Görgen,Zafer Görgen,GK,65,1200000.0,2000.0,23,Rizespor,Super Lig
H. Pehlivan,Halil İbrahim Pehlivan,LB,65,625000.0,4000.0,29,Rizespor,Super Lig
J. Mary,John Mary Honi Uzuegbunam,ST,65,700000.0,4000.0,30,Rizespor,Super Lig
E. Topçu,Emir Han Topçu,"CB, LB",64,1200000.0,3000.0,22,Rizespor,Super Lig
M. Pala,Mithat Pala,"RB, CM, CDM",64,875000.0,3000.0,22,Rizespor,Super Lig
A. Koç,Alberk Koç,LB,64,675000.0,3000.0,26,Rizespor,Super Lig
A. Mocsi,Attila Mocsi,CB,62,825000.0,2000.0,23,Rizespor,Super Lig
O. Diouf,Oumar Diouf,"ST, RW, LW",62,875000.0,2000.0,20,Rizespor,Super Lig
A. Yaşar,Anıl Yaşar,CB,62,825000.0,2000.0,21,Rizespor,Super Lig
K. Alikulov,Khusniddin Alikulov,CB,62,525000.0,2000.0,24,Rizespor,Super Lig
S. Osmanoğlu,Sinan Osmanoğlu,CB,62,190000.0,3000.0,33,Rizespor,Super Lig
M. Faye,Mame Mor Faye,"RW, RM, LW",61,675000.0,550.0,17,Rizespor,Super Lig
T. Şahin,Taha Şahin,"RB, RM",61,500000.0,2000.0,22,Rizespor,Super Lig
E. Korkmaz,Eray Korkmaz,"RB, CB",59,475000.0,2000.0,20,Rizespor,Super Lig
G. Usta,Güvenç Usta,"LW, LB",57,400000.0,2000.0,19,Rizespor,Super Lig
