short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Danger,Bradley Danger,"CB, CDM",67,1400000.0,2000.0,25,Rodez,Ligue 2
C. Depres,Clément Dépres,ST,67,1000000.0,3000.0,28,Rodez,Ligue 2
G. Haag,Giovanni Haag,"CDM, CB, CM",66,1800000.0,2000.0,23,Rodez,Ligue 2
A. Abdallah,Abdel Hakim Abdallah,"LWB, LB",66,1000000.0,2000.0,25,Rodez,Ligue 2
L. Mpasi,Lionel Mpasi-Nzau,GK,66,725000.0,2000.0,28,Rodez,Ligue 2
É. Vandenabeele,Éric Vandenabeele,CB,66,575000.0,2000.0,31,Rodez,Ligue 2
J. Chougrani,Joris Chougrani,CB,66,550000.0,2000.0,32,Rodez,Ligue 2
T. Arconte,Taïryk Arconte,"ST, RM",65,1700000.0,3000.0,19,Rodez,Ligue 2
W. Taïbi,Waniss Taïbi,CM,65,1600000.0,1000.0,21,Rodez,Ligue 2
S. Mambo,Stone Muzalimoja Mambo,"CB, LB",65,1500000.0,1000.0,24,Rodez,Ligue 2
K. Corredor,Killian Corredor,"ST, RM, RW",65,1600000.0,2000.0,22,Rodez,Ligue 2
L. Rajot,Lorenzo Rajot,"CM, CDM",65,1000000.0,2000.0,25,Rodez,Ligue 2
L. Buades,Lucas Buadés,"RWB, RM",65,875000.0,2000.0,25,Rodez,Ligue 2
W. Younoussa,Wilitty Younoussa,"CDM, CM",64,1200000.0,1000.0,21,Rodez,Ligue 2
S. Raux-Yao,Serge-Philippe Raux-Yao,CB,64,1200000.0,1000.0,24,Rodez,Ligue 2
A. Hountondji,Andréas Hountondji,"RM, ST, LM",63,1200000.0,1000.0,20,Rodez,Ligue 2
K. Boma,Kévin Boma,CB,63,975000.0,900.0,20,Rodez,Ligue 2
A. Valério,Antoine Valério,"CM, CDM",63,1100000.0,1000.0,23,Rodez,Ligue 2
A. Ngouyamsa,Ahmad Toure Ngouyamsa Nounchil,"RWB, CDM",63,925000.0,1000.0,22,Rodez,Ligue 2
S. Cibois,Sébastien Cibois,GK,63,600000.0,950.0,25,Rodez,Ligue 2
G. Coelho,Grégory Coelho,"RWB, LWB, RB",63,700000.0,1000.0,23,Rodez,Ligue 2
Park Jung Bin,박정빈 Jung Bin Park,"LM, ST",62,400000.0,1000.0,29,Rodez,Ligue 2
N. Savignac,Noa Savignac,"RM, LM",61,800000.0,850.0,20,Rodez,Ligue 2
Y. Verdier,Yannis Verdier,"LW, ST, RW",61,775000.0,750.0,19,Rodez,Ligue 2
R. Lipinski,Raphaël Lipinski,"LWB, LM",61,675000.0,750.0,20,Rodez,Ligue 2
N. Kutateladze,Nikoloz Kutateladze,"ST, CF, CAM",60,550000.0,1000.0,22,Rodez,Ligue 2
E. Crombez,Enzo Crombez,GK,58,375000.0,500.0,20,Rodez,Ligue 2
