short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Malcorra,Víctor Ignacio Malcorra,"CAM, LM, CM",75,2300000.0,12000.0,35,Rosario Central,Liga Profesional
J. Campaz,Jaminton Leandro Campaz,"LM, CAM, LW",74,8500000.0,14000.0,23,Rosario Central,Liga Profesional
C. Quintana,Carlos Gustavo Quintana,CB,74,1100000.0,10000.0,35,Rosario Central,Liga Profesional
J. Broun,Jorge Emanuel Broun,GK,72,250000.0,6000.0,37,Rosario Central,Liga Profesional
M. Lovera,Maximiliano Alberto Lovera,"LM, CAM",71,3000000.0,10000.0,24,Rosario Central,Liga Profesional
J. Komar,Juan Cruz Komar,CB,71,2200000.0,10000.0,26,Rosario Central,Liga Profesional
F. Mac Allister,Francis Manuel Mac Allister,"CDM, CM",71,2000000.0,9000.0,27,Rosario Central,Liga Profesional
D. Martínez,Damián Alberto Martínez,RB,71,975000.0,10000.0,33,Rosario Central,Liga Profesional
L. Giaccone,Lautaro Darío Giaccone,"RM, LM",70,3900000.0,9000.0,22,Rosario Central,Liga Profesional
K. Ortiz,Kevin Ortíz,"CDM, CM",70,3400000.0,8000.0,22,Rosario Central,Liga Profesional
F. Mallo,Facundo Mallo Blanco,CB,70,1600000.0,9000.0,28,Rosario Central,Liga Profesional
W. Montoya,Walter Iván Alexis Montoya,"CM, CDM, RM",70,1600000.0,10000.0,29,Rosario Central,Liga Profesional
A. Rodríguez,Alan Francisco Rodríguez Armoa,"LB, LWB",69,3000000.0,7000.0,22,Rosario Central,Liga Profesional
A. Werner,Axel Wilfredo Werner,GK,69,1500000.0,4000.0,27,Rosario Central,Liga Profesional
A. Sández,Agustín Sández,LB,68,2300000.0,6000.0,22,Rosario Central,Liga Profesional
I. Cortez,Ismael Cortez,RB,67,2200000.0,5000.0,23,Rosario Central,Liga Profesional
A. Toledo,Agustín Toledo,"CDM, CM",66,1800000.0,4000.0,23,Rosario Central,Liga Profesional
L. Martínez Dupuy,Luca Leovino Martínez Dupuy,ST,65,1600000.0,4000.0,22,Rosario Central,Liga Profesional
F. Lo Celso,Francesco Lo Celso,"LM, CM, CAM",65,1600000.0,4000.0,23,Rosario Central,Liga Profesional
F. Agüero,Facundo Agüero,CB,65,725000.0,4000.0,28,Rosario Central,Liga Profesional
F. Oviedo,Fabricio Oviedo,ST,64,1400000.0,3000.0,19,Rosario Central,Liga Profesional
T. Cervera,Tobías Ariel Cervera Cadi,"ST, LW",64,1300000.0,3000.0,20,Rosario Central,Liga Profesional
O. Bianchi,Octavio Andrés Bianchi,ST,63,550000.0,4000.0,27,Rosario Central,Liga Profesional
T. O'Connor,Tomás O'Connor,"CM, CAM",62,950000.0,2000.0,19,Rosario Central,Liga Profesional
U. Ciccioli,Ulises Albano Ciccioli,RB,62,900000.0,1000.0,19,Rosario Central,Liga Profesional
K. Silva,Kevin Isaías Silva,CB,61,750000.0,2000.0,20,Rosario Central,Liga Profesional
G. Bogado,Giovanni Emmanuel Bogado Duarte,"CF, CAM, CM",61,675000.0,2000.0,21,Rosario Central,Liga Profesional
J. Cerrudo,Juan Cruz Cerrudo,"RM, LM",60,575000.0,2000.0,19,Rosario Central,Liga Profesional
