short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Götze,Felix Götze,"CM, CAM, CB",66,1100000.0,2000.0,25,Rot-Weiss Essen,3. Liga
I. Young,Isaiah Ahmad Young,"LM, RM, ST",66,1100000.0,2000.0,25,Rot-Weiss Essen,3. Liga
V. Sapina,Vinko Sapina,"CM, CDM",66,850000.0,2000.0,28,Rot-Weiss Essen,3. Liga
J. Golz,Jakob Golz,GK,65,800000.0,1000.0,24,Rot-Weiss Essen,3. Liga
F. Bastians,Felix Bastians,"LB, CB",65,220000.0,1000.0,35,Rot-Weiss Essen,3. Liga
A. Wiegel,Andreas Wiegel,"RB, RM",65,525000.0,2000.0,31,Rot-Weiss Essen,3. Liga
R. Berlinski,Ron Berlinski,"ST, RM",65,725000.0,2000.0,28,Rot-Weiss Essen,3. Liga
J. Ríos Alonso,José-Enrique Ríos Alonso,CB,64,1100000.0,1000.0,22,Rot-Weiss Essen,3. Liga
M. Doumbouya,Moussa Doumbouya,ST,64,875000.0,2000.0,25,Rot-Weiss Essen,3. Liga
B. Rother,Björn Rother,CDM,64,650000.0,1000.0,26,Rot-Weiss Essen,3. Liga
T. Eisfeld,Thomas Eisfeld,CM,64,550000.0,2000.0,30,Rot-Weiss Essen,3. Liga
C. Harenbrock,Cedric Harenbrock,"CAM, CM",63,700000.0,1000.0,25,Rot-Weiss Essen,3. Liga
L. Brumme,Lucas Brumme,"LM, LB",63,700000.0,1000.0,23,Rot-Weiss Essen,3. Liga
L. Vonić,Leonardo Vonić,ST,62,875000.0,850.0,19,Rot-Weiss Essen,3. Liga
M. Obuz,Marvin Ayhan Obuz,"LM, RM",62,900000.0,4000.0,21,Rot-Weiss Essen,3. Liga
A. Manu,Aaron Manu,CB,62,575000.0,1000.0,23,Rot-Weiss Essen,3. Liga
T. Müsel,Torben Müsel,"ST, CAM",62,600000.0,1000.0,23,Rot-Weiss Essen,3. Liga
S. Plechaty,Sandro Plechaty,RB,62,475000.0,1000.0,25,Rot-Weiss Essen,3. Liga
F. Wienand,Felix Bernd Wienand,GK,61,650000.0,550.0,21,Rot-Weiss Essen,3. Liga
E. Voufack,Eric Josef Arno Voufack,"RB, RM",61,700000.0,750.0,21,Rot-Weiss Essen,3. Liga
E. Celebi,Ekin Çelebi,LB,61,700000.0,950.0,23,Rot-Weiss Essen,3. Liga
O. Springer,Ole Springer,GK,61,170000.0,850.0,31,Rot-Weiss Essen,3. Liga
F. Rüth,Fabian Rüth,CDM,59,425000.0,700.0,21,Rot-Weiss Essen,3. Liga
M. Kourouma,Mustafa Kourouma,"CB, RB",58,450000.0,700.0,20,Rot-Weiss Essen,3. Liga
N. Kaiser,Nils Kaiser,CM,57,375000.0,800.0,21,Rot-Weiss Essen,3. Liga
S. Voelcke,Sascha Voelcke,"LB, LM",57,325000.0,700.0,21,Rot-Weiss Essen,3. Liga
