short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Johansson,Viktor Tobias Johansson,GK,71,2000000.0,7000.0,24,Rotherham United,Championship
C. Tiéhi,Christ Junior Tiéhi,"CDM, CM",70,2000000.0,9000.0,25,Rotherham United,Championship
F. Onyedinma,Fred Onyedinma,"LM, LWB, RWB",69,1500000.0,21000.0,26,Rotherham United,Championship
C. Humphreys-Grant,Cameron Lisceous Humphreys-Grant,CB,68,1700000.0,6000.0,24,Rotherham United,Championship
O. Rathbone,Oliver Michael Rathbone,CM,68,1500000.0,8000.0,26,Rotherham United,Championship
J. Hugill,Jordan Hugill,ST,68,1000000.0,8000.0,31,Rotherham United,Championship
D. Phillips,Dillon Phillips,GK,67,875000.0,5000.0,28,Rotherham United,Championship
S. Nombe,Samuel Tshiayima Nombe,ST,67,1300000.0,6000.0,24,Rotherham United,Championship
S. Morrison,Sean Morrison,CB,67,650000.0,6000.0,32,Rotherham United,Championship
S. Ferguson,Shane Kevin Ferguson,LWB,67,750000.0,6000.0,31,Rotherham United,Championship
G. Hall,Grant Hall,CB,67,700000.0,6000.0,31,Rotherham United,Championship
Cafú,Carlos Miguel Ribeiro Dias,"CDM, CAM",67,850000.0,6000.0,30,Rotherham United,Championship
A. Green,Andre Jay Green,"RW, LW, ST",66,1100000.0,5000.0,24,Rotherham United,Championship
H. Odoffin,Hakeem Ademola Odoffin,"CDM, CM",66,975000.0,5000.0,25,Rotherham United,Championship
L. Peltier,Lee Peltier,"CB, RB",66,150000.0,4000.0,36,Rotherham United,Championship
J. Lindsay,Jamie William Lindsay,"CM, CDM",65,825000.0,5000.0,27,Rotherham United,Championship
T. Eaves,Tom Eaves,ST,65,600000.0,5000.0,31,Rotherham United,Championship
T. Blackett,Tyler Blackett,"CB, LB",65,600000.0,5000.0,29,Rotherham United,Championship
A. Appiah,Arvin Appiah,"LM, RM",64,1300000.0,5000.0,22,Rotherham United,Championship
C. Bramall,Cohen Conrad Bramall,"LWB, LB",64,625000.0,4000.0,27,Rotherham United,Championship
G. Kelly,Georgie Kelly,ST,63,625000.0,4000.0,26,Rotherham United,Championship
D. Lembikisa,Dexter Lembikisa,"RB, LB",61,750000.0,5000.0,19,Rotherham United,Championship
S. Revan,Sebastian Revan,"LB, CB",61,750000.0,7000.0,20,Rotherham United,Championship
T. Bola,Tolaji Bola,"LWB, LB",59,325000.0,2000.0,24,Rotherham United,Championship
N. Ford,Nathaniel Ford,GK,56,300000.0,850.0,19,Rotherham United,Championship
H. Douglas,Hamish Douglas,"CB, CDM",55,275000.0,700.0,18,Rotherham United,Championship
C. McGuckin,Ciaran McGuckin,ST,52,190000.0,2000.0,19,Rotherham United,Championship
