short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
W. Długosz,Wiktor Długosz,RM,64,850000.0,2000.0,23,Ruch Chorzów,Ekstraklasa
F. Starzyński,Filip Starzyński,"CAM, CM",64,475000.0,2000.0,32,Ruch Chorzów,Ekstraklasa
J. Letniowski,Juliusz Letniowski,"CF, CM",63,650000.0,2000.0,25,Ruch Chorzów,Ekstraklasa
M. Bartolewski,Mateusz Bartolewski,"LWB, CB",63,575000.0,1000.0,25,Ruch Chorzów,Ekstraklasa
M. Kozak,Miłosz Kozak,"LM, ST, RM",63,575000.0,2000.0,26,Ruch Chorzów,Ekstraklasa
S. Szymański,Szymon Szymański,"CB, CDM",63,475000.0,2000.0,27,Ruch Chorzów,Ekstraklasa
T. Foszmańczyk,Tomasz Foszmańczyk,"CAM, RM",63,160000.0,1000.0,37,Ruch Chorzów,Ekstraklasa
M. Sadlok,Maciej Sadlok,"CB, LB",63,160000.0,2000.0,34,Ruch Chorzów,Ekstraklasa
D. Szczepan,Daniel Szczepan,ST,63,500000.0,2000.0,28,Ruch Chorzów,Ekstraklasa
P. Sikora,Patryk Sikora,CDM,62,500000.0,1000.0,23,Ruch Chorzów,Ekstraklasa
R. Szywacz,Remigiusz Szywacz,CB,62,425000.0,1000.0,27,Ruch Chorzów,Ekstraklasa
J. Sedlak,Jan Sedlak,CDM,62,375000.0,1000.0,28,Ruch Chorzów,Ekstraklasa
T. Wójtowicz,Tomasz Wójtowicz,"LM, RM",61,775000.0,750.0,19,Ruch Chorzów,Ekstraklasa
J. Bielecki,Jakub Bielecki,GK,61,375000.0,850.0,22,Ruch Chorzów,Ekstraklasa
K. Kasolik,Konrad Kasolik,"CB, RB",61,375000.0,1000.0,25,Ruch Chorzów,Ekstraklasa
P. Szur,Przemysław Szur,CB,61,325000.0,1000.0,27,Ruch Chorzów,Ekstraklasa
M. Buchalik,Michał Buchalik,GK,61,60000.0,1000.0,34,Ruch Chorzów,Ekstraklasa
T. Swędrowski,Tomasz Swędrowski,"CDM, CM",61,275000.0,1000.0,29,Ruch Chorzów,Ekstraklasa
K. Michalski,Kacper Michalski,"RM, RB",60,500000.0,1000.0,23,Ruch Chorzów,Ekstraklasa
D. Steczyk,Dominik Steczyk,"ST, RM, LM",60,350000.0,1000.0,24,Ruch Chorzów,Ekstraklasa
M. Feliks,Michał Feliks,ST,60,325000.0,1000.0,24,Ruch Chorzów,Ekstraklasa
P. Baranowski,Paweł Baranowski,CB,60,160000.0,1000.0,32,Ruch Chorzów,Ekstraklasa
M. Firlej,Maciej Firlej,ST,59,275000.0,1000.0,26,Ruch Chorzów,Ekstraklasa
K. Skwierczyński,Kacper Skwierczyński,"LM, RM",58,500000.0,950.0,20,Ruch Chorzów,Ekstraklasa
D. Barnowski,Dawid Barnowski,RM,56,325000.0,950.0,20,Ruch Chorzów,Ekstraklasa
M. Potoczny,Marcel Potoczny,GK,54,210000.0,500.0,17,Ruch Chorzów,Ekstraklasa
