short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Noppert,Andries Noppert,GK,76,6000000.0,8000.0,29,SC Heerenveen,Eredivisie
O. Sahraoui,Osame Sahraoui,LM,73,7000000.0,7000.0,22,SC Heerenveen,Eredivisie
S. van Beek,Sven van Beek,CB,73,2600000.0,7000.0,28,SC Heerenveen,Eredivisie
P. Wålemark,Patrik Wålemark,"RM, LM",72,5500000.0,9000.0,21,SC Heerenveen,Eredivisie
M. Köhlert,Mats Köhlert,"LB, LM",72,2900000.0,6000.0,25,SC Heerenveen,Eredivisie
T. Haye,Thom Jan Marinus Haye,"CM, CDM",72,2300000.0,7000.0,28,SC Heerenveen,Eredivisie
P. Bochniewicz,Paweł Piotr Bochniewicz,CB,72,2200000.0,6000.0,27,SC Heerenveen,Eredivisie
I. Nicolăescu,Ion Nicolăescu,ST,70,2400000.0,5000.0,24,SC Heerenveen,Eredivisie
A. Tahiri,Anas Tahiri,"CM, CDM",69,1400000.0,5000.0,28,SC Heerenveen,Eredivisie
L. Brouwers,Luuk Brouwers,"CDM, CM",68,1600000.0,6000.0,25,SC Heerenveen,Eredivisie
P. van Amersfoort,Pelle van Amersfoort,"CAM, CM",68,1400000.0,4000.0,27,SC Heerenveen,Eredivisie
S. Olsson,Simon Olsson,"RM, CM, CDM",68,1400000.0,4000.0,25,SC Heerenveen,Eredivisie
C. Nunnely,Ché Nunnely,RM,67,1500000.0,3000.0,24,SC Heerenveen,Eredivisie
M. van der Hart,Mickey van der Hart,GK,67,775000.0,2000.0,29,SC Heerenveen,Eredivisie
S. van Ottele,Syb van Ottele,"CB, CDM",65,1500000.0,2000.0,21,SC Heerenveen,Eredivisie
D. Hall,Denzel Hall,"RB, CB",63,1000000.0,1000.0,22,SC Heerenveen,Eredivisie
D. Karlsbakk,Daniel Seland Karlsbakk,"ST, RM",62,975000.0,1000.0,20,SC Heerenveen,Eredivisie
H. Ali,Hussein Ali,RB,62,850000.0,1000.0,21,SC Heerenveen,Eredivisie
J. Bekkema,Jan Bekkema,GK,61,300000.0,1000.0,27,SC Heerenveen,Eredivisie
M. Witteveen,Melle Joop Witteveen,"CAM, RW, CM",60,600000.0,1000.0,20,SC Heerenveen,Eredivisie
D. Nunumete,Djenahro Nunumete,"CM, LB",59,500000.0,1000.0,21,SC Heerenveen,Eredivisie
R. van der Plaat,Roan van der Plaat,LB,59,475000.0,950.0,20,SC Heerenveen,Eredivisie
C. Webster,Charlie Webster,"CM, CDM, CAM",58,525000.0,800.0,19,SC Heerenveen,Eredivisie
O. Braude,Oliver Braude,"CM, RB",58,525000.0,800.0,19,SC Heerenveen,Eredivisie
E. van Ee,Espen van Ee,"CDM, CM",57,325000.0,700.0,19,SC Heerenveen,Eredivisie
B. Klaverboer,Bernt Klaverboer,GK,56,325000.0,500.0,17,SC Heerenveen,Eredivisie
