short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Bürki,Roman Bürki,GK,76,3700000.0,7000.0,32,Saint Louis City,Major League Soccer
E. Löwen,Eduard Löwen,"CM, CAM, CDM",75,7500000.0,9000.0,26,Saint Louis City,Major League Soccer
Klauss,João Klauss de Mello,ST,74,5500000.0,9000.0,26,Saint Louis City,Major League Soccer
J. Nilsson,Jörgen Joakim Nilsson,CB,72,2000000.0,6000.0,29,Saint Louis City,Major League Soccer
N. Gioacchini,Nicholas Gioacchini,"ST, RM",69,2300000.0,4000.0,22,Saint Louis City,Major League Soccer
T. Parker,Tim Parker,CB,69,1100000.0,4000.0,30,Saint Louis City,Major League Soccer
I. Vassilev,Indiana Denchev Vassilev,"CDM, CM, RM",68,2600000.0,3000.0,22,Saint Louis City,Major League Soccer
N. Blom,Njabulo Blom,"CDM, CM",68,1800000.0,3000.0,23,Saint Louis City,Major League Soccer
L. Bartlett,Lucas Bartlett,CB,68,1400000.0,3000.0,25,Saint Louis City,Major League Soccer
R. Alm,Rasmus Alm,"RM, RW, LW",68,1300000.0,4000.0,27,Saint Louis City,Major League Soccer
K. Hiebert,Kyle Hiebert,"CB, LB",67,1300000.0,3000.0,25,Saint Louis City,Major League Soccer
J. Nelson,John Nelson,"LB, LWB, LM",66,1200000.0,2000.0,24,Saint Louis City,Major League Soccer
J. Nerwinski,Jakob Nerwinski,"RB, CB",66,775000.0,2000.0,28,Saint Louis City,Major League Soccer
J. Stroud,Jared Presson Stroud,"LM, RM",66,925000.0,3000.0,26,Saint Louis City,Major League Soccer
T. Ostrák,Tomáš Ostrák,"RM, LM, CAM",65,1400000.0,2000.0,23,Saint Louis City,Major League Soccer
C. Pompeu,Célio Pompeu,"LM, LW, RW",64,1300000.0,2000.0,23,Saint Louis City,Major League Soccer
J. Yaro,Joshua Yaro,CB,64,500000.0,2000.0,29,Saint Louis City,Major League Soccer
A. Jackson,Aziel Jackson,"CAM, RM",63,1100000.0,1000.0,21,Saint Louis City,Major League Soccer
J. Bell,Jonathan Bell,"CB, LB",63,600000.0,2000.0,25,Saint Louis City,Major League Soccer
A. Watts,Akil Watts,"RB, CDM",62,850000.0,1000.0,23,Saint Louis City,Major League Soccer
N. Þórisson,Nökkvi Þórisson,"LW, ST",62,625000.0,2000.0,23,Saint Louis City,Major League Soccer
S. Adeniran,Samuel Oluwabukunmi Adeniran,ST,61,525000.0,1000.0,24,Saint Louis City,Major League Soccer
M. Perez,Miguel Perez,"CDM, CM",59,550000.0,500.0,18,Saint Louis City,Major League Soccer
A. Markanich,Anthony Markanich,"LB, LWB, LM",57,300000.0,1000.0,23,Saint Louis City,Major League Soccer
B. Lundt,Benjamin Maximilian Lundt,GK,56,140000.0,1000.0,27,Saint Louis City,Major League Soccer
M. Schneider,Max Schneider,"CDM, CM",55,275000.0,1000.0,22,Saint Louis City,Major League Soccer
J. Klein,John Klein,RM,55,200000.0,1000.0,23,Saint Louis City,Major League Soccer
O. O'Malley,Owen O'Malley,"RB, LB",53,220000.0,850.0,21,Saint Louis City,Major League Soccer
M. Creek,Michael Creek,GK,52,90000.0,900.0,25,Saint Louis City,Major League Soccer
