short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Larsonneur,Gautier Larsonneur,GK,73,3100000.0,6000.0,26,Saint-Étienne,Ligue 2
M. Cafaro,Mathieu Cafaro,"LM, RWB, LWB",73,3600000.0,8000.0,26,Saint-Étienne,Ligue 2
D. Appiah,Dennis Appiah,"RB, LWB, LB",73,2200000.0,8000.0,31,Saint-Étienne,Ligue 2
S. Diarra,Stéphane Imad Diarra,"RM, RW",72,3400000.0,15000.0,24,Saint-Étienne,Ligue 2
A. Briançon,Anthony Briançon,CB,72,2200000.0,7000.0,28,Saint-Étienne,Ligue 2
G. Charbonnier,Gaëtan Charbonnier,ST,72,1100000.0,8000.0,34,Saint-Étienne,Ligue 2
T. Monconduit,Thomas Monconduit,"CDM, CM",72,1600000.0,7000.0,32,Saint-Étienne,Ligue 2
F. Tardieu,Florian Tardieu,"CDM, CM",72,1600000.0,7000.0,31,Saint-Étienne,Ligue 2
L. Fomba,Lamine Fomba,"CDM, CM",71,2400000.0,6000.0,25,Saint-Étienne,Ligue 2
I. Sissoko,Ibrahim Sissoko,ST,71,2200000.0,7000.0,27,Saint-Étienne,Ligue 2
E. Green,Etienne Green,GK,70,2100000.0,3000.0,22,Saint-Étienne,Ligue 2
M. Nadé,Mickaël Nadé,CB,70,2200000.0,5000.0,24,Saint-Étienne,Ligue 2
D. Batubinsika,Buduka Dylan Batubinsika,CB,70,1700000.0,5000.0,27,Saint-Étienne,Ligue 2
M. Dreyer,Matthieu Dreyer,GK,70,275000.0,4000.0,34,Saint-Étienne,Ligue 2
L. Pétrot,Léo Pétrot,"CB, LB",69,1700000.0,5000.0,26,Saint-Étienne,Ligue 2
V. Lobry,Victor Lobry,"CM, CAM",69,1400000.0,5000.0,28,Saint-Étienne,Ligue 2
D. Chambost,Dylan Chambost,"CAM, CM, ST",68,1600000.0,4000.0,25,Saint-Étienne,Ligue 2
B. Bouchouari,Benjamin Bouchouari,CM,67,2500000.0,2000.0,21,Saint-Étienne,Ligue 2
A. Moueffek,Aimen Moueffek,"CM, RB, CDM",66,1900000.0,3000.0,22,Saint-Étienne,Ligue 2
I. Wadji,Ibrahima Wadji,ST,66,875000.0,3000.0,28,Saint-Étienne,Ligue 2
A. Bakayoko,Abdoulaye Bakayoko,"CB, RB",64,1300000.0,1000.0,20,Saint-Étienne,Ligue 2
E. Dieye,El Hadji Dieye,RM,64,1300000.0,2000.0,21,Saint-Étienne,Ligue 2
M. Rivera,Maxence Rivera,LM,64,1300000.0,2000.0,21,Saint-Étienne,Ligue 2
M. Bentayg,Mahmoud Bentayg,LB,64,1100000.0,2000.0,23,Saint-Étienne,Ligue 2
B. Nokoue,Bryan Djile Nokoue,RB,63,1100000.0,1000.0,21,Saint-Étienne,Ligue 2
B. Fall,Boubacar Fall,GK,62,850000.0,1000.0,22,Saint-Étienne,Ligue 2
A. Aiki,Ayman Aiki,"RM, LM",60,625000.0,550.0,18,Saint-Étienne,Ligue 2
A. Gauthier,Antoine Gauthier,CM,58,525000.0,900.0,19,Saint-Étienne,Ligue 2
K. Cissé,Karim Cissé,CM,55,300000.0,500.0,18,Saint-Étienne,Ligue 2
