short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Tilt,Curtis Anthony Tilt,CB,67,700000.0,7000.0,31,Salford City,League Two
E. Watt,Elliot William Watt,"CDM, CM",66,1200000.0,5000.0,23,Salford City,League Two
L. Garbutt,Luke Garbutt,"LB, LWB",66,725000.0,6000.0,30,Salford City,League Two
L. Bolton,Luke Bolton,"RM, RW, RWB",65,1000000.0,5000.0,23,Salford City,League Two
T. Vassell,Theo Vassell,CB,64,650000.0,5000.0,26,Salford City,League Two
S. Mallan,Stevie Patrick Mallan,"CM, CDM",64,675000.0,5000.0,27,Salford City,League Two
A. Mariappa,Adrian Joseph Mariappa,CB,64,100000.0,3000.0,36,Salford City,League Two
C. McAleny,Conor Michael McAleny,"LM, CAM, LW",64,575000.0,5000.0,30,Salford City,League Two
D. John,Declan Christopher John,"LWB, LB",64,525000.0,3000.0,28,Salford City,League Two
C. Hendry,Callum David Hendry,"ST, CF",63,650000.0,5000.0,25,Salford City,League Two
C. McLennan,Connor McLennan,"RM, LM, RWB",63,625000.0,4000.0,23,Salford City,League Two
R. Watson,Ryan James Watson,"CM, CDM",63,475000.0,5000.0,29,Salford City,League Two
A. Cairns,Alexander Thomas Cairns,GK,63,325000.0,3000.0,30,Salford City,League Two
M. Smith,Matt Smith,ST,63,230000.0,5000.0,34,Salford City,League Two
M. Lund,Matthew Charles Lund,CM,62,325000.0,4000.0,32,Salford City,League Two
L. Shephard,Liam Shephard,"RB, RM, CB",62,350000.0,4000.0,28,Salford City,League Two
O. Ashley,Ossama Ashley,"CM, CDM",61,525000.0,3000.0,23,Salford City,League Two
E. Ingram,Ethan Ingram,RB,57,375000.0,4000.0,20,Salford City,League Two
K. N'Mai,Kelly N’Mai,RM,56,300000.0,2000.0,19,Salford City,League Two
M. Dackers,Marcus Matthias Dackers,ST,56,220000.0,3000.0,20,Salford City,League Two
K. Berkoe,Kevin Nana Yaw Berkoe,LB,54,210000.0,2000.0,21,Salford City,League Two
D. Pedro,Djavan Pedro,ST,52,160000.0,2000.0,19,Salford City,League Two
J. Wright,Joseph Wright,GK,51,110000.0,2000.0,22,Salford City,League Two
T. Olopade,Tosin Olopade,RB,50,90000.0,700.0,18,Salford City,League Two
A. Henderson,Alfie Henderson,CM,50,100000.0,950.0,18,Salford City,League Two
L. Humbles,Liam Humbles,CM,49,110000.0,2000.0,19,Salford City,League Two
