short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
O. Solet,Oumar Mickael Solet Bomawoko,CB,76,15500000.0,15000.0,23,Salzburg,Bundesliga
S. Koita,Sékou Koïta,"ST, CAM",75,12500000.0,18000.0,23,Salzburg,Bundesliga
S. Pavlović,Strahinja Pavlović,CB,75,12000000.0,15000.0,22,Salzburg,Bundesliga
L. Sučić,Luka Sučić,"CAM, CM",74,9500000.0,13000.0,20,Salzburg,Bundesliga
N. Capaldo,Nicolás Capaldo Toboas,"CM, RB",74,6500000.0,15000.0,24,Salzburg,Bundesliga
O. Gloukh,Oscar Gloukh,CAM,73,6500000.0,9000.0,19,Salzburg,Bundesliga
L. Gourna-Douath,Lucas Gourna-Douath,"CDM, CM",73,6000000.0,8000.0,19,Salzburg,Bundesliga
A. Dedić,Amar Dedić,"RB, LB",73,6500000.0,10000.0,20,Salzburg,Bundesliga
M. Bidstrup,Mads Bidstrup,"CDM, CM",73,6000000.0,12000.0,22,Salzburg,Bundesliga
K. Piątkowski,Kamil Piątkowski,CB,73,4400000.0,12000.0,23,Salzburg,Bundesliga
Fernando,Fernando Dos Santos Pedro,ST,73,4700000.0,15000.0,24,Salzburg,Bundesliga
A. Schlager,Alexander Schlager,GK,73,2800000.0,12000.0,27,Salzburg,Bundesliga
M. Kjaergaard,Maurits Kjaergaard,CM,72,5000000.0,10000.0,20,Salzburg,Bundesliga
A. Terzić,Aleksa Terzić,LB,72,3300000.0,11000.0,23,Salzburg,Bundesliga
A. Ulmer,Andreas Ulmer,LB,72,525000.0,9000.0,37,Salzburg,Bundesliga
N. Mantl,Nico Mantl,GK,69,1800000.0,6000.0,23,Salzburg,Bundesliga
D. Kameri,Dijon Kameri,"CAM, CM",67,2400000.0,4000.0,19,Salzburg,Bundesliga
K. Konaté,Karim Konaté,"ST, CAM",67,2400000.0,4000.0,19,Salzburg,Bundesliga
A. Forson,Amankwah Forson,"RM, LB, CM",67,2200000.0,5000.0,20,Salzburg,Bundesliga
D. Nene,Dorgeles Nene,"ST, LM, CAM",67,2300000.0,6000.0,20,Salzburg,Bundesliga
L. Morgalla,Leandro Morgalla,"CB, RB",66,2000000.0,1000.0,18,Salzburg,Bundesliga
B. Okoh,Bryan Okoh,CB,66,1800000.0,4000.0,20,Salzburg,Bundesliga
R. Šimić,Roko Šimić,ST,65,1700000.0,3000.0,19,Salzburg,Bundesliga
M. Diambou,Mamady Diambou,CDM,63,1100000.0,3000.0,20,Salzburg,Bundesliga
P. Ratkov,Petar Ratkov,ST,62,1000000.0,2000.0,19,Salzburg,Bundesliga
L. Wallner,Lukas Wallner,CB,62,825000.0,2000.0,20,Salzburg,Bundesliga
S. Baidoo,Samson Baidoo,CB,61,725000.0,2000.0,19,Salzburg,Bundesliga
J. Krumrey,Jonas Krumrey,GK,60,500000.0,900.0,19,Salzburg,Bundesliga
