short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Tait,Flavien Tait,CM,76,7000000.0,16000.0,30,Samsunspor,Super Lig
E. Kara,Ercan Kara,ST,73,3600000.0,14000.0,27,Samsunspor,Super Lig
E. Kılınç,Emre Kılınç,"RM, CF, CM",72,2400000.0,12000.0,28,Samsunspor,Super Lig
L. Dimata,Landry Nany Dimata,ST,71,2400000.0,10000.0,25,Samsunspor,Super Lig
O. Ntcham,Jules Olivier Ntcham,"CM, CAM, RW",71,2100000.0,10000.0,27,Samsunspor,Super Lig
R. van Drongelen,Rick van Drongelen,CB,70,2200000.0,7000.0,24,Samsunspor,Super Lig
C. Holse,Carlo Johan Holse Justesen,"RW, CM",70,2400000.0,8000.0,24,Samsunspor,Super Lig
M. Fofana,Moryké Fofana,"LM, RM, CF",70,1300000.0,9000.0,31,Samsunspor,Super Lig
Ľ. Šatka,Ľubomír Šatka,CB,69,1400000.0,7000.0,27,Samsunspor,Super Lig
Y. Aït Bennasser,Youssef Aït Bennasser,"CDM, CM",69,1500000.0,7000.0,26,Samsunspor,Super Lig
T. Antalyalı,Taylan Antalyalı,"CM, CDM",69,1400000.0,18000.0,28,Samsunspor,Super Lig
K. Schindler,Kingsley Schindler,"RM, RB, ST",69,1400000.0,8000.0,29,Samsunspor,Super Lig
Nanu,Eulânio Ângelo Chipela Gomes,"RB, RM",69,1200000.0,7000.0,29,Samsunspor,Super Lig
M. Bola,Marc Bola,"LB, LWB",68,1600000.0,6000.0,25,Samsunspor,Super Lig
M. Mouandilmadji,Marius Mouandilmadji,ST,68,1600000.0,7000.0,25,Samsunspor,Super Lig
O. Kocuk,Okan Kocuk,GK,68,1100000.0,5000.0,27,Samsunspor,Super Lig
S. Aydoğdu,Soner Aydoğdu,"CDM, CM",68,800000.0,6000.0,32,Samsunspor,Super Lig
G. Laura,Gaëtan Laura,"ST, RM",68,1300000.0,7000.0,27,Samsunspor,Super Lig
J. Szumski,Jakub Szumski,GK,66,450000.0,3000.0,31,Samsunspor,Super Lig
Z. Yavru,Zeki Yavru,"RB, CDM, CB",66,625000.0,4000.0,31,Samsunspor,Super Lig
O. Çelik,Osman Çelik,"CDM, CB, CM",64,400000.0,3000.0,31,Samsunspor,Super Lig
Y. Çift,Yunus Emre Çift,CB,63,975000.0,1000.0,19,Samsunspor,Super Lig
A. Öztürk,Alim Öztürk,CB,63,400000.0,3000.0,30,Samsunspor,Super Lig
S. Gönül,Soner Gönül,"LB, LM",61,400000.0,2000.0,26,Samsunspor,Super Lig
M. Özbaskıcı,Muhammet Ali Özbaskıcı,CAM,55,325000.0,500.0,17,Samsunspor,Super Lig
H. Yeral,Halil Yeral,GK,53,180000.0,1000.0,23,Samsunspor,Super Lig
