short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Akapo,Carlos Akapo Martínez,"RB, LB",74,3600000.0,8000.0,30,San Jose Earthquakes,Major League Soccer
C. Espinoza,Cristian Omar Espinoza,"RM, RW",74,4200000.0,9000.0,28,San Jose Earthquakes,Major League Soccer
C. Gruezo,Carlos Armando Gruezo Arboleda,"CDM, CM",73,2900000.0,7000.0,28,San Jose Earthquakes,Major League Soccer
Jamiro Monteiro,Jamiro Gregory Monteiro Alvarenga,"CM, CAM, LM",73,3000000.0,8000.0,29,San Jose Earthquakes,Major League Soccer
J. Ebobisse,Jeremy Ebobisse,ST,72,3100000.0,7000.0,26,San Jose Earthquakes,Major League Soccer
M. Trauco,Miguel Ángel Trauco Saavedra,"LB, LWB, LM",72,2000000.0,6000.0,30,San Jose Earthquakes,Major League Soccer
Daniel,Daniel de Souza Brito,GK,71,1300000.0,5000.0,29,San Jose Earthquakes,Major League Soccer
J. Yueill,Jackson William Yueill,"CM, CDM, CB",70,2100000.0,5000.0,26,San Jose Earthquakes,Major League Soccer
J. Mensah,Jonathan Mensah,CB,70,1000000.0,5000.0,32,San Jose Earthquakes,Major League Soccer
C. Cowell,Cade Dylan Cowell,"LM, ST, RM",69,3300000.0,2000.0,19,San Jose Earthquakes,Major League Soccer
Nathan,Nathan Raphael Pelae Cardoso,CB,69,1400000.0,4000.0,28,San Jose Earthquakes,Major League Soccer
Judson,Judson Silva Tavares,CDM,68,1000000.0,3000.0,30,San Jose Earthquakes,Major League Soccer
M. Hoppe,Matthew Hoppe,ST,67,2300000.0,9000.0,22,San Jose Earthquakes,Major League Soccer
Rodrigues,Antônio Josenildo Rodrigues de Oliveira,CB,67,1400000.0,3000.0,25,San Jose Earthquakes,Major League Soccer
J. Marcinkowski,James Thomas Marcinkowski,GK,66,800000.0,2000.0,26,San Jose Earthquakes,Major League Soccer
T. Beason,James Tanner Beason,"CB, LB",65,875000.0,2000.0,26,San Jose Earthquakes,Major League Soccer
P. Marie,Paul Marie,"RB, LB",65,650000.0,2000.0,28,San Jose Earthquakes,Major League Soccer
A. Akinola,Ayomide Akinola,ST,64,850000.0,2000.0,23,San Jose Earthquakes,Major League Soccer
T. Thompson,Thomas Palmer Thompson,"RB, LB",64,575000.0,2000.0,27,San Jose Earthquakes,Major League Soccer
B. Kikanović,Benjamin Kikanovic,"LM, LW, ST",63,1100000.0,2000.0,23,San Jose Earthquakes,Major League Soccer
M. Baldisimo,Michael Baldisimo,"CDM, CM",63,700000.0,1000.0,23,San Jose Earthquakes,Major League Soccer
O. Ågren,Oskar Ågren,CB,59,425000.0,1000.0,24,San Jose Earthquakes,Major League Soccer
J. Skahan,Jack Skahan,CM,58,300000.0,1000.0,25,San Jose Earthquakes,Major League Soccer
O. Bouda,Ousseni Bouda,"LM, RM",57,375000.0,1000.0,23,San Jose Earthquakes,Major League Soccer
N. Tsakiris,Niko Tsakiris,"CAM, CM",56,450000.0,500.0,18,San Jose Earthquakes,Major League Soccer
W. Richmond,William Richmond,LM,55,250000.0,1000.0,23,San Jose Earthquakes,Major League Soccer
E. Ochoa,Emmanuel Ochoa,GK,53,230000.0,500.0,18,San Jose Earthquakes,Major League Soccer
C. Walls,Casey Walls,CB,53,210000.0,850.0,20,San Jose Earthquakes,Major League Soccer
K. Tingey,Keegan Tingey,CB,53,140000.0,1000.0,22,San Jose Earthquakes,Major League Soccer
D. Munie,Daniel Munie,LB,51,110000.0,1000.0,23,San Jose Earthquakes,Major League Soccer
