short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Luimo Boas Santos,Luan Vágner Boas Macedo,ST,79,20500000.0,32000.0,23,Santos,Serie A
Vieirundinho,Danilo Manuel Vieira Espíndola,CB,78,3700000.0,20000.0,35,Santos,Serie A
Pierrino Faria,Pierre Tomás Torres De Faria,GK,76,825000.0,12000.0,39,Santos,Serie A
Adilson Edrada,Adilson Patrick Edrada Pereira,CAM,76,6000000.0,26000.0,31,Santos,Serie A
Joshuando Sá,Joshua Eduardo Sá Madeira,"LB, LWB, LM",75,5500000.0,23000.0,27,Santos,Serie A
Pascoal Muscato,Pascoal Simão Muscato Vieira,"CDM, CM",75,3900000.0,23000.0,31,Santos,Serie A
Silvosinho,Thomas Nicolas Silva Rangel,"RB, RM, RWB",73,2900000.0,20000.0,27,Santos,Serie A
Sandelas Júnior,Leonardo Luis Sandelas Junior,CDM,73,2100000.0,20000.0,31,Santos,Serie A
Flávio Rebeilo,Flávio Raphael Rebeilo Mestres,LB,72,1700000.0,17000.0,31,Santos,Serie A
Leordinho Paes,Manuel Leonardo Conceição Paes,"CAM, LM",72,2700000.0,16000.0,23,Santos,Serie A
Alam Basteirinho,Marcos Alam Bastos Domingues,"CAM, RM",72,1900000.0,19000.0,31,Santos,Serie A
Ailton Cardenhas,Ailton Nuno Cardenhas Macedo,GK,71,1600000.0,10000.0,23,Santos,Serie A
Vanderleiton,M. Vanderlei Paulino Kenedy,CB,71,1900000.0,13000.0,23,Santos,Serie A
Claytinho Branco,Daniel Clayton Branco Julião,RB,70,1500000.0,13000.0,27,Santos,Serie A
Arthur Silbeira,Douglas Arthur Silbeira Martins,ST,70,1700000.0,16000.0,27,Santos,Serie A
Tomás Nuninho,Tomás Nicolas Nuninho Alfaro,CDM,68,1100000.0,10000.0,27,Santos,Serie A
Davide Eustáquio,Davide Maurício Eustáquio Silva,CAM,68,1000000.0,10000.0,31,Santos,Serie A
Claudio Mouria,Claudio Igor Mouria Silva,CAM,67,850000.0,9000.0,31,Santos,Serie A
Luis Paezinho,Luis Benjamin Paes Soares,"CB, LB",65,650000.0,6000.0,27,Santos,Serie A
Fachendinho,Tiago Vanderlei Fagundes Fachini,"ST, RM",63,400000.0,6000.0,31,Santos,Serie A
