short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Insaurralde,Juan Manuel Insaurralde,CB,72,425000.0,6000.0,38,Sarmiento,Liga Profesional
L. López,Lisandro López,"ST, CAM, LW",71,,7000.0,40,Sarmiento,Liga Profesional
F. Ferreyra,Facundo Ferreyra,ST,71,1500000.0,9000.0,32,Sarmiento,Liga Profesional
J. Devecchi,José Antonio Devecchi,GK,70,1500000.0,6000.0,27,Sarmiento,Liga Profesional
F. Monetti,Fernando Monetti,GK,70,275000.0,6000.0,34,Sarmiento,Liga Profesional
G. Díaz Núñez,Gabriel Díaz Núñez,"LWB, LB",69,3000000.0,5000.0,23,Sarmiento,Liga Profesional
F. Paredes,Franco Ezequiel Paredes,"RB, RWB",69,2100000.0,7000.0,24,Sarmiento,Liga Profesional
A. Donatti,Alejandro César Donatti,CB,69,250000.0,4000.0,36,Sarmiento,Liga Profesional
G. Bettini,Gonzalo Bettini,"RWB, RB",69,1200000.0,6000.0,29,Sarmiento,Liga Profesional
M. García,Manuel García,"CB, CM, CDM",68,2500000.0,4000.0,24,Sarmiento,Liga Profesional
G. Mainero,Guido Mainero,"RM, RW",68,1200000.0,7000.0,28,Sarmiento,Liga Profesional
A. Fontana,Cristian Agustín Fontana,ST,67,1200000.0,5000.0,27,Sarmiento,Liga Profesional
N. Gallardo,Nahuel Ezequiel Gallardo,"LB, LWB",67,1100000.0,4000.0,25,Sarmiento,Liga Profesional
F. Sbuttoni,Franco Sbuttoni,CB,67,325000.0,4000.0,34,Sarmiento,Liga Profesional
H. Mancilla,Harrinson Mancilla Mulato,"CDM, CM",67,725000.0,6000.0,31,Sarmiento,Liga Profesional
S. Quiroga,Sergio Alejandro Quiroga Gabutti,"CAM, CM, LM",67,1000000.0,5000.0,29,Sarmiento,Liga Profesional
Y. Arismendi,Yair Ezequiel Arismendi,"LM, RM",66,1100000.0,4000.0,25,Sarmiento,Liga Profesional
J. Mauri,José Agustín Mauri,"CM, CDM",66,975000.0,4000.0,27,Sarmiento,Liga Profesional
F. Martínez,Fernando Martínez Rojas,"CDM, CM",66,725000.0,4000.0,29,Sarmiento,Liga Profesional
E. Hernández,Juan Emanuel Hernández Rodríguez,CB,65,950000.0,3000.0,25,Sarmiento,Liga Profesional
J. Rosso,Jean Pierre Rosso Génova,"CM, RWB, RB",65,925000.0,3000.0,26,Sarmiento,Liga Profesional
J. Kaprof,Juan Cruz Kaprof,ST,65,725000.0,4000.0,28,Sarmiento,Liga Profesional
D. Calcaterra,Diego Calcaterra,"CB, CDM",64,1200000.0,2000.0,21,Sarmiento,Liga Profesional
M. Quiroz,Maico Alejandro Quiroz,CDM,64,1100000.0,3000.0,21,Sarmiento,Liga Profesional
A. Marinelli,Alan Nicolás Marinelli,"RM, ST, LM",64,925000.0,4000.0,24,Sarmiento,Liga Profesional
M. Mónaco,Manuel Mónaco,"RM, CM",63,1100000.0,2000.0,21,Sarmiento,Liga Profesional
F. Paradela,Federico Paradela,CM,63,1100000.0,2000.0,21,Sarmiento,Liga Profesional
C. Ojeda,Cristian Rómulo Ojeda,"LM, LW",61,525000.0,2000.0,24,Sarmiento,Liga Profesional
