short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Acuña,Marcos Javier Acuña,"LB, LM",85,39000000.0,46000.0,31,Sevilla,La Liga
Sergio Ramos,Sergio Ramos García,CB,83,6500000.0,28000.0,37,Sevilla,La Liga
Y. En-Nesyri,Youssef En-Nesyri,ST,82,36500000.0,42000.0,26,Sevilla,La Liga
Fernando,Fernando Francisco Reges,"CDM, CB",82,8500000.0,25000.0,35,Sevilla,La Liga
I. Rakitić,Ivan Rakitić,"CM, CDM",81,10500000.0,27000.0,35,Sevilla,La Liga
Jesús Navas,Jesús Navas González,"RB, RM",80,4700000.0,22000.0,37,Sevilla,La Liga
E. Lamela,Erik Lamela,"RW, CAM",80,17500000.0,36000.0,31,Sevilla,La Liga
N. Gudelj,Nemanja Gudelj,"CB, CDM",80,14500000.0,31000.0,31,Sevilla,La Liga
Suso,Jesús Joaquín Fernández Sáez de la Torre,"RW, CAM",80,20500000.0,38000.0,29,Sevilla,La Liga
L. Ocampos,Lucas Ariel Ocampos,"RW, LW",80,21000000.0,38000.0,28,Sevilla,La Liga
Joan Jordán,Joan Jordán Moreno,"CM, CDM",80,21000000.0,35000.0,28,Sevilla,La Liga
M. Dmitrović,Marko Dmitrović,GK,80,11000000.0,25000.0,31,Sevilla,La Liga
Óliver Torres,Óliver Torres Muñoz,"CM, CAM, LW",79,17500000.0,33000.0,28,Sevilla,La Liga
Marcão,Marcos do Nascimento Teixeira,CB,78,16000000.0,26000.0,27,Sevilla,La Liga
D. Sow,Mohameth Djibril Ibrahima Sow,"CM, CDM",78,17500000.0,29000.0,26,Sevilla,La Liga
D. Lukébakio,Dodi Lukébakio,"RM, ST",78,17000000.0,27000.0,25,Sevilla,La Liga
L. Badé,Loïc Badé,CB,77,19500000.0,21000.0,23,Sevilla,La Liga
Rafa Mir,Rafael Mir Vicente,ST,77,14000000.0,29000.0,26,Sevilla,La Liga
A. Januzaj,Adnan Januzaj,"RW, LW",77,10500000.0,30000.0,28,Sevilla,La Liga
Adrià Pedrosa,Adrià Giner Pedrosa,LB,76,10000000.0,22000.0,25,Sevilla,La Liga
B. Soumaré,Boubakary Soumaré,"CDM, CM",75,7000000.0,31000.0,24,Sevilla,La Liga
F. Gattoni,Federico Agustín Gattoni,CB,74,6000000.0,17000.0,24,Sevilla,La Liga
T. Nianzou,Tanguy-Austin Nianzou Kouassi,CB,73,6500000.0,13000.0,21,Sevilla,La Liga
Mariano,Mariano Díaz Mejía,ST,73,3000000.0,23000.0,29,Sevilla,La Liga
Ø. Nyland,Ørjan Håskjold Nyland,GK,69,700000.0,9000.0,32,Sevilla,La Liga
Manu Bueno,Manuel Bueno Sebastián,"CM, CAM, CDM",65,1700000.0,2000.0,18,Sevilla,La Liga
Kike Salas,Enrique Jesús Salas Valiente,CB,65,1700000.0,4000.0,21,Sevilla,La Liga
Zarzana,Antonio Zarzana Pérez,"RW, LW, CAM",63,1200000.0,4000.0,21,Sevilla,La Liga
Juanlu Sánchez,Juan Luis Sánchez Velasco,"RWB, RM",63,1000000.0,2000.0,19,Sevilla,La Liga
Alfonso Pastor,Alfonso Pastor Vacas,GK,62,775000.0,3000.0,22,Sevilla,La Liga
Alberto Flores,Alberto Flores López,GK,61,750000.0,1000.0,19,Sevilla,La Liga
Santisteban,David Santisteban García,ST,61,750000.0,4000.0,22,Sevilla,La Liga
Hormigo,Diego Hormigo Iturralde,"LB, CB",61,675000.0,3000.0,20,Sevilla,La Liga
