short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Ahmedhodžić,Anel Ahmedhodžić,CB,75,11500000.0,25000.0,24,Sheffield United,Premier League
Vinicius Souza,Vinicius de Souza Costa,"CDM, CM, CB",75,10500000.0,25000.0,24,Sheffield United,Premier League
G. Hamer,Gustavo Hamer,"CM, CDM, CAM",75,7000000.0,32000.0,26,Sheffield United,Premier League
W. Foderingham,Wesley Foderingham,GK,75,2800000.0,24000.0,32,Sheffield United,Premier League
T. Davies,Tom Davies,"CM, CDM",74,5500000.0,29000.0,25,Sheffield United,Premier League
O. Norwood,Oliver Norwood,"CDM, CM",74,2800000.0,27000.0,32,Sheffield United,Premier League
J. Egan,John Egan,CB,74,3500000.0,27000.0,30,Sheffield United,Premier League
A. Trusty,Auston Levi-Jesaiah Trusty,"CB, LB",73,4400000.0,22000.0,24,Sheffield United,Premier League
J. Bogle,Jayden Bogle,"RWB, RB",73,4600000.0,22000.0,22,Sheffield United,Premier League
C. Archer,Cameron Archer,ST,73,4900000.0,23000.0,21,Sheffield United,Premier League
L. Thomas,Luke Thomas,"LB, LWB",73,4100000.0,27000.0,22,Sheffield United,Premier League
C. Basham,Chris Basham,CB,73,1000000.0,25000.0,34,Sheffield United,Premier League
M. Lowe,Max Lowe,"LWB, LB",72,2800000.0,22000.0,26,Sheffield United,Premier League
O. McBurnie,Oliver McBurnie,ST,72,2700000.0,27000.0,27,Sheffield United,Premier League
J. Robinson,Jack Robinson,CB,72,2000000.0,23000.0,29,Sheffield United,Premier League
J. Fleck,John Fleck,"CM, CDM",71,1500000.0,22000.0,31,Sheffield United,Premier League
G. Baldock,George Baldock,"RWB, RB",71,1600000.0,20000.0,30,Sheffield United,Premier League
B. Osborn,Ben Osborn,"LWB, LM, CM",71,1700000.0,21000.0,28,Sheffield United,Premier League
J. McAtee,James McAtee,"CAM, CM",70,3500000.0,37000.0,20,Sheffield United,Premier League
A. Davies,Adam Rhys Davies,GK,70,1100000.0,14000.0,30,Sheffield United,Premier League
Y. Larouci,Yasser Larouci,"LWB, LB",69,3000000.0,3000.0,22,Sheffield United,Premier League
R. Norrington-Davies,Rhys Llewelyn Norrington-Davies,"LWB, CB, LB",69,2000000.0,13000.0,24,Sheffield United,Premier League
R. Brewster,Rhian Joel Brewster,ST,68,2700000.0,13000.0,23,Sheffield United,Premier League
B. Traore,Bénie Adama Traoré,"ST, RW",67,2500000.0,10000.0,20,Sheffield United,Premier League
A. Slimane,Anis Ben Slimane,"CM, CAM",67,2300000.0,10000.0,22,Sheffield United,Premier League
I. Coulibaly,Ismaila Cheick Coulibaly,"CM, CDM",67,2100000.0,10000.0,22,Sheffield United,Premier League
D. Jebbison,Daniel David Jebbison,ST,66,2000000.0,7000.0,19,Sheffield United,Premier League
J. Buyabu,Jili Buyabu,LWB,60,600000.0,3000.0,19,Sheffield United,Premier League
A. Hackford,Antwoine Hackford,ST,60,600000.0,4000.0,19,Sheffield United,Premier League
W. Osula,William Osula,ST,60,600000.0,4000.0,19,Sheffield United,Premier League
F. Seriki,Femi Seriki,"RWB, RB",60,525000.0,4000.0,21,Sheffield United,Premier League
J. Amissah,Jordan Yamoah Amissah,GK,55,250000.0,2000.0,21,Sheffield United,Premier League
A. Brooks,Andre Brooks,"LW, ST",53,240000.0,3000.0,19,Sheffield United,Premier League
