short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Bannan,Barry Ryan Bannan,"CM, CAM",72,1400000.0,15000.0,33,Sheffield Wednesday,Championship
J. Buckley,John Buckley,"CDM, CAM, CM",71,3500000.0,21000.0,23,Sheffield Wednesday,Championship
D. Vásquez,Devis Estiven Vásquez Llach,GK,71,2300000.0,23000.0,25,Sheffield Wednesday,Championship
J. Windass,Joshua Dean Windass,"ST, CAM, LM",70,1600000.0,13000.0,29,Sheffield Wednesday,Championship
M. Smith,Michael John Smith,ST,69,1200000.0,11000.0,31,Sheffield Wednesday,Championship
L. Palmer,Liam Jordan Palmer,"RB, CB, CDM",69,1000000.0,9000.0,31,Sheffield Wednesday,Championship
M. Ihiekwe,Michael Uzoukwu Absalom Jude Ihiekwe,CB,69,1100000.0,9000.0,30,Sheffield Wednesday,Championship
D. Bernard,Di'Shon Bernard,"CB, RB",68,2500000.0,7000.0,22,Sheffield Wednesday,Championship
M. Diaby,Mohamed Lamine Diaby,"CDM, CM",68,1400000.0,4000.0,26,Sheffield Wednesday,Championship
G. Byers,George William Byers,"CM, CDM",68,1400000.0,8000.0,27,Sheffield Wednesday,Championship
J. Hendrick,Jeff Patrick Hendrick,"CM, CDM",68,1000000.0,32000.0,31,Sheffield Wednesday,Championship
W. Vaulks,William Robert Vaulks,"CDM, CM",68,1000000.0,8000.0,29,Sheffield Wednesday,Championship
R. James,Reece James,"LB, CB, CM",68,1100000.0,8000.0,29,Sheffield Wednesday,Championship
J. Delgado,Juan Antonio Delgado Baeza,"RB, RM",68,1000000.0,8000.0,30,Sheffield Wednesday,Championship
C. Dawson,Cameron Miles Dawson,GK,67,1000000.0,5000.0,27,Sheffield Wednesday,Championship
B. Diaby,Bambo Diaby,CB,67,1200000.0,6000.0,25,Sheffield Wednesday,Championship
A. Fletcher,Ashley Fletcher,ST,67,1100000.0,13000.0,27,Sheffield Wednesday,Championship
D. Iorfa,Dominic Iorfa,"CB, RB",67,875000.0,7000.0,28,Sheffield Wednesday,Championship
L. Gregory,Lee Andrew Gregory,ST,67,500000.0,8000.0,34,Sheffield Wednesday,Championship
A. Musaba,Anthony Tite Musaba,"RM, RW, ST",66,1700000.0,5000.0,22,Sheffield Wednesday,Championship
M. Wilks,Mallik Wilks,"ST, RM",66,1300000.0,6000.0,24,Sheffield Wednesday,Championship
M. Johnson,Marvin Nicholas Johnson,"LB, LM",66,600000.0,6000.0,32,Sheffield Wednesday,Championship
A. Famewo,Akinlolu Richard Olamide Famewo,"CB, LB",65,975000.0,4000.0,24,Sheffield Wednesday,Championship
C. Paterson,Callum Thomas Owen Paterson,"ST, RWB",65,725000.0,6000.0,28,Sheffield Wednesday,Championship
T. Bakinson,Tyreeq Bakinson,"CM, CDM",64,825000.0,4000.0,24,Sheffield Wednesday,Championship
Pol Valentín,Pol Valentín Sancho,"RB, RM, RWB",64,700000.0,5000.0,26,Sheffield Wednesday,Championship
D. Gassama,Djeidi Gassama,"ST, LW",62,950000.0,2000.0,19,Sheffield Wednesday,Championship
C. Brennan,Ciaran Brennan,CB,60,500000.0,3000.0,23,Sheffield Wednesday,Championship
P. Charles,Pierce Charles,GK,55,275000.0,500.0,17,Sheffield Wednesday,Championship
S. Fusire,Sean Fusire,"CM, RWB",53,300000.0,1000.0,18,Sheffield Wednesday,Championship
