short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Maroši,Marko Maroši,GK,67,700000.0,3000.0,29,Shrewsbury Town,League One
C. Dunkley,Cheyenne Dunkley,CB,67,700000.0,4000.0,31,Shrewsbury Town,League One
T. Bayliss,Tom Bayliss,"CAM, CM",66,1300000.0,3000.0,24,Shrewsbury Town,League One
J. Shipley,Jordan Shipley,"LWB, LW",66,1000000.0,3000.0,25,Shrewsbury Town,League One
D. Udoh,Dominic Daniel Udoh,"ST, LW",66,1000000.0,4000.0,26,Shrewsbury Town,League One
B. Fleming,Brandon Fleming,"LWB, LB",65,1100000.0,4000.0,23,Shrewsbury Town,League One
G. Nurse,George Damien Nurse,"LWB, CB",65,950000.0,2000.0,24,Shrewsbury Town,League One
T. Flanagan,Thomas Michael Flanagan,CB,65,500000.0,3000.0,31,Shrewsbury Town,League One
C. Winchester,Carl Winchester,"CM, CDM",65,675000.0,3000.0,30,Shrewsbury Town,League One
K. Phillips,Kieran James Phillips,"ST, RM",64,1300000.0,3000.0,23,Shrewsbury Town,League One
M. Feeney,Morgan Feeney,CB,64,850000.0,2000.0,24,Shrewsbury Town,League One
N. Kenneh,Nohan Kenneh,"CDM, CM",63,675000.0,1000.0,20,Shrewsbury Town,League One
E. Bennett,Elliott Bennett,RWB,63,180000.0,2000.0,34,Shrewsbury Town,League One
T. Perry,Taylor Perry,CM,62,900000.0,2000.0,21,Shrewsbury Town,League One
M. Mata,Max Mata,ST,62,600000.0,2000.0,22,Shrewsbury Town,League One
R. Bowman,Ryan Michael Bowman,ST,62,325000.0,2000.0,31,Shrewsbury Town,League One
M. Benning,Malvind Singh Benning,LWB,62,350000.0,2000.0,29,Shrewsbury Town,League One
J. Anderson,Joe Anderson,CB,60,525000.0,4000.0,22,Shrewsbury Town,League One
H. Burgoyne,Harry James Burgoyne,GK,60,230000.0,1000.0,26,Shrewsbury Town,League One
T. Sobowale,Tunmise Sobowale,"RWB, RB, CM",59,425000.0,1000.0,24,Shrewsbury Town,League One
R. Finnigan,Ryan Finnigan,"CM, CDM",58,475000.0,4000.0,19,Shrewsbury Town,League One
E. Thorpe,Elliot Morgan Thorpe,"RWB, CM",58,425000.0,6000.0,22,Shrewsbury Town,League One
M. Parker,Michael Parker,"CB, LWB",56,300000.0,500.0,18,Shrewsbury Town,League One
J. Sraha,Jason Sraha,CB,55,250000.0,1000.0,20,Shrewsbury Town,League One
D. Hutchings,Declan Hutchings,"CB, RWB, CM",52,170000.0,500.0,18,Shrewsbury Town,League One
J. Bailey,Joshua Bailey,LWB,52,160000.0,500.0,18,Shrewsbury Town,League One
N. Owusu,Nana Owusu,RWB,52,160000.0,500.0,18,Shrewsbury Town,League One
