short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Samu Sáiz,Samuel Sáiz Alonso,"CAM, LM",74,3300000.0,17000.0,32,Sivasspor,Super Lig
R. Manaj,Rey Manaj,ST,72,3100000.0,15000.0,26,Sivasspor,Super Lig
R. Květ,Roman Květ,"CAM, CDM",71,2600000.0,700.0,25,Sivasspor,Super Lig
C. Njie,Clinton Mua N'Jie,"RM, ST",71,1800000.0,12000.0,29,Sivasspor,Super Lig
M. Barrow,Modou Barrow,"RM, LM",70,1500000.0,18000.0,30,Sivasspor,Super Lig
Gerson Rodrigues,Gerson Leal Rodrigues Gouveia,"LM, ST",70,1600000.0,600.0,28,Sivasspor,Super Lig
A. Parmak,Abdulkadir Parmak,"CDM, CM",69,1300000.0,8000.0,28,Sivasspor,Super Lig
H. Arslan,Hakan Arslan,"CM, CDM",69,650000.0,9000.0,34,Sivasspor,Super Lig
A. Poungouras,Achilleas Poungouras,CB,68,1200000.0,7000.0,27,Sivasspor,Super Lig
E. Başsan,Emrah Başsan,"RM, LM",68,1000000.0,8000.0,31,Sivasspor,Super Lig
U. Çiftçi,Uğur Çiftçi,LB,68,875000.0,7000.0,31,Sivasspor,Super Lig
A. Musa,Ahmed Musa,"RM, ST, LM",67,975000.0,6000.0,30,Sivasspor,Super Lig
A. Appindangoye,Aaron Appindangoye,CB,67,700000.0,6000.0,31,Sivasspor,Super Lig
C. Osmanpaşa,Caner Osmanpaşa,CB,67,275000.0,4000.0,35,Sivasspor,Super Lig
C. Charisis,Charilaos Charisis,"CM, CDM",67,1000000.0,7000.0,28,Sivasspor,Super Lig
S. Camara,Samba Camara,CB,67,825000.0,6000.0,30,Sivasspor,Super Lig
A. Vural,Ali Şaşal Vural,GK,66,425000.0,4000.0,32,Sivasspor,Super Lig
Z. Erdal,Ziya Erdal,LB,65,220000.0,3000.0,35,Sivasspor,Super Lig
A. Okumuş,Alaaddin Okumuş,"RB, RM",65,700000.0,4000.0,27,Sivasspor,Super Lig
M. Paluli,Murat Paluli,RB,65,650000.0,5000.0,28,Sivasspor,Super Lig
M. Yıldırım,Muammer Zülfikar Yıldırım,GK,64,300000.0,3000.0,32,Sivasspor,Super Lig
K. Keïta,Kader Keïta,"CDM, CM",63,700000.0,3000.0,22,Sivasspor,Super Lig
E. Erentürk,Erhan Erentürk,GK,62,375000.0,3000.0,28,Sivasspor,Super Lig
Y. Konak,Yunus Emre Konak,"CDM, CM",57,500000.0,500.0,17,Sivasspor,Super Lig
E. Gökay,Emre Gökay,RM,56,325000.0,500.0,17,Sivasspor,Super Lig
M. Albayrak,Mehmet Albayrak,"CB, RB",54,240000.0,1000.0,19,Sivasspor,Super Lig
