short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Gießelmann,Niko Gießelmann,LB,73,2200000.0,9000.0,31,SpVgg Greuther Fürth,2. Bundesliga
B. Hrgota,Branimir Hrgota,"CAM, ST",72,2300000.0,9000.0,30,SpVgg Greuther Fürth,2. Bundesliga
A. Linde,Andreas Christopher Linde,GK,70,1100000.0,5000.0,29,SpVgg Greuther Fürth,2. Bundesliga
M. Meyerhöfer,Marco Meyerhöfer,"RB, RM",69,1500000.0,5000.0,27,SpVgg Greuther Fürth,2. Bundesliga
J. Green,Julian Green,"CAM, CM",69,1400000.0,6000.0,28,SpVgg Greuther Fürth,2. Bundesliga
O. Haddadi,Oussama Haddadi,"CB, LB",69,950000.0,5000.0,31,SpVgg Greuther Fürth,2. Bundesliga
D. Srbeny,Dennis Srbeny,"ST, CAM",69,1400000.0,7000.0,29,SpVgg Greuther Fürth,2. Bundesliga
S. Asta,Simon Asta,"RB, RM",68,2600000.0,4000.0,22,SpVgg Greuther Fürth,2. Bundesliga
L. Petkov,Lukas Emanuel Petkov,"CM, CAM, LM",68,2700000.0,9000.0,22,SpVgg Greuther Fürth,2. Bundesliga
L. Itter,Gian-Luca Itter,"LB, CB",68,1700000.0,4000.0,24,SpVgg Greuther Fürth,2. Bundesliga
D. Michalski,Damian Michalski,CB,68,1500000.0,4000.0,25,SpVgg Greuther Fürth,2. Bundesliga
K. Çalhanoğlu,Kerim Çalhanoğlu,"LB, LM",67,2100000.0,3000.0,20,SpVgg Greuther Fürth,2. Bundesliga
J. Consbruch,Jomaine Ellay Consbruch,"CAM, LM, RM",67,2300000.0,3000.0,21,SpVgg Greuther Fürth,2. Bundesliga
D. Abiama,Dickson Abiama,ST,67,2100000.0,4000.0,24,SpVgg Greuther Fürth,2. Bundesliga
G. Jung,Gideon Jung,"CB, CDM",67,975000.0,4000.0,28,SpVgg Greuther Fürth,2. Bundesliga
J. Urbig,Jonas Urbig,GK,66,2000000.0,2000.0,19,SpVgg Greuther Fürth,2. Bundesliga
A. Sieb,Armindo Sieb,"ST, LM",66,2100000.0,3000.0,20,SpVgg Greuther Fürth,2. Bundesliga
T. Lemperle,Tim Lemperle,"RM, ST, LM",66,2100000.0,6000.0,21,SpVgg Greuther Fürth,2. Bundesliga
R. Wagner,Robert Wagner,"CM, CDM",66,2000000.0,5000.0,19,SpVgg Greuther Fürth,2. Bundesliga
O. Kiomourtzoglou,Orestis Kiomourtzoglou,"CDM, CM",66,1000000.0,3000.0,25,SpVgg Greuther Fürth,2. Bundesliga
O. Fobassam,Oliver Fobassam Nawe,CB,61,750000.0,1000.0,20,SpVgg Greuther Fürth,2. Bundesliga
M. Dietz,Maximilian Dietz,CB,61,700000.0,1000.0,21,SpVgg Greuther Fürth,2. Bundesliga
L. Schaffran,Leon Valentin Schaffran,GK,60,325000.0,1000.0,24,SpVgg Greuther Fürth,2. Bundesliga
L. Littbarski,ルシアン リトバルスキー,"RM, RW",59,550000.0,1000.0,20,SpVgg Greuther Fürth,2. Bundesliga
O. Mhamdi,Oualid Mhamdi,RB,59,525000.0,1000.0,20,SpVgg Greuther Fürth,2. Bundesliga
D. Angleberger,Devin Angleberger,"CM, CDM",55,300000.0,1000.0,20,SpVgg Greuther Fürth,2. Bundesliga
B. Schlicke,Ben Schlicke,CB,54,325000.0,500.0,17,SpVgg Greuther Fürth,2. Bundesliga
