short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Olij,Nick Olij,GK,75,5500000.0,8000.0,27,Sparta Rotterdam,Eredivisie
K. Saito,斉藤 光毅,"LM, ST",71,4200000.0,6000.0,21,Sparta Rotterdam,Eredivisie
J. Kitolano,Joshua Gaston Kitolano,"CM, CDM",70,3600000.0,5000.0,21,Sparta Rotterdam,Eredivisie
B. Vriends,Bart Vriends,CB,70,1000000.0,6000.0,32,Sparta Rotterdam,Eredivisie
T. Lauritsen,Tobias Lauritsen,ST,69,1900000.0,6000.0,25,Sparta Rotterdam,Eredivisie
J. de Guzmán,Jonathan de Guzmán,"CM, CDM",69,550000.0,4000.0,35,Sparta Rotterdam,Eredivisie
A. Verschueren,Arno Verschueren,"CM, CDM",68,1600000.0,5000.0,26,Sparta Rotterdam,Eredivisie
D. Warmerdam,Django Warmerdam,LB,68,1200000.0,4000.0,27,Sparta Rotterdam,Eredivisie
M. Eerdhuijzen,Mike Eerdhuijzen,CB,67,2100000.0,3000.0,22,Sparta Rotterdam,Eredivisie
D. van der Kust,Djevencio van der Kust,LB,67,1500000.0,3000.0,22,Sparta Rotterdam,Eredivisie
C. Brym,Charles-Andreas Brym,"ST, RM",66,1300000.0,3000.0,24,Sparta Rotterdam,Eredivisie
P. Clement,Pelle Clement,"CM, CAM",66,975000.0,3000.0,27,Sparta Rotterdam,Eredivisie
S. Bakari,Saïd Bakari,"RB, RM",66,775000.0,3000.0,28,Sparta Rotterdam,Eredivisie
C. Neghli,Camiel Neghli,"CAM, RM",64,1300000.0,2000.0,21,Sparta Rotterdam,Eredivisie
T. Velthuis,Tijs Velthuis,CB,63,1000000.0,2000.0,21,Sparta Rotterdam,Eredivisie
A. Anello,Agustín Anello,"LM, RM",63,1100000.0,2000.0,21,Sparta Rotterdam,Eredivisie
D. van Crooij,Delano van Crooij,GK,63,240000.0,2000.0,32,Sparta Rotterdam,Eredivisie
Metinho,Abelmy Meto Silu,"CM, CDM",62,950000.0,1000.0,20,Sparta Rotterdam,Eredivisie
Y. Schoonderwaldt,Youri Schoonderwaldt,GK,62,775000.0,1000.0,23,Sparta Rotterdam,Eredivisie
R. Meissen,Rick Meissen,CB,61,700000.0,1000.0,21,Sparta Rotterdam,Eredivisie
Sergi Rosanas,Sergi Rosanas Moragas,RB,60,525000.0,1000.0,22,Sparta Rotterdam,Eredivisie
Pedro Alemañ,Pedro Alemañ Serna,"CAM, CM",59,550000.0,1000.0,20,Sparta Rotterdam,Eredivisie
D. Vianello,Delano Vianello,"CDM, CB",57,375000.0,1000.0,20,Sparta Rotterdam,Eredivisie
D. van Wageningen,Dylan van Wageningen,"RB, CDM",57,350000.0,1000.0,20,Sparta Rotterdam,Eredivisie
M. Yüksel,Mehmet Yüksel,"RM, ST",57,375000.0,1000.0,21,Sparta Rotterdam,Eredivisie
K. Reitmaier,Kaylen Reitmaier,GK,55,300000.0,500.0,19,Sparta Rotterdam,Eredivisie
