short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Ricardo Horta,Ricardo Jorge da Luz Horta,"CAM, CF, RM",82,30500000.0,24000.0,28,Sporting Braga,Liga Portugal
A. Al Musrati,Almoatasembellah Ali Mohamed Al musrati,"CDM, CM",81,26500000.0,19000.0,27,Sporting Braga,Liga Portugal
Matheus,Matheus Lima Magalhães,GK,80,14000000.0,15000.0,30,Sporting Braga,Liga Portugal
S. Banza,Simon Bokoté Banza,ST,78,17000000.0,19000.0,26,Sporting Braga,Liga Portugal
José Fonte,José Miguel da Rocha Fonte,CB,78,2500000.0,10000.0,39,Sporting Braga,Liga Portugal
Pizzi,Luís Miguel Afonso Fernandes,"CM, RM",78,8500000.0,17000.0,33,Sporting Braga,Liga Portugal
André Horta,André Filipe Luz Horta,"CM, CDM",77,13500000.0,16000.0,26,Sporting Braga,Liga Portugal
Bruma,Armindo Tué Na Bangna,"LM, LW, RW",77,10500000.0,17000.0,28,Sporting Braga,Liga Portugal
Abel Ruiz,Abel Ruiz Ortega,ST,76,17000000.0,14000.0,23,Sporting Braga,Liga Portugal
S. Niakaté,Sikou Niakaté,"CB, LB",76,10000000.0,12000.0,23,Sporting Braga,Liga Portugal
João Moutinho,João Filipe Iria Santos Moutinho,"CM, CAM",75,1800000.0,11000.0,36,Sporting Braga,Liga Portugal
Paulo Oliveira,Paulo André Rodrigues de Oliveira,CB,75,3800000.0,13000.0,31,Sporting Braga,Liga Portugal
Rony Lopes,Marcos Paulo Mesquita Lopes,"RM, RW, ST",75,6000000.0,14000.0,27,Sporting Braga,Liga Portugal
Víctor Gómez,Víctor Gómez Perea,"RB, RWB, LB",74,9000000.0,10000.0,23,Sporting Braga,Liga Portugal
R. Zalazar,Rodrigo Zalazar Martínez,"CM, CAM",74,6500000.0,12000.0,23,Sporting Braga,Liga Portugal
Adrián Marín,Adrián Marín Gómez,"LB, LWB",74,5000000.0,12000.0,26,Sporting Braga,Liga Portugal
Castro,André de Castro Pereira,"CM, CDM",73,1200000.0,9000.0,35,Sporting Braga,Liga Portugal
Lucas Piazón,Gustavo Lucas Domingues Piazón,"CF, RW, CAM",73,3000000.0,14000.0,29,Sporting Braga,Liga Portugal
Álvaro Djaló,Álvaro Djaló Dias Fernandes,"LM, RM, CAM",72,3700000.0,9000.0,23,Sporting Braga,Liga Portugal
Vitor Carvalho,Vitor Carvalho Vieira,"CDM, CM",72,3100000.0,10000.0,26,Sporting Braga,Liga Portugal
Tiago Sá,Tiago Magalhães de Sá,GK,71,1600000.0,8000.0,28,Sporting Braga,Liga Portugal
C. Borja,Cristián Alexis Borja González,"LB, CB, LM",71,1600000.0,9000.0,30,Sporting Braga,Liga Portugal
S. Saatçı,Serdar Saatçı,CB,68,2700000.0,4000.0,20,Sporting Braga,Liga Portugal
J. Mendes,Josafat Mendes,"RB, LB",68,2500000.0,4000.0,20,Sporting Braga,Liga Portugal
L. Hornicek,Lukáš Horníček,GK,65,1400000.0,2000.0,20,Sporting Braga,Liga Portugal
Roger Fernandes,Roger Fernandes,"LM, RM",64,1500000.0,500.0,17,Sporting Braga,Liga Portugal
Diogo Fonseca,Diogo Fernandes Fonseca,CB,62,925000.0,2000.0,21,Sporting Braga,Liga Portugal
S. El Hadji Djibril,Soumaré El Hadji Djibril,"CDM, CM",61,675000.0,2000.0,20,Sporting Braga,Liga Portugal
