short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Roque Mesa,Roque Mesa Quevedo,"CM, CDM",76,3500000.0,12000.0,34,Sporting Gijón,La Liga 2
C. Izquierdoz,Carlos Roberto Izquierdoz,CB,74,1400000.0,9000.0,34,Sporting Gijón,La Liga 2
J. Otero,Juan Ferney Otero Tovar,"RM, ST, LM",74,4200000.0,11000.0,28,Sporting Gijón,La Liga 2
Cote,José Ángel Valdés Díaz,"LB, LWB",73,1600000.0,9000.0,33,Sporting Gijón,La Liga 2
Róber,Roberto Suárez Pier,"CB, CDM",72,2200000.0,8000.0,28,Sporting Gijón,La Liga 2
Fran Villalba,Francisco José Villalba Rodrigo,"CAM, LM, RM",71,2800000.0,7000.0,25,Sporting Gijón,La Liga 2
A. Pascanu,Alexandru Ștefan Pașcanu,"CB, RB, LB",70,3300000.0,5000.0,24,Sporting Gijón,La Liga 2
Insua,Pablo Ínsua Blanco,CB,70,1300000.0,6000.0,29,Sporting Gijón,La Liga 2
Christian Rivera,Christian Rivera Hernández,"CDM, CM",69,1900000.0,5000.0,25,Sporting Gijón,La Liga 2
U. Đurđević,Uroš Đurđević,ST,69,1400000.0,6000.0,29,Sporting Gijón,La Liga 2
Gaspar Campos,Gaspar Campos Ansó Fernández,"LM, RM, CF",68,2700000.0,4000.0,23,Sporting Gijón,La Liga 2
Rubén Yáñez,Orlando Rubén Yáñez Alabart,GK,68,825000.0,4000.0,29,Sporting Gijón,La Liga 2
G. Zarfino,Jorge Giovani Zarfino Calandria,"CDM, CAM, ST",68,850000.0,4000.0,31,Sporting Gijón,La Liga 2
J. Carrillo,Jordan Carrillo Rodríguez,"LM, RM",67,2500000.0,3000.0,21,Sporting Gijón,La Liga 2
J. Varane,Jonathan Varane,"CDM, CM",67,2200000.0,2000.0,21,Sporting Gijón,La Liga 2
Nacho Martín,Ignacio Martín Gómez,"CDM, CM",67,2200000.0,2000.0,21,Sporting Gijón,La Liga 2
C. Sánchez,Christian Joel Sánchez Leal,GK,67,2000000.0,2000.0,23,Sporting Gijón,La Liga 2
Nacho Méndez,Ignacio Méndez Navia Fernández,"CM, CDM, RM",67,1500000.0,4000.0,25,Sporting Gijón,La Liga 2
Campuzano,Víctor Campuzano Bonilla,"ST, CAM, CF",67,1300000.0,4000.0,26,Sporting Gijón,La Liga 2
Diego Sánchez,Diego Sánchez Pérez,"LB, LWB, CB",66,1900000.0,2000.0,19,Sporting Gijón,La Liga 2
Daniel Queipo,Daniel Queipo Menéndez,"LM, CAM",66,2100000.0,2000.0,21,Sporting Gijón,La Liga 2
H. Hassan,Haissem Hassan,RM,66,1900000.0,2000.0,21,Sporting Gijón,La Liga 2
Pablo García,Pablo García Carrasco,"LB, LM",66,1800000.0,3000.0,23,Sporting Gijón,La Liga 2
Guille Rosas,Guillermo Rosas Alonso,"RB, RWB",66,1800000.0,3000.0,23,Sporting Gijón,La Liga 2
A. Bamba,Axel Bamba,"CB, RB",66,1200000.0,3000.0,23,Sporting Gijón,La Liga 2
I. Jeraldino,Ignacio Alejandro Jeraldino Jul,ST,66,925000.0,4000.0,27,Sporting Gijón,La Liga 2
Pelayo Morilla,Pelayo Morilla Cabal,"RM, LM",63,1100000.0,2000.0,21,Sporting Gijón,La Liga 2
Enol Coto,Enol Coto Serrano,"RB, RWB",63,1000000.0,2000.0,22,Sporting Gijón,La Liga 2
L. Miguel,Leonel Miguel,"CB, RB",61,750000.0,1000.0,22,Sporting Gijón,La Liga 2
F. Bloch,Florentin Lucien Jean Bloch,GK,60,475000.0,1000.0,23,Sporting Gijón,La Liga 2
