short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Irvine,Jackson Alexander Irvine,CM,74,4000000.0,17000.0,30,St. Pauli,2. Bundesliga
M. Saliakas,Manolis Saliakas,RWB,73,3300000.0,14000.0,26,St. Pauli,2. Bundesliga
M. Hartel,Marcel Hartel,CM,72,2700000.0,14000.0,27,St. Pauli,2. Bundesliga
S. Zoller,Simon Zoller,"ST, RM",72,1900000.0,15000.0,32,St. Pauli,2. Bundesliga
E. Smith,Eric Anders Smith,"CB, CDM",71,2200000.0,11000.0,26,St. Pauli,2. Bundesliga
N. Vasilj,Nikola Vasilj,GK,70,1500000.0,8000.0,27,St. Pauli,2. Bundesliga
D. Afolayan,Oladapo Joshua Afolayan,"LM, CF",70,1900000.0,10000.0,25,St. Pauli,2. Bundesliga
K. Mets,Karol Mets,CB,70,1300000.0,10000.0,30,St. Pauli,2. Bundesliga
H. Wahl,Hauke Finn Wahl,CB,70,1300000.0,10000.0,29,St. Pauli,2. Bundesliga
D. Sinani,Danel Sinani,"RM, CAM",69,1600000.0,9000.0,26,St. Pauli,2. Bundesliga
D. Nemeth,David Nemeth,CB,68,2300000.0,6000.0,22,St. Pauli,2. Bundesliga
J. Eggestein,Johannes Eggestein,"ST, RM",68,1500000.0,8000.0,25,St. Pauli,2. Bundesliga
S. Burchert,Sascha Burchert,GK,68,400000.0,6000.0,33,St. Pauli,2. Bundesliga
A. Albers,Andreas Albers Nielsen,ST,68,775000.0,8000.0,33,St. Pauli,2. Bundesliga
C. Metcalfe,Connor Isaac Metcalfe,"RM, CDM, CM",67,2300000.0,6000.0,23,St. Pauli,2. Bundesliga
P. Treu,Philipp Treu,RB,67,2200000.0,5000.0,22,St. Pauli,2. Bundesliga
E. Amenyido,Etienne Amenyido,"ST, LM, RM",67,1500000.0,7000.0,25,St. Pauli,2. Bundesliga
A. Dźwigała,Adam Dźwigała,"CB, RWB",67,1200000.0,6000.0,27,St. Pauli,2. Bundesliga
C. Boukhalfa,Carlo Gregor Boukhalfa,"CAM, CM, CDM",66,1700000.0,5000.0,24,St. Pauli,2. Bundesliga
E. Saad,Elias Saad,LM,66,1400000.0,5000.0,23,St. Pauli,2. Bundesliga
L. Ritzka,Lars Ritzka,LWB,66,1100000.0,5000.0,25,St. Pauli,2. Bundesliga
Maurides,Maurides Roque Junior,ST,65,725000.0,6000.0,29,St. Pauli,2. Bundesliga
S. Banks,Scott Brian Banks,RM,63,1100000.0,6000.0,21,St. Pauli,2. Bundesliga
B. Winter,Bennet Winter,ST,59,500000.0,2000.0,19,St. Pauli,2. Bundesliga
L. Günther,Luca Günther,RB,59,475000.0,2000.0,21,St. Pauli,2. Bundesliga
S. Ahlers,Sören Ahlers,GK,59,275000.0,2000.0,25,St. Pauli,2. Bundesliga
N. Jessen,Niklas Jessen,CM,57,425000.0,2000.0,19,St. Pauli,2. Bundesliga
N. Kukanda,Nathanael Kukanda,LB,55,300000.0,2000.0,20,St. Pauli,2. Bundesliga
