short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Getinger,Krystian Getinger,"LWB, LM",67,375000.0,2000.0,34,Stal Mielec,Ekstraklasa
M. Matras,Mateusz Matras,CB,67,650000.0,2000.0,32,Stal Mielec,Ekstraklasa
M. Domański,Maciej Domański,"LM, CF, RM",67,800000.0,2000.0,32,Stal Mielec,Ekstraklasa
K. Hinokio,檜尾 昂樹,"LM, CM, RM",66,1700000.0,1000.0,22,Stal Mielec,Ekstraklasa
I. Shkurin,Ilya Shkurin,ST,66,1400000.0,1000.0,23,Stal Mielec,Ekstraklasa
A. Jaunzems,Alvis Jaunzems,"RWB, RB, CM",65,1100000.0,1000.0,24,Stal Mielec,Ekstraklasa
P. Wlazło,Piotr Wlazło,"CM, CDM",65,325000.0,1000.0,34,Stal Mielec,Ekstraklasa
M. Guillaumier,Matthew Guillaumier,"CM, CDM",64,850000.0,1000.0,25,Stal Mielec,Ekstraklasa
K. Wołkowicz,Krzysztof Wołkowicz,"LWB, LM",64,525000.0,1000.0,28,Stal Mielec,Ekstraklasa
B. Esselink,Bert Esselink,CB,63,1000000.0,800.0,23,Stal Mielec,Ekstraklasa
M. Ehmann,Marco Ehmann,CB,63,900000.0,800.0,22,Stal Mielec,Ekstraklasa
M. Trąbka,Michał Trąbka,"CM, LM, RM",63,550000.0,1000.0,26,Stal Mielec,Ekstraklasa
K. Jałocha,Konrad Jałocha,GK,63,240000.0,750.0,32,Stal Mielec,Ekstraklasa
Leândro,Leândro Messias dos Santos,"CB, LWB",62,70000.0,550.0,39,Stal Mielec,Ekstraklasa
Ł. Wolsztyński,Łukasz Wolsztyński,"CAM, ST",62,400000.0,950.0,28,Stal Mielec,Ekstraklasa
M. Kochalski,Mateusz Kochalski,GK,61,650000.0,500.0,22,Stal Mielec,Ekstraklasa
Rafa Santos,Rafael Vicente Ferreira Santos,"CM, CAM",61,425000.0,850.0,26,Stal Mielec,Ekstraklasa
K. Meriluoto,Kai Meriluoto,ST,60,600000.0,500.0,20,Stal Mielec,Ekstraklasa
M. Stępień,Mateusz Stępień,"RM, LM",60,550000.0,550.0,21,Stal Mielec,Ekstraklasa
K. Pajnowski,Kamil Pajnowski,CB,60,275000.0,700.0,25,Stal Mielec,Ekstraklasa
Ł. Gerstenstein,Łukasz Gerstenstein,"RWB, RM",58,500000.0,500.0,18,Stal Mielec,Ekstraklasa
J. Rozwadowski,Jakub Rozwadowski,RM,57,425000.0,600.0,18,Stal Mielec,Ekstraklasa
P. Maj,Przemysław Maj,"RM, LM, CAM",57,350000.0,550.0,20,Stal Mielec,Ekstraklasa
M. Dudek,Mateusz Dudek,GK,56,300000.0,500.0,20,Stal Mielec,Ekstraklasa
