short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Thompson,Nathan Thompson,"CB, RB",66,550000.0,3000.0,32,Stevenage,League One
C. Piergianni,Carl Liam Piergianni,CB,66,575000.0,3000.0,31,Stevenage,League One
D. Sweeney,Daniel Liam Sweeney,CB,65,600000.0,2000.0,29,Stevenage,League One
B. Thompson,Ben Thompson,"CAM, CM",65,750000.0,2000.0,27,Stevenage,League One
H. Neal,Harrison Neal,"CDM, CM",64,1200000.0,5000.0,21,Stevenage,League One
T. Ashby-Hammond,Taye Ashby-Hammond,GK,64,750000.0,1000.0,24,Stevenage,League One
T. Vancooten,Terence Owen Vancooten,CB,64,700000.0,2000.0,25,Stevenage,League One
J. Roberts,Jordan Stephen Roberts,CAM,64,575000.0,2000.0,29,Stevenage,League One
L. Thompson,Louis Thompson,"CM, CDM",64,575000.0,2000.0,28,Stevenage,League One
D. Butler,Dan Butler,"LWB, LB",64,525000.0,2000.0,28,Stevenage,League One
L. James-Wildin,Luther Ash James-Wildin,"RWB, RB",63,575000.0,2000.0,25,Stevenage,League One
K. Smith,Kane Smith,"RWB, RB",63,500000.0,2000.0,27,Stevenage,League One
A. MacDonald,Alexander MacDonald,"RM, LM",63,300000.0,2000.0,33,Stevenage,League One
J. Forster-Caskey,Jake Dane Forster-Caskey,CM,63,475000.0,2000.0,29,Stevenage,League One
J. Reid,Jamie Tyrrell Reid,ST,63,500000.0,2000.0,28,Stevenage,League One
H. White,Harvey David White,"CDM, CM",62,850000.0,1000.0,21,Stevenage,League One
A. Pressley,Aaron Pressley,ST,62,900000.0,1000.0,21,Stevenage,League One
E. List,Elliott Ricardo Wignal List,ST,62,500000.0,2000.0,26,Stevenage,League One
N. Freeman,Nicholas Freeman,"CM, LW",62,450000.0,2000.0,27,Stevenage,League One
C. McNeill,Charlie McNeill,ST,61,850000.0,10000.0,19,Stevenage,League One
K. Hemmings,Kane Ruudi Hemmings,ST,61,275000.0,2000.0,31,Stevenage,League One
H. Anderson,Harry John Anderson,"RW, RWB",61,350000.0,2000.0,26,Stevenage,League One
F. Burns,Finley Burns,CB,60,550000.0,10000.0,20,Stevenage,League One
R. Hannam,Reece Hannam,LWB,54,230000.0,1000.0,22,Stevenage,League One
K. Hegyi,Krisztián Hegyi,GK,53,180000.0,4000.0,20,Stevenage,League One
T. Alexandrou,Theo Alexandrou,ST,52,190000.0,600.0,18,Stevenage,League One
H. Smith,Harrison Smith,ST,51,140000.0,600.0,18,Stevenage,League One
R. Mitchell,Rylee Mitchell,GK,50,90000.0,500.0,17,Stevenage,League One
