short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Powell,Nick Powell,"CAM, CM, ST",70,1600000.0,12000.0,29,Stockport County,League Two
K. Wootton,Kyle Leon Wootton,ST,65,900000.0,6000.0,26,Stockport County,League Two
W. Collar,William Guy Collar,CM,65,875000.0,5000.0,26,Stockport County,League Two
F. Horsfall,Fraser Matthew Horsfall,CB,65,775000.0,5000.0,26,Stockport County,League Two
I. Touray,Ibou Omar Touray,"LWB, LB",65,650000.0,5000.0,28,Stockport County,League Two
L. Barry,Louie Mark Barry,"LM, LW",64,1400000.0,11000.0,20,Stockport County,League Two
K. Knoyle,Kyle Knoyle,RWB,64,675000.0,5000.0,26,Stockport County,League Two
B. Hinchliffe,Ben Hinchliffe,GK,64,60000.0,2000.0,35,Stockport County,League Two
P. Madden,Paddy Stephen Madden,ST,64,375000.0,5000.0,33,Stockport County,League Two
R. Rydel,Ryan Steven Rydel,LWB,63,725000.0,3000.0,22,Stockport County,League Two
A. Wright,Akil Valentine Wright,CB,63,500000.0,4000.0,27,Stockport County,League Two
J. Smith,Jordan Smith,GK,63,375000.0,3000.0,28,Stockport County,League Two
R. Croasdale,Ryan Mark Croasdale,CDM,63,425000.0,4000.0,28,Stockport County,League Two
M. Hippolyte,Myles Elliot Zach Hippolyte,"CM, LWB",63,475000.0,5000.0,28,Stockport County,League Two
I. Olaofe,Isaac Olaofe,ST,62,800000.0,4000.0,23,Stockport County,League Two
J. Richardson,Jayden Richardson,"RWB, RB",62,600000.0,1000.0,22,Stockport County,League Two
C. Camps,Callum Jason Noel Camps,"CM, CDM",62,450000.0,4000.0,27,Stockport County,League Two
A. Sarcevic,Antoni Charles Sarcevic,"CM, CAM",62,325000.0,4000.0,31,Stockport County,League Two
N. Byrne,Neill Byrne,CB,62,325000.0,4000.0,30,Stockport County,League Two
O. Bailey,Odin Ohray Bailey,"RM, RW",61,475000.0,3000.0,23,Stockport County,League Two
M. Southam-Hales,Macauley Anthony Southam-Hales,RWB,61,350000.0,3000.0,27,Stockport County,League Two
J. Stretton,Jack Stretton,ST,59,375000.0,3000.0,21,Stockport County,League Two
A. Pond,Alfie Pond,CB,56,350000.0,4000.0,19,Stockport County,League Two
C. Johnson,Cody Johnson,CM,55,300000.0,1000.0,18,Stockport County,League Two
E. Pye,Ethan Pye,CB,55,230000.0,2000.0,20,Stockport County,League Two
J. Cotterill,Joel Cotterill,CM,54,275000.0,1000.0,18,Stockport County,League Two
B. Jones,Bobby Jones,GK,53,180000.0,1000.0,21,Stockport County,League Two
A. Mee,Ashton Mee,CM,50,110000.0,500.0,17,Stockport County,League Two
