short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Hakšabanović,Sead Hakšabanović,LW,73,4400000.0,38000.0,24,Stoke City,Championship
M. Travers,Mark Travers,GK,73,3500000.0,22000.0,24,Stoke City,Championship
André Vidigal,André Filipe Cunha Vidigal,"LM, ST",72,3200000.0,18000.0,24,Stoke City,Championship
B. Pearson,Ben Pearson,CDM,72,2100000.0,20000.0,28,Stoke City,Championship
L. McNally,Luke McNally,CB,71,3500000.0,22000.0,23,Stoke City,Championship
B. Wilmot,Ben Wilmot,"CB, RB, RWB",71,2400000.0,14000.0,23,Stoke City,Championship
Wesley,Wesley Moraes Ferreira da Silva,ST,71,2500000.0,20000.0,26,Stoke City,Championship
M. Léris,Mehdi Pascal Marcel Léris,"RW, RM, CF",71,2500000.0,19000.0,25,Stoke City,Championship
L. Baker,Lewis Baker,"CM, CDM",71,1900000.0,19000.0,28,Stoke City,Championship
W. Burger,Wouter Burger,"CM, CDM",70,3600000.0,14000.0,22,Stoke City,Championship
T. Campbell,Tyrese Campbell,"ST, LM",70,2300000.0,15000.0,23,Stoke City,Championship
R. Mmaee,Ryan Mmaee Nwambeben Kabir,ST,70,2100000.0,17000.0,26,Stoke City,Championship
J. Laurent,Josh Laurent,"CDM, CM, CAM",70,1500000.0,15000.0,28,Stoke City,Championship
E. Stevens,Enda Stevens,"LB, LWB",70,1100000.0,15000.0,32,Stoke City,Championship
D. Johnson,Daniel Anthony Johnson,"CAM, CM",70,1500000.0,16000.0,30,Stoke City,Championship
M. Rose,Michael Rose,CB,69,1600000.0,12000.0,27,Stoke City,Championship
D. Gayle,Dwight Gayle,ST,69,1100000.0,15000.0,32,Stoke City,Championship
N. Jojić,Nikola Jojić,"RM, RW",68,2600000.0,7000.0,19,Stoke City,Championship
K. Hoever,Ki-Jana Delano Hoever,"RB, RWB",67,2200000.0,12000.0,21,Stoke City,Championship
J. Thompson,Jordan Andrew Thompson,"CM, CDM",67,1300000.0,10000.0,26,Stoke City,Championship
J. Bonham,Jack Bonham,GK,67,775000.0,8000.0,29,Stoke City,Championship
F. Fielding,Frank Fielding,GK,67,110000.0,5000.0,35,Stoke City,Championship
L. Gooch,Lynden Jack Gooch,"RB, RWB, RM",66,825000.0,8000.0,27,Stoke City,Championship
J. Tchamadeu,Junior Tchamadeu,"RWB, RB",64,1200000.0,3000.0,19,Stoke City,Championship
D. Wright-Phillips,D'Margio Wright-Phillips,"LM, ST",62,900000.0,4000.0,21,Stoke City,Championship
Bae Jun Ho,Jun Ho Bae,"LW, CM",60,525000.0,3000.0,19,Stoke City,Championship
B. Nna Noukeu,Blondy Nna Noukeu,GK,57,325000.0,3000.0,22,Stoke City,Championship
E. Tezgel,Emre Tezgel,ST,56,575000.0,950.0,17,Stoke City,Championship
N. Lowe,Nathan Lowe,ST,55,400000.0,900.0,17,Stoke City,Championship
