short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Sels,Matz Willy Els Sels,GK,79,9500000.0,22000.0,31,Strasbourg,Ligue 1
K. Gameiro,Kévin Gameiro,ST,76,2600000.0,19000.0,36,Strasbourg,Ligue 1
F. Guilbert,Frédéric Guilbert,RWB,76,7000000.0,22000.0,28,Strasbourg,Ligue 1
S. Prcić,Sanjin Prcić,"CDM, CM",75,4800000.0,21000.0,29,Strasbourg,Ligue 1
I. Sissoko,Ibrahima Sissoko,"CM, CDM, CB",74,5500000.0,20000.0,25,Strasbourg,Ligue 1
G. Nyamsi,Gerzino Nyamsi,CB,74,4900000.0,19000.0,26,Strasbourg,Ligue 1
L. Perrin,Lucas Perrin,"CB, LB",73,3900000.0,15000.0,24,Strasbourg,Ligue 1
E. Sobol,Eduard Sobol,"LWB, LM",73,2800000.0,18000.0,28,Strasbourg,Ligue 1
J. Aholou,Jean-Eudès Aholou,"CM, CDM",73,3000000.0,20000.0,29,Strasbourg,Ligue 1
T. Delaine,Thomas Delaine,"LWB, RWB",72,1700000.0,15000.0,31,Strasbourg,Ligue 1
J. Deminguet,Jessy Deminguet,"CM, CDM",71,2700000.0,14000.0,25,Strasbourg,Ligue 1
A. Sylla,Loubadhe Abakar Sylla,CB,70,3600000.0,9000.0,20,Strasbourg,Ligue 1
I. Doukouré,Ismaël Landry Doukouré,"CB, RB",70,3500000.0,6000.0,19,Strasbourg,Ligue 1
J. Mwanga,Junior Mwanga,"CB, CDM, CM",70,3300000.0,9000.0,20,Strasbourg,Ligue 1
Ângelo,Ângelo Gabriel Borges Damaceno,"RW, LW",69,3500000.0,17000.0,18,Strasbourg,Ligue 1
D. Bakwa,Dilane Bakwa,"RW, LM, RM",69,3400000.0,9000.0,20,Strasbourg,Ligue 1
M. Sahi,Moïse Sahi Dion,"ST, CAM, LM",69,3200000.0,9000.0,21,Strasbourg,Ligue 1
S. Sow,Saïdou Sow,CB,69,2900000.0,7000.0,20,Strasbourg,Ligue 1
L. Mothiba,Lebo Mothiba,"ST, RM",69,1600000.0,12000.0,27,Strasbourg,Ligue 1
H. Diarra,Mouhamadou Diarra,"CM, CDM",68,2900000.0,5000.0,19,Strasbourg,Ligue 1
E. Emegha,Emanuel Emegha,ST,68,2700000.0,8000.0,20,Strasbourg,Ligue 1
K. Fila,Karol Fila,"RWB, CB",67,1300000.0,7000.0,25,Strasbourg,Ligue 1
M. Senaya,Marvin Senaya,"RWB, RB, LB",65,1500000.0,5000.0,22,Strasbourg,Ligue 1
M. Bastian,Maxime Bastian,"LB, LWB",63,1000000.0,4000.0,22,Strasbourg,Ligue 1
A. Nuss,Antoine Nuss,RWB,58,500000.0,2000.0,19,Strasbourg,Ligue 1
A. Pierre,Alexandre Pierre,GK,58,450000.0,2000.0,22,Strasbourg,Ligue 1
T. Saettel,Tom Saettel,LM,57,525000.0,1000.0,18,Strasbourg,Ligue 1
A. Bellaarouch,Alaa Bellaarouch,GK,57,350000.0,2000.0,21,Strasbourg,Ligue 1
