short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Prass,Alexander Prass,"CM, LM",74,9500000.0,14000.0,22,Sturm Graz,Bundesliga
J. Gorenc Stanković,Jon Gorenc Stanković,CDM,74,4300000.0,15000.0,27,Sturm Graz,Bundesliga
G. Wüthrich,Gregory Kwesi Wüthrich,CB,72,2200000.0,13000.0,28,Sturm Graz,Bundesliga
M. Sarkaria,Manprit Sarkaria,"ST, CAM",72,2800000.0,14000.0,26,Sturm Graz,Bundesliga
B. Teixeira,Bryan Silva Teixeira,ST,71,4200000.0,11000.0,22,Sturm Graz,Bundesliga
D. Schnegg,David Schnegg,LB,71,2600000.0,9000.0,24,Sturm Graz,Bundesliga
T. Horvat,Tomi Horvat,"CAM, CM",71,2700000.0,10000.0,24,Sturm Graz,Bundesliga
O. Kiteishvili,Otar Kiteishvili,CAM,71,2200000.0,12000.0,27,Sturm Graz,Bundesliga
J. Gazibegović,Jusuf Gazibegović,RB,70,2000000.0,8000.0,23,Sturm Graz,Bundesliga
D. Lavalée,Dimitri Dominique Lavalée,"CB, CDM, CM",69,1800000.0,7000.0,26,Sturm Graz,Bundesliga
A. Dante,Amadou Dante,LB,69,2000000.0,7000.0,22,Sturm Graz,Bundesliga
D. Affengruber,David Affengruber,CB,69,1900000.0,7000.0,22,Sturm Graz,Bundesliga
S. Hierländer,Stefan Hierländer,"CM, RM",68,950000.0,7000.0,32,Sturm Graz,Bundesliga
K. Scherpen,Kjell Scherpen,GK,67,2000000.0,14000.0,23,Sturm Graz,Bundesliga
A. Borkovic,Alexandar Borković,CB,67,1300000.0,5000.0,24,Sturm Graz,Bundesliga
M. Johnston,Max Johnston,"RWB, RB",66,2100000.0,2000.0,19,Sturm Graz,Bundesliga
W. Bøving,William Bøving Vick,ST,66,1900000.0,5000.0,20,Sturm Graz,Bundesliga
S. Włodarczyk,Szymon Włodarczyk,ST,64,1400000.0,3000.0,20,Sturm Graz,Bundesliga
N. Geyrhofer,Niklas Geyrhofer,CB,64,750000.0,3000.0,23,Sturm Graz,Bundesliga
V. Demaku,Vesel Demaku,"CM, CDM",63,750000.0,3000.0,23,Sturm Graz,Bundesliga
Javi Serrano,Javier Serrano Martínez,"CM, CDM, CB",62,950000.0,6000.0,20,Sturm Graz,Bundesliga
S. Jatta,Seedy Jatta,ST,61,800000.0,2000.0,20,Sturm Graz,Bundesliga
M. Fuseini,Mohammed Gadafi Fuseini,ST,61,750000.0,2000.0,21,Sturm Graz,Bundesliga
L. Marić,Luka Marić,GK,59,425000.0,1000.0,20,Sturm Graz,Bundesliga
S. Stückler,Samuel Stückler,"CM, LM",59,350000.0,2000.0,22,Sturm Graz,Bundesliga
M. Bignetti,Matteo Bignetti,GK,58,475000.0,850.0,19,Sturm Graz,Bundesliga
L. Grgic,Leon Grgic,ST,57,400000.0,600.0,17,Sturm Graz,Bundesliga
G. Haider,Gabriel Haider,CB,57,375000.0,2000.0,21,Sturm Graz,Bundesliga
