short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Clarke,Jack Clarke,"LM, LWB",73,7000000.0,24000.0,22,Sunderland,Championship
D. Ballard,Daniel George Ballard,CB,71,3900000.0,17000.0,23,Sunderland,Championship
A. Patterson,Anthony Patterson,GK,71,3600000.0,13000.0,23,Sunderland,Championship
P. Roberts,Patrick Roberts,"RM, CAM",71,2200000.0,22000.0,26,Sunderland,Championship
D. Neil,Daniel Neil,"CDM, CM",70,3700000.0,12000.0,21,Sunderland,Championship
T. Pembélé,Timothée Joseph Pembélé,"RB, RWB",70,3300000.0,12000.0,20,Sunderland,Championship
A. Aouchiche,Adil Aouchiche,"LM, CAM, CM",70,3200000.0,14000.0,20,Sunderland,Championship
L. O'Nien,Luke Terry O'Nien,"CB, LB, CDM",69,1300000.0,15000.0,28,Sunderland,Championship
A. Pritchard,Alex David Pritchard,"CAM, CM",69,1300000.0,16000.0,30,Sunderland,Championship
B. Dack,Bradley Dack,"CAM, CM",69,1400000.0,17000.0,29,Sunderland,Championship
D. Cirkin,Dennis Cirkin,"LB, CB",68,2800000.0,9000.0,21,Sunderland,Championship
T. Hume,Trai Hume,"RB, CB",68,2600000.0,9000.0,21,Sunderland,Championship
A. Alese,Ajibola Alese,"LB, CB",67,2200000.0,9000.0,22,Sunderland,Championship
N. Rusyn,Nazariy Rusyn,ST,67,1300000.0,11000.0,24,Sunderland,Championship
J. Bennette,Jewison Bennette,LM,66,2000000.0,6000.0,19,Sunderland,Championship
C. Evans,Corry John Evans,"CDM, CM",66,575000.0,9000.0,32,Sunderland,Championship
N. Triantis,Nectarios Triantis,CB,65,1600000.0,6000.0,20,Sunderland,Championship
P. Ekwah,Pierre-Emmanuel Ekwah Elimby,"CDM, CM",65,1700000.0,6000.0,21,Sunderland,Championship
J. Matete,Jay Matete,"CM, CDM",65,1600000.0,8000.0,22,Sunderland,Championship
A. Ba,Abdoullah Ba,"CAM, LM",64,1400000.0,5000.0,19,Sunderland,Championship
N. Bishop,Nathan Bishop,GK,64,750000.0,5000.0,23,Sunderland,Championship
J. Bellingham,Jobe Bellingham,"CAM, CM",63,1200000.0,900.0,17,Sunderland,Championship
J. Seelt,Jenson Seelt,CB,63,1200000.0,5000.0,20,Sunderland,Championship
E. Mayenda,Eliezer Mayenda Dossou,ST,61,825000.0,2000.0,18,Sunderland,Championship
N. Huggins,Niall Huggins,"LB, RB",60,525000.0,4000.0,22,Sunderland,Championship
M. Thompson,Max Thompson,ST,59,450000.0,5000.0,21,Sunderland,Championship
M. Burstow,Mason Burstow,ST,58,525000.0,4000.0,19,Sunderland,Championship
Luís Semedo,Luís Hemir Silva Semedo,ST,57,400000.0,4000.0,19,Sunderland,Championship
Z. Johnson,Zak Johnson,"CB, RB",54,250000.0,1000.0,18,Sunderland,Championship
E. Taylor,Ellis Taylor,"LM, CAM, LB",52,170000.0,4000.0,20,Sunderland,Championship
