short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Eastmond,Craig Leon Eastmond,CM,64,450000.0,3000.0,32,Sutton United,League Two
B. Goodliffe,Ben Goodliffe,CB,63,575000.0,2000.0,24,Sutton United,League Two
D. Bouzanis,Dean Anthony Bouzanis,GK,63,240000.0,1000.0,32,Sutton United,League Two
A. O'Brien,Aiden Anthony O'Brien,"ST, LM",63,475000.0,3000.0,29,Sutton United,League Two
R. Jackson,Ryan Oliver Jackson,"RB, RWB",63,325000.0,2000.0,32,Sutton United,League Two
J. Kizzi,Joseph Kizzi,"RB, CB",63,425000.0,2000.0,30,Sutton United,League Two
O. Patrick,Omari Joshua Curtis Patrick,"ST, LM",62,475000.0,2000.0,27,Sutton United,League Two
R. Milsom,Robert Steven Milsom,LB,62,90000.0,1000.0,36,Sutton United,League Two
L. John,Louis Tyler John,CB,62,325000.0,2000.0,29,Sutton United,League Two
D. Pereira,Dion Pereira,RM,61,500000.0,7000.0,24,Sutton United,League Two
J. Rose,Jack Joseph Rose,GK,61,250000.0,2000.0,28,Sutton United,League Two
C. Clay,Craig William Clay,"CDM, CM",61,230000.0,2000.0,31,Sutton United,League Two
H. Smith,Harry Roy Smith,ST,61,325000.0,2000.0,28,Sutton United,League Two
O. Sowunmi,Omar Kolawole Olufemi Sowunmi,CB,60,250000.0,2000.0,27,Sutton United,League Two
H. Beautyman,Harry Beautyman,CM,60,200000.0,2000.0,31,Sutton United,League Two
S. Kashket,Scott Connor Kashket,"ST, LM",60,275000.0,2000.0,27,Sutton United,League Two
J. Coley,Josh Coley,"RM, LM",59,300000.0,2000.0,24,Sutton United,League Two
S. Hart,Samuel James Hart,LB,59,240000.0,2000.0,26,Sutton United,League Two
S. Arnold,Steven John William Arnold,GK,59,70000.0,1000.0,33,Sutton United,League Two
L. Angol,Lee Anthony Angol,ST,59,230000.0,2000.0,28,Sutton United,League Two
D. Mellor,D'Mani Mellor,"LM, ST",57,275000.0,2000.0,22,Sutton United,League Two
C. N'Guessan,Christian Dashiell Ruhemann N'Guessan,CM,57,220000.0,2000.0,24,Sutton United,League Two
J. Barden,Jonathan Barden,RB,57,140000.0,2000.0,30,Sutton United,League Two
B. House,Bradley House,GK,55,140000.0,1000.0,24,Sutton United,League Two
T. Fadahunsi,Tope Fadahunsi,ST,55,180000.0,2000.0,23,Sutton United,League Two
H. Kasimu,Hisham Kasimu,ST,55,170000.0,2000.0,25,Sutton United,League Two
C. Dundas,Craig Dundas,ST,52,,1000.0,42,Sutton United,League Two
M. Kerbey,Matt Kerbey,GK,50,90000.0,750.0,21,Sutton United,League Two
